t,q,t_model,q_model
0.0,2051.0,0.0,2061.802829776909
1.0,1807.0,1.0,1839.5172737434916
2.0,1662.0,2.0,1647.0396757440215
3.0,1723.0,3.0,1479.634447548988
4.0,1490.0,4.0,1333.4290892936508
5.0,1300.0,5.0,1205.2378012067634
6.0,837.0,6.0,1092.4248374194385
7.0,1064.0,7.0,992.7978582403744
8.0,738.0,8.0,904.524109923538
9.0,64.0,9.0,826.064108185486
10.0,486.0,10.0,756.1188404846702
11.0,609.0,11.0,693.5874808820416
12.0,605.0,12.0,637.5333329161215
13.0,639.0,13.0,587.1562521380104
14.0,643.0,14.0,541.7702013903913
15.0,1027.0,15.0,500.78489459991283
16.0,834.0,16.0,463.69071462823797
17.0,173.0,17.0,430.0462662848584
18.0,616.0,18.0,399.46806056616003
19.0,281.0,19.0,371.6219305496726
20.0,421.0,20.0,346.2158605314962
21.0,564.0,21.0,322.99397344878696
22.0,449.0,22.0,301.73147149668495
23.0,608.0,23.0,282.2303642333916
24.0,408.0,24.0,264.3158497198815
25.0,357.0,25.0,247.83323915408883
26.0,28.0,26.0,232.6453354064045
27.0,805.0,27.0,218.63019190137032
28.0,128.0,28.0,205.67919123800465
29.0,7.0,29.0,193.6953934346665
30.0,729.0,30.0,182.5921122210086
31.0,0.0,31.0,172.29168476957042
32.0,0.0,32.0,162.72440597042115
33.0,0.0,33.0,153.82760304732687
34.0,0.0,34.0,145.54483018651948
35.0,0.0,35.0,137.82516605350662
36.0,0.0,36.0,130.62259973289764
37.0,40.0,37.0,123.89549284015885
38.0,0.0,38.0,117.60610740247901
39.0,0.0,39.0,111.7201906532408
40.0,0.0,40.0,106.20660918345864
41.0,0.0,41.0,101.03702598670135
42.0,0.0,42.0,96.18561485639731
43.0,0.0,43.0,91.6288073746228
44.0,0.0,44.0,87.34506839298777
45.0,0.0,45.0,83.31469646843969
46.0,0.0,46.0,79.51964619567767
47.0,0.0,47.0,75.94336978666905
48.0,0.0,48.0,72.5706755974875
49.0,0.0,49.0,69.3876016025031
,,50.0,66.3813020735016
,,51.0,63.53994594298516
,,52.0,60.85262552207454
,,53.0,58.3092744086036
,,54.0,55.9005935639637
,,55.0,53.61798466122698
,,56.0,51.45348991476608
,,57.0,49.39973769528477
,,58.0,47.44989331584193
,,59.0,45.597614445740895
,,60.0,43.837010671490816
,,61.0,42.16260677863319
,,62.0,40.56930937610002
,,63.0,39.052376526818726
,,64.0,37.60739008526514
,,65.0,36.23023047524386
,,66.0,34.917053669910906
,,67.0,33.664270161434715
,,68.0,32.468525730138076
,,69.0,31.32668384284192
,,70.0,30.235809527757375
,,71.0,29.19315458892005
,,72.0,28.196144037068926
,,73.0,27.24236362624982
,,74.0,26.329548396451283
,,75.0,25.455572132417107
,,76.0,24.618437657563724
,,77.0,23.816267889782992
,,78.0,23.047297592938477
,,79.0,22.30986576415866
,,80.0,21.602408602676704
,,81.0,20.92345301103461
,,82.0,20.271610584024437
,,83.0,19.645572044835887
,,84.0,19.0441020915684
,,85.0,18.46603462059001
,,86.0,17.910268296223926
,,87.0,17.375762438951472
,,88.0,16.861533206766275
,,89.0,16.366650046527973
