t,q,t_model,q_model
0.0,803.0,0.0,803.0
1.0,637.0,1.0,557.8665164014965
2.0,553.0,2.0,468.5460028814435
3.0,447.0,3.0,417.2861131694697
4.0,423.0,4.0,382.56449504762514
5.0,250.0,5.0,356.8693468426537
6.0,280.0,6.0,336.7704645301526
7.0,0.0,7.0,320.4388774751751
8.0,0.0,8.0,306.7942952042754
9.0,655.0,9.0,295.1502615634768
10.0,340.0,10.0,285.04592753972753
11.0,334.0,11.0,276.1583341041126
12.0,308.0,12.0,268.25321272555806
13.0,298.0,13.0,261.1557455460744
14.0,295.0,14.0,254.7323492999842
15.0,288.0,15.0,248.8788737085298
16.0,344.0,16.0,243.5126984404975
17.0,233.0,17.0,238.5672886820525
18.0,252.0,18.0,233.98835122870295
19.0,244.0,19.0,229.7310616480829
20.0,220.0,20.0,225.75802577411932
21.0,250.0,21.0,222.03775556829711
22.0,172.0,22.0,218.54351222162865
23.0,217.0,23.0,215.25241598665846
24.0,191.0,24.0,212.14475275716455
25.0,238.0,25.0,209.20342782468816
26.0,216.0,26.0,206.41353114679208
27.0,180.0,27.0,203.7619880986864
28.0,229.0,28.0,201.23727646316445
29.0,197.0,29.0,198.8291952574076
30.0,251.0,30.0,196.5286744996986
31.0,145.0,31.0,194.32761758573838
32.0,132.0,32.0,192.21876984541146
33.0,205.0,33.0,190.1956082738949
34.0,203.0,34.0,188.2522485066664
35.0,187.0,35.0,186.383365928498
36.0,217.0,36.0,184.5841284378172
37.0,171.0,37.0,182.8501388774359
38.0,171.0,38.0,181.177385525258
39.0,186.0,39.0,179.5621993397052
40.0,190.0,40.0,178.0012168931918
41.0,161.0,41.0,176.4913481172236
42.0,185.0,42.0,175.02974813530764
43.0,164.0,43.0,173.61379258297697
44.0,148.0,44.0,172.2410559140987
45.0,141.0,45.0,170.90929227405528
46.0,160.0,46.0,169.61641858709427
47.0,134.0,47.0,168.36049956005286
48.0,124.0,48.0,167.13973435006218
49.0,127.0,49.0,165.9524446815311
50.0,194.0,50.0,164.79706422913725
51.0,132.0,51.0,163.6721291098565
52.0,163.0,52.0,162.57626934915658
53.0,138.0,53.0,161.50820120511148
54.0,83.0,54.0,160.46672024995246
55.0,222.0,55.0,159.4506951219466
56.0,297.0,56.0,158.45906187188584
57.0,285.0,57.0,157.49081883819287
58.0,169.0,58.0,156.5450219929864
59.0,182.0,59.0,155.62078070860142
60.0,171.0,60.0,154.71725390022723
61.0,183.0,61.0,153.83364650564798
62.0,213.0,62.0,152.96920626768082
63.0,188.0,63.0,152.1232207889061
64.0,147.0,64.0,151.29501483176458
65.0,154.0,65.0,150.48394784013098
66.0,150.0,66.0,149.68941166112558
67.0,202.0,67.0,148.91082844824697
68.0,200.0,68.0,148.14764872894833
69.0,97.0,69.0,147.3993496215709
70.0,188.0,70.0,146.66543318812845
71.0,157.0,71.0,145.94542491082933
72.0,149.0,72.0,145.2388722814567
73.0,74.0,73.0,144.54534349381856
74.0,161.0,74.0,143.86442623044977
75.0,180.0,75.0,143.1957265356088
76.0,201.0,76.0,142.5388677673799
77.0,182.0,77.0,141.8934896223759
78.0,150.0,78.0,141.25924722714694
79.0,124.0,79.0,140.63581029094945
80.0,128.0,80.0,140.02286231501682
81.0,204.0,81.0,139.42009985391545
82.0,190.0,82.0,138.8272318249628
83.0,133.0,83.0,138.24397886204056
84.0,33.0,84.0,137.67007271045517
85.0,183.0,85.0,137.10525565978784
86.0,11.0,86.0,136.54928001193537
87.0,66.0,87.0,136.00190758178033
88.0,8.0,88.0,135.4629092281419
89.0,21.0,89.0,134.93206441285196
90.0,199.0,90.0,134.40916078597704
91.0,171.0,91.0,133.8939937953663
92.0,156.0,92.0,133.38636631885018
93.0,156.0,93.0,132.88608831754706
94.0,161.0,94.0,132.39297650885518
95.0,176.0,95.0,131.90685405781724
,,96.0,131.42755028564528
,,97.0,130.95490039428438
,,98.0,130.4887452059795
,,99.0,130.0289309168838
,,100.0,129.57530886382006
,,101.0,129.12773530336926
,,102.0,128.68607120252096
,,103.0,128.25018204017405
,,104.0,127.81993761882681
,,105.0,127.39521188584133
,,106.0,126.97588276371017
,,107.0,126.56183198879181
,,108.0,126.15294495801807
,,109.0,125.7491105831102
,,110.0,125.3502211518708
,,111.0,124.95617219614792
,,112.0,124.5668623660933
,,113.0,124.18219331036234
,,114.0,123.80206956192504
,,115.0,123.42639842917889
,,116.0,123.05508989207397
,,117.0,122.68805650297875
,,118.0,122.32521329203206
,,119.0,121.96647767674204
,,120.0,121.61176937560808
,,121.0,121.26101032555471
,,122.0,120.91412460297964
,,123.0,120.57103834822954
,,124.0,120.23167969332843
,,125.0,119.89597869279366
,,126.0,119.56386725738433
,,127.0,119.23527909063547
,,128.0,118.9101496280404
,,129.0,118.58841597875092
,,130.0,118.2700168696724
,,131.0,117.95489259183839
,,132.0,117.64298494895468
,,133.0,117.33423720800984
,,134.0,117.02859405185423
,,135.0,116.72600153365528
