t,q,t_model,q_model
2014-08-01,1646.0,2015-06-01,819.627109571735
2014-09-01,0.0,2015-07-01,569.4178335803381
2014-10-01,1142.0,2015-08-01,478.2478281981411
2014-11-01,0.0,2015-09-01,425.9265389807177
2014-12-01,5.0,2015-10-01,390.48596675050476
2015-01-01,0.0,2015-11-01,364.2587686767089
2015-03-01,207.0,2015-12-01,343.74371411205414
2015-04-01,1554.0,2016-01-01,327.073961319289
2015-05-01,1276.0,2016-02-01,313.14685107269963
2015-06-01,803.0,2016-03-01,301.26171329341724
2015-07-01,637.0,2016-04-01,290.94815651878093
2015-08-01,553.0,2016-05-01,281.8765344531747
2015-09-01,447.0,2016-06-01,273.8077277454308
2015-10-01,423.0,2016-07-01,266.56329871728576
2015-11-01,250.0,2016-08-01,260.0068980960942
2015-12-01,280.0,2016-09-01,254.03221904257924
2016-01-01,0.0,2016-10-01,248.55493046923849
2016-02-01,0.0,2016-11-01,243.50711987650854
2016-03-01,655.0,2016-12-01,238.8333698518527
2016-04-01,340.0,2017-01-01,234.48792781751465
2016-05-01,334.0,2017-02-01,230.43262531489748
2016-06-01,308.0,2017-03-01,226.63532230664853
2016-07-01,298.0,2017-04-01,223.0687263236222
2016-08-01,295.0,2017-05-01,219.7094838648538
2016-09-01,288.0,2017-06-01,216.53747261913466
2016-10-01,344.0,2017-07-01,213.53524391089442
2016-11-01,233.0,2017-08-01,210.6875789668001
2016-12-01,252.0,2017-09-01,207.98113243576165
2017-01-01,244.0,2017-10-01,205.40414351879403
2017-02-01,220.0,2017-11-01,202.94620000909478
2017-03-01,250.0,2017-12-01,200.59804411974136
2017-04-01,172.0,2018-01-01,198.35141159621446
2017-05-01,217.0,2018-02-01,196.19889755146843
2017-06-01,191.0,2018-03-01,194.13384391378636
2017-07-01,238.0,2018-04-01,192.15024447559023
2017-08-01,216.0,2018-05-01,190.2426643688989
2017-09-01,180.0,2018-06-01,188.40617143749193
2017-10-01,229.0,2018-07-01,186.63627747559542
2017-11-01,197.0,2018-08-01,184.92888769343847
2017-12-01,251.0,2018-09-01,183.2802570773926
2018-01-01,145.0,2018-10-01,181.6869525559381
2018-02-01,132.0,2018-11-01,180.14582007688526
2018-03-01,205.0,2018-12-01,178.6539558570498
2018-04-01,203.0,2019-01-01,177.208681191248
2018-05-01,187.0,2019-02-01,175.8075203094101
2018-06-01,217.0,2019-03-01,174.44818085371705
2018-07-01,171.0,2019-04-01,173.1285366157529
2018-08-01,171.0,2019-05-01,171.84661222971292
2018-09-01,186.0,2019-06-01,170.6005695640462
2018-10-01,190.0,2019-07-01,169.38869559238677
2018-11-01,161.0,2019-08-01,168.20939155670652
2018-12-01,185.0,2019-09-01,167.06116326247016
2019-01-01,164.0,2019-10-01,165.94261236812585
2019-02-01,148.0,2019-11-01,164.8524285502811
2019-03-01,141.0,2019-12-01,163.7893824419984
2019-04-01,160.0,2020-01-01,162.75231925529894
2019-05-01,134.0,2020-02-01,161.74015301058841
2019-06-01,124.0,2020-03-01,160.75186130564603
2019-07-01,127.0,2020-04-01,159.78648056532393
