t,q,t_model,q_model
0.0,104.0,0.0,104.0
1.0,30.0,1.0,103.97368332110536
2.0,0.0,2.0,103.94762418189758
3.0,0.0,3.0,103.92181765323281
4.0,0.0,4.0,103.89625894554882
5.0,73.0,5.0,103.87094340365506
6.0,0.0,6.0,103.8458665017632
7.0,105.0,7.0,103.82102383874492
8.0,904.0,8.0,103.79641113360489
9.0,347.0,9.0,103.77202422115701
10.0,178.0,10.0,103.74785904789319
11.0,68.0,11.0,103.72391166803452
12.0,8.0,12.0,103.70017823975533
13.0,47.0,13.0,103.67665502157088
14.0,58.0,14.0,103.65333836888045
15.0,71.0,15.0,103.63022473065801
16.0,0.0,16.0,103.60731064628254
17.0,0.0,17.0,103.58459274250147
,,18.0,103.56206773052041
,,19.0,103.5397324032127
,,20.0,103.51758363244333
,,21.0,103.4956183665014
,,22.0,103.47383362763578
,,23.0,103.45222650968942
,,24.0,103.43079417582715
,,25.0,103.40953385635302
,,26.0,103.38844284661255
,,27.0,103.36751850497629
,,28.0,103.3467582509009
,,29.0,103.32615956306397
,,30.0,103.30571997756944
,,31.0,103.28543708622053
,,32.0,103.26530853485684
,,33.0,103.24533202175313
,,34.0,103.22550529607679
,,35.0,103.20582615640161
,,36.0,103.18629244927537
,,37.0,103.16690206783876
,,38.0,103.14765295049374
,,39.0,103.12854307961905
,,40.0,103.10957048033077
,,41.0,103.0907332192864
,,42.0,103.07202940353028
,,43.0,103.05345717937877
,,44.0,103.03501473134374
,,45.0,103.0167002810925
,,46.0,102.99851208644293
,,47.0,102.98044844039232
,,48.0,102.96250767017843
,,49.0,102.94468813637185
,,50.0,102.92698823199795
,,51.0,102.90940638168776
,,52.0,102.89194104085622
,,53.0,102.87459069490701
,,54.0,102.85735385846284
,,55.0,102.84022907462031
,,56.0,102.82321491422822
,,57.0,102.80630997518863
