t,q,t_model,q_model
2019-03-01,705.0,2019-06-01,110.97099384823618
2019-04-01,1150.0,2019-07-01,110.9429131942773
2019-05-01,1716.0,2019-08-01,110.9151073425781
2019-06-01,104.0,2019-09-01,110.8875710336002
2019-07-01,30.0,2019-10-01,110.8602991567428
2019-08-01,0.0,2019-11-01,110.83328674478359
2019-09-01,0.0,2019-12-01,110.80652896857613
2019-10-01,0.0,2020-01-01,110.78002113198984
2019-11-01,73.0,2020-02-01,110.75375866707944
2019-12-01,0.0,2020-03-01,110.72773712947145
2020-01-01,105.0,2020-04-01,110.70195219395605
2020-02-01,904.0,2020-05-01,110.67639965027357
2020-03-01,347.0,2020-06-01,110.65107539908541
2020-04-01,178.0,2020-07-01,110.62597544811968
2020-05-01,68.0,2020-08-01,110.60109590848246
2020-06-01,8.0,2020-09-01,110.57643299112677
2020-07-01,47.0,2020-10-01,110.55198300347033
2020-08-01,58.0,2020-11-01,110.52774234615559
2020-09-01,71.0,2020-12-01,110.50370750994422
2020-10-01,0.0,2021-01-01,110.47987507273977
2020-11-01,0.0,2021-02-01,110.45624169673215
,,2021-03-01,110.43280412565794
,,2021-04-01,110.409559182171
,,2021-05-01,110.38650376531808
,,2021-06-01,110.36363484811439
,,2021-07-01,110.34094947521463
,,2021-08-01,110.3184447606746
,,2021-09-01,110.29611788579965
,,2021-10-01,110.27396609707571
,,2021-11-01,110.25198670417925
,,2021-12-01,110.23017707806218
,,2022-01-01,110.20853464910925
,,2022-02-01,110.18705690536356
,,2022-03-01,110.16574139081797
,,2022-04-01,110.14458570376931
,,2022-05-01,110.12358749523246
,,2022-06-01,110.1027444674119
,,2022-07-01,110.08205437222807
,,2022-08-01,110.06151500989655
,,2022-09-01,110.04112422755735
,,2022-10-01,110.02087991795251
,,2022-11-01,110.0007800181499
,,2022-12-01,109.9808225083113
,,2023-01-01,109.96100541050299
,,2023-02-01,109.94132678754681
,,2023-03-01,109.92178474191063
,,2023-04-01,109.90237741463594
,,2023-05-01,109.88310298430171
,,2023-06-01,109.86395966602251
,,2023-07-01,109.84494571047992
,,2023-08-01,109.82605940298579
,,2023-09-01,109.80729906257605
,,2023-10-01,109.78866304113399
,,2023-11-01,109.77014972254173
,,2023-12-01,109.75175752185896
,,2024-01-01,109.73348488452778
,,2024-02-01,109.71533028560275
,,2024-03-01,109.69729222900499
