t,q,t_model,q_model
0.0,89.0,0.0,89.0
1.0,3.0,1.0,89.02341712479834
2.0,0.0,2.0,89.04754116989938
3.0,0.0,3.0,89.07241593880798
4.0,0.0,4.0,89.0980894299824
5.0,29.0,5.0,89.12461438972927
6.0,24.0,6.0,89.15204895925095
7.0,0.0,7.0,89.18045743575789
8.0,0.0,8.0,89.20991117265172
9.0,7.0,9.0,89.24048965041978
10.0,10.0,10.0,89.27228175861268
11.0,2.0,11.0,89.30538734086824
12.0,0.0,12.0,89.33991907050718
13.0,67.0,13.0,89.37600474535022
14.0,278.0,14.0,89.4137901194356
15.0,234.0,15.0,89.45344242974396
16.0,339.0,16.0,89.49515483315511
17.0,263.0,17.0,89.53915205084681
18.0,220.0,18.0,89.58569763707605
19.0,314.0,19.0,89.63510346751089
20.0,149.0,20.0,89.687742313246
21.0,277.0,21.0,89.74406478841995
22.0,210.0,22.0,89.80462263347708
23.0,175.0,23.0,89.8701014062078
24.0,54.0,24.0,89.94136754397987
25.0,171.0,25.0,90.01953811148813
26.0,291.0,26.0,90.10608776247693
27.0,114.0,27.0,90.20301960536524
28.0,88.0,28.0,90.31315205390294
29.0,49.0,29.0,90.4406311347786
30.0,58.0,30.0,90.5919210960983
31.0,156.0,31.0,90.77793448377325
32.0,78.0,32.0,91.01935697186778
33.0,65.0,33.0,91.36348674383807
,,34.0,91.96739497717759
,,35.0,
,,36.0,
,,37.0,
,,38.0,
,,39.0,
,,40.0,
,,41.0,
,,42.0,
,,43.0,
,,44.0,
,,45.0,
,,46.0,
,,47.0,
,,48.0,
,,49.0,
,,50.0,
,,51.0,
,,52.0,
,,53.0,
,,54.0,
,,55.0,
,,56.0,
,,57.0,
,,58.0,
,,59.0,
,,60.0,
,,61.0,
,,62.0,
,,63.0,
,,64.0,
,,65.0,
,,66.0,
,,67.0,
,,68.0,
,,69.0,
,,70.0,
,,71.0,
,,72.0,
,,73.0,
