t,q,t_model,q_model
2013-04-01,6235.0,2020-08-01,111.45507992970575
2013-05-01,15631.0,2020-09-01,111.48440529505545
2013-06-01,8657.0,2020-10-01,111.51461593971796
2013-07-01,4423.0,2020-11-01,111.54576671900942
2013-08-01,3904.0,2020-12-01,111.57791774160404
2013-09-01,3394.0,2021-01-01,111.61113506192675
2013-10-01,4254.0,2021-02-01,111.64549149045341
2013-11-01,3451.0,2021-03-01,111.68106754685525
2013-12-01,3552.0,2021-04-01,111.71795258730164
2014-01-01,2454.0,2021-05-01,111.75624614554623
2014-02-01,1531.0,2021-06-01,111.79605953835268
2014-03-01,1089.0,2021-07-01,111.83751780033484
2014-04-01,1371.0,2021-08-01,111.88076203277326
2014-05-01,1648.0,2021-09-01,111.92595227742436
2014-06-01,1480.0,2021-10-01,111.97327106269246
2014-07-01,742.0,2021-11-01,112.0229278201623
2014-08-01,634.0,2021-12-01,112.07516444101906
2014-09-01,610.0,2022-01-01,112.13026234455289
2014-10-01,624.0,2022-02-01,112.18855158088496
2014-11-01,507.0,2022-03-01,112.25042271324574
2014-12-01,497.0,2022-04-01,112.31634256446837
2015-01-01,428.0,2022-05-01,112.3868754405622
2015-02-01,360.0,2022-06-01,112.462712288441
2015-03-01,393.0,2022-07-01,112.54471163505225
2015-04-01,343.0,2022-08-01,112.63395852361032
2015-05-01,314.0,2022-09-01,112.73185185900114
2015-06-01,783.0,2022-10-01,112.84023835640392
2015-07-01,1373.0,2022-11-01,112.96162651704267
2015-08-01,658.0,2022-12-01,113.09954585248788
2015-09-01,1886.0,2023-01-01,113.25918844966048
2015-10-01,2490.0,2023-02-01,113.44864951405879
2015-11-01,2436.0,2023-03-01,113.68159487351168
2015-12-01,1172.0,2023-04-01,113.98392928595442
2016-01-01,1283.0,2023-05-01,114.41488446843914
2016-02-01,907.0,2023-06-01,115.17116132705783
2016-03-01,608.0,2023-07-01,
2016-04-01,431.0,2023-08-01,
2016-05-01,691.0,2023-09-01,
2016-06-01,315.0,2023-10-01,
2016-07-01,267.0,2023-11-01,
2016-08-01,302.0,2023-12-01,
2016-09-01,243.0,2024-01-01,
2016-10-01,335.0,2024-02-01,
2016-11-01,124.0,2024-03-01,
2016-12-01,355.0,2024-04-01,
2017-01-01,157.0,2024-05-01,
2017-02-01,157.0,2024-06-01,
2017-03-01,172.0,2024-07-01,
2017-04-01,182.0,2024-08-01,
2017-05-01,167.0,2024-09-01,
2017-06-01,131.0,2024-10-01,
2017-07-01,151.0,2024-11-01,
2017-08-01,145.0,2024-12-01,
2017-09-01,152.0,2025-01-01,
2017-10-01,169.0,2025-02-01,
2017-11-01,213.0,2025-03-01,
2017-12-01,198.0,2025-04-01,
2018-01-01,162.0,2025-05-01,
2018-02-01,206.0,2025-06-01,
2018-03-01,198.0,2025-07-01,
2018-04-01,152.0,2025-08-01,
2018-05-01,168.0,2025-09-01,
2018-06-01,126.0,2025-10-01,
2018-07-01,167.0,2025-11-01,
2018-08-01,162.0,2025-12-01,
2018-09-01,102.0,2026-01-01,
2018-10-01,111.0,2026-02-01,
2018-11-01,280.0,2026-03-01,
2018-12-01,105.0,2026-04-01,
2019-01-01,99.0,2026-05-01,
2019-02-01,124.0,2026-06-01,
2019-03-01,140.0,2026-07-01,
2019-04-01,158.0,2026-08-01,
2019-05-01,89.0,2026-09-01,
2019-06-01,37.0,2026-10-01,
2019-07-01,250.0,2026-11-01,
2019-08-01,0.0,2026-12-01,
2019-09-01,190.0,2027-01-01,
2019-10-01,139.0,2027-02-01,
2019-11-01,150.0,2027-03-01,
2019-12-01,130.0,2027-04-01,
2020-01-01,58.0,2027-05-01,
2020-02-01,43.0,2027-06-01,
2020-03-01,184.0,2027-07-01,
2020-04-01,37.0,2027-08-01,
2020-05-01,0.0,2027-09-01,
2020-06-01,0.0,2027-10-01,
2020-07-01,377.0,2027-11-01,
2020-08-01,89.0,2027-12-01,
2020-09-01,3.0,2028-01-01,
2020-10-01,0.0,2028-02-01,
2020-11-01,0.0,2028-03-01,
2020-12-01,0.0,2028-04-01,
2021-01-01,29.0,2028-05-01,
2021-02-01,24.0,2028-06-01,
2021-03-01,0.0,2028-07-01,
2021-04-01,0.0,2028-08-01,
2021-05-01,7.0,2028-09-01,
2021-06-01,10.0,2028-10-01,
2021-07-01,2.0,2028-11-01,
2021-08-01,0.0,2028-12-01,
2021-09-01,67.0,2029-01-01,
2021-10-01,278.0,2029-02-01,
2021-11-01,234.0,2029-03-01,
2021-12-01,339.0,2029-04-01,
2022-01-01,263.0,2029-05-01,
2022-02-01,220.0,2029-06-01,
2022-03-01,314.0,2029-07-01,
2022-04-01,149.0,2029-08-01,
2022-05-01,277.0,2029-09-01,
2022-06-01,210.0,2029-10-01,
2022-07-01,175.0,2029-11-01,
2022-08-01,54.0,2029-12-01,
2022-09-01,171.0,2030-01-01,
2022-10-01,291.0,2030-02-01,
2022-11-01,114.0,2030-03-01,
2022-12-01,88.0,2030-04-01,
2023-01-01,49.0,2030-05-01,
2023-02-01,58.0,2030-06-01,
2023-03-01,156.0,2030-07-01,
2023-04-01,78.0,2030-08-01,
2023-05-01,65.0,2030-09-01,
