t,q,t_model,q_model
0.0,5454.0,0.0,5454.0
1.0,3690.0,1.0,3922.793453326523
2.0,3184.0,2.0,3104.0455195620825
3.0,2784.0,3.0,2588.3164401963054
4.0,2071.0,4.0,2231.085448956885
5.0,2088.0,5.0,1967.7316281236444
6.0,1706.0,6.0,1764.8283771587348
7.0,1712.0,7.0,1603.2699841990343
8.0,1598.0,8.0,1471.308898086735
9.0,1339.0,9.0,1361.306732999627
10.0,1343.0,10.0,1268.0724108192921
11.0,1306.0,11.0,1187.9491461020389
12.0,1245.0,12.0,1118.2832303311484
13.0,1154.0,13.0,1057.100044652338
14.0,834.0,14.0,1002.8985111452854
15.0,472.0,15.0,954.5162394311609
16.0,417.0,16.0,911.0384631793017
17.0,1199.0,17.0,871.7349826283473
18.0,652.0,18.0,836.0155257176517
19.0,57.0,19.0,803.397524176705
20.0,108.0,20.0,773.482442601551
21.0,1568.0,21.0,745.9381160699423
22.0,999.0,22.0,720.4853835765969
23.0,524.0,23.0,696.887841942468
24.0,567.0,24.0,674.9438993855895
25.0,550.0,25.0,654.4805463299724
26.0,636.0,26.0,635.3484241208431
27.0,608.0,27.0,617.4178856746828
28.0,746.0,28.0,600.5758220416603
29.0,552.0,29.0,584.723086005918
30.0,492.0,30.0,569.7723852094939
31.0,719.0,31.0,555.6465475670763
32.0,914.0,32.0,542.2770841481727
33.0,588.0,33.0,529.6029914539266
34.0,385.0,34.0,517.5697476544789
35.0,388.0,35.0,506.1284669729069
36.0,375.0,36.0,495.235183784934
37.0,411.0,37.0,484.85024371405564
38.0,59.0,38.0,474.9377834508822
39.0,329.0,39.0,465.4652845159358
40.0,538.0,40.0,456.40318894141984
41.0,491.0,41.0,447.72456703751004
42.0,647.0,42.0,439.4048291590927
43.0,362.0,43.0,431.421474795669
44.0,508.0,44.0,423.7538734438202
45.0,204.0,45.0,416.3830726447025
46.0,627.0,46.0,409.2916293222688
47.0,643.0,47.0,402.46346117539434
48.0,788.0,48.0,395.883715385487
49.0,584.0,49.0,389.5386523215516
50.0,823.0,50.0,383.41554227366396
51.0,417.0,51.0,377.5025735366576
52.0,494.0,52.0,371.78877040911453
53.0,403.0,53.0,366.2639198769817
54.0,338.0,54.0,360.91850592316337
55.0,230.0,55.0,355.743650549822
56.0,299.0,56.0,350.7310607233724
57.0,253.0,57.0,345.87298055696124
58.0,282.0,58.0,341.1621481346108
59.0,216.0,59.0,336.5917564576564
60.0,314.0,60.0,332.15541805966933
,,61.0,327.8471328924361
,,62.0,323.66125913416323
,,63.0,319.59248661308067
,,64.0,315.6358125759939
,,65.0,311.7865195629317
,,66.0,308.0401551765183
,,67.0,304.3925135586751
,,68.0,300.83961840820643
,,69.0,297.3777073911659
,,70.0,294.0032178120004
,,71.0,290.71277342761476
,,72.0,287.5031722989654
,,73.0,284.37137558578536
,,74.0,281.3144971997627
,,75.0,278.3297942400983
,,76.0,275.4146581430021
,,77.0,272.56660648346286
,,78.0,269.78327537365976
,,79.0,267.06241240775705
,,80.0,264.4018701076183
,,81.0,261.7995998282623
,,82.0,259.2536460857186
,,83.0,256.7621412733778
,,84.0,254.32330073601497
,,85.0,251.935418173438
,,86.0,249.59686134820453
,,87.0,247.30606807409953
,,88.0,245.0615424640895
,,89.0,242.8618514183009
,,90.0,240.70562133422322
,,91.0,238.59153502283604
,,92.0,236.51832881571335
,,93.0,234.4847898493921
,,94.0,232.48975351440782
,,95.0,230.53210105741607
,,96.0,228.6107573257435
,,97.0,226.72468864455416
,,98.0,224.87290081758434
,,99.0,223.05443724309947
,,100.0,221.2683771373682
