t,q,t_model,q_model
2015-12-01,5407.0,2018-05-01,5417.539997880543
2016-01-01,276.0,2018-06-01,3896.5695703741067
2016-02-01,1644.0,2018-07-01,3083.2949683662396
2016-03-01,2796.0,2018-08-01,2571.013539042036
2016-04-01,2850.0,2018-09-01,2216.1706377728624
2016-05-01,1707.0,2018-10-01,1954.5773378170968
2016-06-01,4601.0,2018-11-01,1753.0304955357635
2016-07-01,3234.0,2018-12-01,1592.552120792001
2016-08-01,2747.0,2019-01-01,1461.4731948335964
2016-09-01,3446.0,2019-02-01,1352.2063944645338
2016-10-01,1467.0,2019-03-01,1259.5953439351526
2016-11-01,758.0,2019-04-01,1180.0077034205779
2016-12-01,1043.0,2019-05-01,1110.8075044514221
2017-01-01,404.0,2019-06-01,1050.033328504831
2017-02-01,817.0,2019-07-01,996.1941323697156
2017-03-01,1550.0,2019-08-01,948.1352962495114
2017-04-01,1165.0,2019-09-01,904.9481690285088
2017-05-01,984.0,2019-10-01,865.9074323323747
2017-06-01,740.0,2019-11-01,830.4267600705001
2017-07-01,1761.0,2019-12-01,798.0268099423358
2017-08-01,909.0,2020-01-01,768.3117107539867
2017-09-01,889.0,2020-02-01,740.9515181064488
2017-10-01,967.0,2020-03-01,715.6689371863804
2017-11-01,820.0,2020-04-01,692.2291451705122
2017-12-01,1247.0,2020-05-01,670.4318979183886
2018-01-01,495.0,2020-06-01,650.1053424234206
2018-02-01,2497.0,2020-07-01,631.101118493773
2018-03-01,6174.0,2020-08-01,613.2904457369692
2018-04-01,8336.0,2020-09-01,596.5609713367587
2018-05-01,5454.0,2020-10-01,580.814210876642
2018-06-01,3690.0,2020-11-01,565.9634555482643
2018-07-01,3184.0,2020-12-01,551.9320491618755
2018-08-01,2784.0,2021-01-01,538.6519606356359
2018-09-01,2071.0,2021-02-01,526.0625942792143
2018-10-01,2088.0,2021-03-01,514.1097927413051
2018-11-01,1706.0,2021-04-01,502.74499704651345
2018-12-01,1712.0,2021-05-01,491.92453548085837
2019-01-01,1598.0,2021-06-01,481.6090187574304
2019-02-01,1339.0,2021-07-01,471.76282331314303
2019-03-01,1343.0,2021-08-01,462.35364805462575
2019-04-01,1306.0,2021-09-01,453.35213260916254
2019-05-01,1245.0,2021-10-01,444.73152731196535
2019-06-01,1154.0,2021-11-01,436.4674068997527
2019-07-01,834.0,2021-12-01,428.53742127798847
2019-08-01,472.0,2022-01-01,420.9210778582152
2019-09-01,417.0,2022-02-01,413.5995508788184
2019-10-01,1199.0,2022-03-01,406.5555138707532
2019-11-01,652.0,2022-04-01,399.7729920431136
2019-12-01,57.0,2022-05-01,393.2372318684328
2020-01-01,108.0,2022-06-01,386.9345855651793
2020-02-01,1568.0,2022-07-01,380.8524085215681
2020-03-01,999.0,2022-08-01,374.978967993708
2020-04-01,524.0,2022-09-01,369.30336165276935
2020-05-01,567.0,2022-10-01,363.8154447587207
2020-06-01,550.0,2022-11-01,358.5057649090618
2020-07-01,636.0,2022-12-01,353.36550345539035
2020-08-01,608.0,2023-01-01,348.38642280306925
2020-09-01,746.0,2023-02-01,343.5608189133657
2020-10-01,552.0,2023-03-01,338.88147841622674
2020-11-01,492.0,2023-04-01,334.3416398177888
2020-12-01,719.0,2023-05-01,329.93495835185036
2021-01-01,914.0,2023-06-01,325.65547408053357
2021-02-01,588.0,2023-07-01,321.49758289763633
2021-03-01,385.0,2023-08-01,317.4560101298985
2021-04-01,388.0,2023-09-01,313.5257864675418
2021-05-01,375.0,2023-10-01,309.7022259868256
2021-06-01,411.0,2023-11-01,305.9809060546602
2021-07-01,59.0,2023-12-01,302.35764892913784
2021-08-01,329.0,2024-01-01,298.82850489064504
2021-09-01,538.0,2024-02-01,295.3897367564462
2021-10-01,491.0,2024-03-01,292.037805647616
2021-11-01,647.0,2024-04-01,288.7693578912517
2021-12-01,362.0,2024-05-01,285.5812129532795
2022-01-01,508.0,2024-06-01,282.47035230808626
2022-02-01,204.0,2024-07-01,279.4339091608669
2022-03-01,627.0,2024-08-01,276.46915894712026
2022-04-01,643.0,2024-09-01,273.57351054131095
2022-05-01,788.0,2024-10-01,270.7444981134444
2022-06-01,584.0,2024-11-01,267.9797735782953
2022-07-01,823.0,2024-12-01,265.27709958736574
2022-08-01,417.0,2025-01-01,262.6343430184155
2022-09-01,494.0,2025-02-01,260.04946892165947
2022-10-01,403.0,2025-03-01,257.52053488554213
2022-11-01,338.0,2025-04-01,255.04568578840824
2022-12-01,230.0,2025-05-01,252.62314890545713
2023-01-01,299.0,2025-06-01,250.25122934311713
2023-02-01,253.0,2025-07-01,247.92830577545692
2023-03-01,282.0,2025-08-01,245.65282645947974
2023-04-01,216.0,2025-09-01,243.42330550816024
2023-05-01,314.0,2025-10-01,241.2383194019007
,,2025-11-01,239.0965037207265
,,2025-12-01,236.99655008102872
,,2026-01-01,234.93720326200756
,,2026-02-01,232.91725850819492
,,2026-03-01,230.93555899554326
,,2026-04-01,228.99099344957662
,,2026-05-01,227.08249390501976
,,2026-06-01,225.2090335971552
,,2026-07-01,223.36962497592359
,,2026-08-01,221.56331783447501
,,2026-09-01,219.7891975445194
