t,q,t_model,q_model
2018-01-01,22778.0,2018-11-01,10419.018543910237
2018-02-01,18500.0,2018-12-01,6112.480224145868
2018-03-01,22191.0,2019-01-01,4334.827880027189
2018-04-01,22329.0,2019-02-01,3362.3205506567297
2018-05-01,21231.0,2019-03-01,2748.32352531615
2018-06-01,17706.0,2019-04-01,2325.1665571141543
2018-07-01,13910.0,2019-05-01,2015.7000412064244
2018-08-01,11915.0,2019-06-01,1779.4512330155248
2018-09-01,10709.0,2019-07-01,1593.1355673320106
2018-10-01,9610.0,2019-08-01,1442.4039313912583
2018-11-01,10486.0,2019-09-01,1317.92959339171
2018-12-01,5905.0,2019-10-01,1213.3865076836014
2019-01-01,4386.0,2019-11-01,1124.331737982327
2019-02-01,2830.0,2019-12-01,1047.55290064089
2019-03-01,3023.0,2020-01-01,980.6694740627752
2019-04-01,2587.0,2020-02-01,921.879739899667
2019-05-01,2215.0,2020-03-01,869.7948403159655
2019-06-01,1945.0,2020-04-01,823.3268525464728
2019-07-01,1614.0,2020-05-01,781.6114167464863
2019-08-01,1572.0,2020-06-01,743.953077644708
2019-09-01,1603.0,2020-07-01,709.7859213445255
2019-10-01,1320.0,2020-08-01,678.6447349226042
2019-11-01,1101.0,2020-09-01,650.1435459890563
2019-12-01,1016.0,2020-10-01,623.9594284672495
2020-01-01,929.0,2020-11-01,599.8201257019213
2020-02-01,789.0,2020-12-01,577.4944804559965
2020-03-01,975.0,2021-01-01,556.7849559580224
2020-04-01,813.0,2021-02-01,537.5217335150853
2020-05-01,831.0,2021-03-01,519.5580119955084
2020-06-01,905.0,2021-04-01,502.7662329416199
2020-07-01,782.0,2021-05-01,487.035025344902
2020-08-01,741.0,2021-06-01,472.26671489313907
2020-09-01,660.0,2021-07-01,458.3752796120285
2020-10-01,518.0,2021-08-01,445.28466123981474
2020-11-01,627.0,2021-09-01,432.92736212888275
2020-12-01,455.0,2021-10-01,421.2432728729486
2021-01-01,591.0,2021-11-01,410.1786875613478
2021-02-01,117.0,2021-12-01,399.68547252580146
2021-03-01,686.0,2022-01-01,389.7203613642576
2021-04-01,437.0,2022-02-01,380.24435440644135
2021-05-01,449.0,2022-03-01,371.22220499791155
2021-06-01,377.0,2022-04-01,362.6219782988156
2021-07-01,250.0,2022-05-01,354.41467092559293
2021-08-01,282.0,2022-06-01,346.5738818632106
2021-09-01,538.0,2022-07-01,339.07552675931043
2021-10-01,732.0,2022-08-01,331.8975890693382
2021-11-01,217.0,2022-09-01,325.0199026220247
2021-12-01,315.0,2022-10-01,318.4239610706001
2022-01-01,511.0,2022-11-01,312.09275042814767
2022-02-01,276.0,2022-12-01,306.01060148783625
2022-03-01,300.0,2023-01-01,300.1630594257993
2022-04-01,471.0,2023-02-01,294.53676829622884
2022-05-01,245.0,2023-03-01,289.1193684707542
2022-06-01,196.0,2023-04-01,283.8994053601067
2022-07-01,243.0,2023-05-01,278.86624799562543
2022-08-01,257.0,2023-06-01,274.01001624954847
2022-09-01,253.0,2023-07-01,269.32151564289404
2022-10-01,256.0,2023-08-01,264.79217883347013
2022-11-01,239.0,2023-09-01,260.4140129985323
2022-12-01,404.0,2023-10-01,256.1795524304524
2023-01-01,225.0,2023-11-01,252.0818157524047
2023-02-01,87.0,2023-12-01,248.11426723695374
2023-03-01,221.0,2024-01-01,244.2707817755582
2023-04-01,240.0,2024-02-01,240.54561310304098
2023-05-01,159.0,2024-03-01,236.93336492941918
,,2024-04-01,233.42896467328643
,,2024-05-01,230.0276395271672
,,2024-06-01,226.7248946167316
,,2024-07-01,223.51649304315467
,,2024-08-01,220.39843762180004
,,2024-09-01,217.36695415130302
,,2024-10-01,214.4184760654225
,,2024-11-01,211.5496303360929
,,2024-12-01,208.75722451022506
,,2025-01-01,206.03823477524335
,,2025-02-01,203.38979495931937
,,2025-03-01,200.8091863819643
,,2025-04-01,198.29382847922966
,,2025-05-01,195.84127013538532
,,2025-06-01,193.44918165970657
,,2025-07-01,191.1153473530239
,,2025-08-01,188.83765861404987
,,2025-09-01,186.6141075402843
,,2025-10-01,184.44278098257314
,,2025-11-01,182.3218550162235
,,2025-12-01,180.24958979500468
,,2026-01-01,178.22432475744134
,,2026-02-01,176.24447415756748
,,2026-03-01,174.30852289479574
,,2026-04-01,172.41502261979466
,,2026-05-01,170.5625880952857
,,2026-06-01,168.74989379249243
,,2026-07-01,166.97567070562334
,,2026-08-01,165.2387033682579
,,2026-09-01,163.53782705685612
,,2026-10-01,161.87192516783676
,,2026-11-01,160.23992675577864
,,2026-12-01,158.64080422131082
,,2027-01-01,157.07357113817488
,,2027-02-01,155.53728020977917
,,2027-03-01,154.03102134632724
,,2027-04-01,152.55391985429728
,,2027-05-01,151.105134730685
,,2027-06-01,149.68385705500222
,,2027-07-01,148.2893084725544
