t,q,t_model,q_model
0.0,1641.0,0.0,1641.0
1.0,1307.0,1.0,1170.9918695022561
2.0,990.0,2.0,947.4225379017786
3.0,975.0,3.0,811.5513340888912
4.0,794.0,4.0,718.3147302592402
5.0,623.0,5.0,649.4684475132598
6.0,534.0,6.0,596.0667797163026
7.0,498.0,7.0,553.1523630696603
8.0,492.0,8.0,517.7323805890757
9.0,410.0,9.0,487.881511442154
10.0,405.0,10.0,462.298813818143
11.0,332.0,11.0,440.0701345755713
12.0,606.0,12.0,420.5322395990506
13.0,467.0,13.0,403.1909608332381
14.0,385.0,14.0,387.66971687281847
15.0,416.0,15.0,373.6759433353721
16.0,331.0,16.0,360.9785158569867
17.0,42.0,17.0,349.39215582513975
18.0,114.0,18.0,338.76640564278284
19.0,422.0,19.0,328.9776732017828
20.0,469.0,20.0,319.92338578713753
21.0,371.0,21.0,311.51762372082305
22.0,446.0,22.0,303.68781120959005
23.0,358.0,23.0,296.3721750797022
24.0,391.0,24.0,289.5177696532087
25.0,296.0,25.0,283.0789247389654
26.0,74.0,26.0,277.01601379968685
27.0,315.0,27.0,271.2944671789183
28.0,297.0,28.0,265.8839748750332
29.0,280.0,29.0,260.7578373542515
30.0,305.0,30.0,255.8924330289186
31.0,297.0,31.0,251.26677844810092
32.0,63.0,32.0,246.86216274161404
33.0,256.0,33.0,242.66184196808754
34.0,254.0,34.0,238.65078212108125
35.0,206.0,35.0,234.81544191199225
36.0,272.0,36.0,231.14358826555582
37.0,272.0,37.0,227.62413887104475
38.0,306.0,38.0,224.24702723034918
39.0,247.0,39.0,221.00308650694015
40.0,192.0,40.0,217.8839491621973
41.0,227.0,41.0,214.88195990879632
42.0,164.0,42.0,211.99009994580425
43.0,74.0,43.0,209.2019207903605
44.0,194.0,44.0,206.51148630434858
45.0,48.0,45.0,203.91332174516384
46.0,9.0,46.0,201.40236885831425
47.0,200.0,47.0,198.9739461845382
48.0,0.0,48.0,196.62371388196794
49.0,235.0,49.0,194.3476424697984
50.0,244.0,50.0,192.1419849880431
51.0,21.0,51.0,190.0032521415624
52.0,321.0,52.0,187.92819005824222
53.0,223.0,53.0,185.9137603431064
54.0,208.0,54.0,183.95712215395858
55.0,234.0,55.0,182.05561606125647
56.0,436.0,56.0,180.20674948644887
57.0,203.0,57.0,178.40818353987098
58.0,221.0,58.0,176.65772110225976
59.0,243.0,59.0,174.9532960136309
60.0,207.0,60.0,173.29296325017737
61.0,184.0,61.0,171.67488998442622
62.0,174.0,62.0,170.09734743648443
63.0,233.0,63.0,168.55870343511148
64.0,208.0,64.0,167.05741561682473
65.0,199.0,65.0,165.59202519948192
66.0,173.0,66.0,164.16115127397043
67.0,171.0,67.0,162.7634855639102
68.0,172.0,68.0,161.3977876087765
69.0,172.0,69.0,160.0628803306738
70.0,255.0,70.0,158.7576459492342
71.0,180.0,71.0,157.4810222128505
72.0,80.0,72.0,156.23199891775394
73.0,0.0,73.0,155.00961468936114
74.0,278.0,74.0,153.81295400289815
75.0,188.0,75.0,152.64114442260168
76.0,151.0,76.0,151.49335404083257
77.0,152.0,77.0,150.36878910025013
78.0,146.0,78.0,149.2666917838114
79.0,140.0,79.0,148.18633815880108
80.0,155.0,80.0,147.12703626238965
81.0,151.0,81.0,146.08812431737024
82.0,143.0,82.0,145.0689690677619
83.0,145.0,83.0,144.06896422489604
84.0,130.0,84.0,143.08752901543917
85.0,200.0,85.0,142.12410682355886
86.0,132.0,86.0,141.17816392011636
87.0,91.0,87.0,140.24918827238386
88.0,127.0,88.0,139.33668842833686
89.0,247.0,89.0,138.44019247007282
90.0,11.0,90.0,137.55924703136108
91.0,482.0,91.0,136.69341637474056
92.0,269.0,92.0,135.84228152395426
93.0,222.0,93.0,135.0054394478501
94.0,204.0,94.0,134.18250229218506
95.0,174.0,95.0,133.37309665605179
96.0,145.0,96.0,132.5768629099023
97.0,157.0,97.0,131.7934545523778
98.0,172.0,98.0,131.0225376033667
99.0,205.0,99.0,130.26379003090864
100.0,171.0,100.0,129.51690120974104
101.0,152.0,101.0,128.78157140944768
102.0,142.0,102.0,128.05751131031977
103.0,208.0,103.0,127.34444154517689
104.0,112.0,104.0,126.64209226552222
105.0,127.0,105.0,125.95020273052236
106.0,255.0,106.0,125.26852091740848
107.0,160.0,107.0,124.5968031519952
108.0,103.0,108.0,123.93481375810266
109.0,210.0,109.0,123.28232472475241
110.0,204.0,110.0,122.63911539008349
111.0,56.0,111.0,122.00497214100722
112.0,154.0,112.0,121.37968812768472
113.0,13.0,113.0,120.763062991972
114.0,57.0,114.0,120.15490260903412
115.0,27.0,115.0,119.5550188413813
116.0,63.0,116.0,118.96322930462928
117.0,62.0,117.0,118.3793571443303
118.0,31.0,118.0,117.80323082326281
119.0,20.0,119.0,117.23468391860683
120.0,343.0,120.0,116.67355492846764
121.0,456.0,121.0,116.11968708724385
122.0,329.0,122.0,115.57292818936689
123.0,75.0,123.0,115.03313042096818
124.0,59.0,124.0,114.50015019905646
125.0,44.0,125.0,113.97384801781372
126.0,29.0,126.0,113.45408830164074
127.0,72.0,127.0,112.94073926460568
128.0,89.0,128.0,112.4336727759692
129.0,80.0,129.0,111.93276423147859
130.0,41.0,130.0,111.43789243014153
131.0,62.0,131.0,110.94893945620619
132.0,39.0,132.0,110.46579056609032
133.0,0.0,133.0,109.9883340800166
134.0,67.0,134.0,109.51646127812471
135.0,24.0,135.0,109.05006630084371
136.0,93.0,136.0,108.58904605332043
137.0,101.0,137.0,108.13330011371006
138.0,219.0,138.0,107.68273064514689
139.0,163.0,139.0,107.23724231122162
140.0,186.0,140.0,106.79674219480219
141.0,147.0,141.0,106.361139720043
142.0,61.0,142.0,105.93034657743594
143.0,3.0,143.0,105.50427665176436
144.0,0.0,144.0,105.08284595282827
145.0,269.0,145.0,104.66597254881577
146.0,71.0,146.0,104.25357650220266
147.0,149.0,147.0,103.84557980806763
148.0,66.0,148.0,103.44190633471626
149.0,93.0,149.0,103.04248176651319
150.0,47.0,150.0,102.64723354882541
151.0,53.0,151.0,102.25609083498611
152.0,135.0,152.0,101.8689844351919
,,153.0,101.48584676725058
,,154.0,101.10661180910152
,,155.0,100.73121505303338
,,156.0,100.35959346152828
,,157.0,99.99168542466482
,,158.0,99.6274307190153
,,159.0,99.2667704679757
,,160.0,98.90964710347
,,161.0,98.55600432897307
,,162.0,98.20578708379878
,,163.0,97.85894150860264
,,164.0,97.51541491205064
,,165.0,97.17515573860797
,,166.0,96.83811353740363
,,167.0,96.50423893212864
,,168.0,96.17348359192779
,,169.0,95.84580020324643
,,170.0,95.52114244259555
,,171.0,95.19946495019998
,,172.0,94.88072330449634
,,173.0,94.56487399744832
,,174.0,94.25187441064875
,,175.0,93.94168279217921
,,176.0,93.63425823419863
,,177.0,93.3295606512342
,,178.0,93.02755075914895
,,179.0,92.72819005476077
,,180.0,92.43144079608977
,,181.0,92.13726598321078
,,182.0,91.84562933968962
,,183.0,91.556495294582
,,184.0,91.2698289649753
,,185.0,90.98559613905373
,,186.0,90.7037632596686
,,187.0,90.42429740839633
,,188.0,90.14716629006662
,,189.0,89.87233821774497
,,190.0,89.59978209815381
