t,q,t_model,q_model
0.0,1641.0,0.0,1689.3222603418724
1.0,1307.0,1.0,1205.4738768004302
2.0,990.0,2.0,975.3211354217343
3.0,975.0,3.0,835.4489543488772
4.0,794.0,4.0,739.4668273969543
5.0,623.0,5.0,668.5932393502906
6.0,534.0,6.0,613.6190613193451
7.0,498.0,7.0,569.4409508191874
8.0,492.0,8.0,532.9779618701499
9.0,410.0,9.0,502.24807903014545
10.0,405.0,10.0,475.9120518663204
11.0,332.0,11.0,453.0288083181938
12.0,606.0,12.0,432.91558412315544
13.0,467.0,13.0,415.0636595394376
14.0,385.0,14.0,399.0853640302763
15.0,416.0,15.0,384.67951811742364
16.0,331.0,16.0,371.60819155538036
17.0,42.0,17.0,359.68064986242825
18.0,114.0,18.0,348.7420049411076
19.0,422.0,19.0,338.66502528656036
20.0,469.0,20.0,329.3441177417136
21.0,371.0,21.0,320.6908325657463
22.0,446.0,22.0,312.63045683781866
23.0,358.0,23.0,305.0993983595854
24.0,391.0,24.0,298.04315237032057
25.0,296.0,25.0,291.4147038361827
26.0,74.0,26.0,285.17325934368205
27.0,315.0,27.0,279.28323126930786
28.0,297.0,28.0,273.7134170777408
29.0,280.0,29.0,268.4363310183683
30.0,305.0,30.0,263.42765592248264
31.0,297.0,31.0,258.66579044288017
32.0,63.0,32.0,254.13147273342267
33.0,256.0,33.0,249.80746579661906
34.0,254.0,34.0,245.67829292208452
35.0,206.0,35.0,241.73001407309104
36.0,272.0,36.0,237.9500359489944
37.0,272.0,37.0,234.32694990006433
38.0,306.0,38.0,230.85039300165684
39.0,247.0,39.0,227.5109284828973
40.0,192.0,40.0,224.29994240761533
41.0,227.0,41.0,221.2095540644847
42.0,164.0,42.0,218.23253797108194
43.0,74.0,43.0,215.36225575711953
44.0,194.0,44.0,212.59259648398645
45.0,48.0,45.0,209.9179241952222
46.0,9.0,46.0,207.33303168673672
47.0,200.0,47.0,204.83309964509817
48.0,0.0,48.0,202.41366043382064
49.0,235.0,49.0,200.0705659166325
