t,q,t_model,q_model
0.0,5129.0,0.0,5129.0
1.0,4566.0,1.0,4010.9502312127797
2.0,4547.0,2.0,3187.416586756496
3.0,3427.0,3.0,2568.924307887064
4.0,2639.0,4.0,2096.414449628078
5.0,1470.0,5.0,1729.9150783187904
6.0,1231.0,6.0,1441.7655214748675
7.0,1146.0,7.0,1212.4419168952682
8.0,308.0,8.0,1027.9166837145403
9.0,62.0,9.0,877.9483582692685
10.0,45.0,10.0,754.9501714952447
11.0,245.0,11.0,653.226948289123
12.0,408.0,12.0,568.4513180840361
13.0,1761.0,13.0,497.2983764930328
14.0,1260.0,14.0,437.1870877048596
15.0,1083.0,15.0,386.094743534746
16.0,53.0,16.0,342.4221620585994
17.0,128.0,17.0,304.89460658320957
18.0,517.0,18.0,272.4881694894696
19.0,618.0,19.0,244.37452337124665
20.0,37.0,20.0,219.8790654102165
21.0,681.0,21.0,198.44892806037424
22.0,282.0,22.0,179.62832767640094
23.0,28.0,23.0,163.03941984354273
24.0,2.0,24.0,148.3673222095503
25.0,255.0,25.0,135.34831650888583
26.0,97.0,26.0,123.76049413944781
27.0,32.0,27.0,113.4162932702524
28.0,241.0,28.0,104.15651005666645
29.0,27.0,29.0,95.8454660171161
30.0,454.0,30.0,88.36708771978128
31.0,28.0,31.0,81.62171052536618
32.0,199.0,32.0,75.52346014417475
33.0,30.0,33.0,69.99809772498917
34.0,21.0,34.0,64.98123866056252
35.0,516.0,35.0,60.41687414041305
36.0,24.0,36.0,56.25613908215628
37.0,35.0,37.0,52.456281447168685
38.0,82.0,38.0,48.97979685496567
39.0,82.0,39.0,45.79369942355498
40.0,105.0,40.0,42.86890531062832
41.0,63.0,41.0,40.179709839566335
42.0,230.0,42.0,37.70334261432148
43.0,175.0,43.0,35.4195878497623
44.0,23.0,44.0,33.31045941670237
45.0,29.0,45.0,31.359921938078095
46.0,71.0,46.0,29.553650763752515
47.0,38.0,47.0,27.878824865971954
48.0,66.0,48.0,26.323947690415313
49.0,79.0,49.0,24.87869181232205
50.0,49.0,50.0,23.533763917648518
51.0,74.0,51.0,22.280787182867307
52.0,157.0,52.0,21.112198585666217
53.0,141.0,53.0,20.021159059893712
54.0,266.0,54.0,19.001474725673717
55.0,0.0,55.0,18.04752769101988
56.0,146.0,56.0,17.15421514369711
57.0,90.0,57.0,16.316895638970376
58.0,53.0,58.0,15.531341646329306
59.0,45.0,59.0,14.793697551255189
60.0,53.0,60.0,14.100442420682807
61.0,1.0,61.0,13.448356936357019
62.0,13.0,62.0,12.83449398155878
63.0,228.0,63.0,12.256152435965406
64.0,56.0,64.0,11.710853792610775
65.0,149.0,65.0,11.19632126160031
66.0,77.0,66.0,10.710461068725907
67.0,164.0,67.0,10.25134569451554
68.0,188.0,68.0,9.817198831459644
69.0,46.0,69.0,9.406381864952966
70.0,10.0,70.0,9.017381707525209
71.0,2.0,71.0,8.648799836753202
72.0,2.0,72.0,8.299342405313864
73.0,687.0,73.0,7.967811307341553
74.0,8.0,74.0,7.653096098927954
75.0,7.0,75.0,7.3541666825289695
76.0,14.0,76.0,7.070066675461509
77.0,6.0,77.0,6.7999073917887
78.0,18.0,78.0,6.542862374879813
79.0,50.0,79.0,6.298162424941289
80.0,0.0,80.0,6.0650910719763065
81.0,272.0,81.0,5.84298045005292
82.0,143.0,82.0,5.631207533540236
83.0,13.0,83.0,5.42919070019017
84.0,2.0,84.0,5.236386589670423
85.0,103.0,85.0,5.0522872294531345
86.0,44.0,86.0,4.876417402886873
87.0,113.0,87.0,4.708332236872922
88.0,59.0,88.0,4.547614988870438
89.0,63.0,89.0,4.39387501500379
90.0,507.0,90.0,4.246745902869545
91.0,293.0,91.0,4.105883754266768
92.0,409.0,92.0,3.970965604525487
93.0,281.0,93.0,3.8416879664048866
94.0,126.0,94.0,3.7177654876924127
95.0,0.0,95.0,3.5989297126734545
96.0,0.0,96.0,3.484927938571948
97.0,0.0,97.0,3.37552215889737
98.0,106.0,98.0,3.2704880863836223
99.0,52.0,99.0,3.169614248879639
100.0,47.0,100.0,3.0727011521584173
101.0,26.0,101.0,2.9795605041577464
102.0,0.0,102.0,2.890014495658836
103.0,0.0,103.0,2.8038951328538175
104.0,46.0,104.0,2.7210436176548503
105.0,0.0,105.0,2.6413097719608265
106.0,0.0,106.0,2.564551502426337
107.0,0.0,107.0,2.4906343025752626
108.0,0.0,108.0,2.419430789371175
109.0,0.0,109.0,2.3508202716014956
,,110.0,2.284688347654621
,,111.0,2.2209265304711465
,,112.0,2.159431897633988
,,113.0,2.1001067647292957
,,114.0,2.042858380262262
,,115.0,1.9875986405507209
,,116.0,1.9342438231458887
,,117.0,1.8827143374452124
,,118.0,1.8329344912677032
,,119.0,1.7848322722586778
,,120.0,1.738339143078989
,,121.0,1.6933898494146138
,,122.0,1.6499222399164581
,,123.0,1.6078770972479974
,,124.0,1.567197979480617
,,125.0,1.5278310711335348
,,126.0,1.4897250432076636
,,127.0,1.4528309216108743
,,128.0,1.4171019634164839
,,129.0,1.3824935404374623
,,130.0,1.3489630296364403
,,131.0,1.3164697099261098
,,132.0,1.2849746649464642
,,133.0,1.2544406914347326
,,134.0,1.2248322128309148
,,135.0,1.1961151977868971
,,136.0,1.1682570832702033
,,137.0,1.141226701974839
,,138.0,1.1149942137714066
,,139.0,1.0895310409469892
,,140.0,1.0648098070021852
,,141.0,1.0408042787883856
,,142.0,1.0174893117828865
,,143.0,0.9948407983129035
,,144.0,0.9728356185520547
,,145.0,0.9514515941244547
,,146.0,0.9306674441623484
,,147.0,0.9104627436731857
,,148.0,0.8908178840813614
,,149.0,0.8717140358184539
