t,q,t_model,q_model
0.0,5129.0,0.0,5689.820306109776
1.0,4566.0,1.0,4449.519608568956
2.0,4547.0,2.0,3535.9383153359763
3.0,3427.0,3.0,2849.8182280902356
4.0,2639.0,4.0,2325.6427189541405
5.0,1470.0,5.0,1919.0692026640156
6.0,1231.0,6.0,1599.4125055052934
7.0,1146.0,7.0,1345.0139673872798
8.0,308.0,8.0,1140.3121895082884
9.0,62.0,9.0,973.9458757255263
10.0,45.0,10.0,837.4986967975631
11.0,245.0,11.0,724.6527500240928
12.0,408.0,12.0,630.6074971084843
13.0,1761.0,13.0,551.6744786050853
14.0,1260.0,14.0,484.9904404741871
15.0,1083.0,15.0,428.3115055266609
16.0,53.0,16.0,379.8636324708581
17.0,128.0,17.0,338.23270106463195
18.0,517.0,18.0,302.2828465462793
19.0,618.0,19.0,271.0951696965524
20.0,37.0,20.0,243.92130459338847
21.0,681.0,21.0,220.14793148832823
22.0,282.0,22.0,199.26942997966987
23.0,28.0,23.0,180.86664100646257
24.0,2.0,24.0,164.59025203178615
25.0,255.0,25.0,150.14770904075482
26.0,97.0,26.0,137.2928392764301
27.0,32.0,27.0,125.81757233238127
28.0,241.0,28.0,115.54529653615671
29.0,27.0,29.0,106.3254979124082
30.0,454.0,30.0,98.02941121072242
31.0,28.0,31.0,90.54647416000049
32.0,199.0,32.0,83.78142271709842
33.0,30.0,33.0,77.65190053123412
34.0,21.0,34.0,72.08648298830849
35.0,516.0,35.0,67.02303710582974
36.0,24.0,36.0,62.407354746147114
37.0,35.0,37.0,58.19200923398516
38.0,82.0,38.0,54.33539534695173
39.0,82.0,39.0,50.80092042737974
40.0,105.0,40.0,47.55632051805619
41.0,63.0,41.0,44.57308031560992
42.0,230.0,42.0,41.82593964031593
43.0,175.0,43.0,39.29247225221614
44.0,23.0,44.0,36.95272536459324
45.0,29.0,45.0,34.78891024396455
46.0,71.0,46.0,32.7851359398081
47.0,38.0,47.0,30.927179534584784
48.0,66.0,48.0,29.202287406101888
49.0,79.0,49.0,27.599002897874247
50.0,49.0,50.0,26.107016536913644
51.0,74.0,51.0,24.717035552581173
52.0,157.0,52.0,23.420669958928784
53.0,141.0,53.0,22.21033288571592
54.0,266.0,54.0,21.079153195587832
55.0,0.0,55.0,20.020898719329963
56.0,146.0,56.0,19.029908687850195
