t,q,t_model,q_model
0.0,414.0,0.0,414.0
1.0,267.0,1.0,400.5661531767397
2.0,191.0,2.0,387.52312466527
3.0,312.0,3.0,374.8608658334283
4.0,708.0,4.0,362.56955221186035
5.0,650.0,5.0,350.63957926185736
6.0,1420.0,6.0,339.06155820848323
7.0,1401.0,7.0,327.8263119382167
8.0,503.0,8.0,316.9248709603282
9.0,1554.0,9.0,306.3484694312322
10.0,2120.0,10.0,296.08854124104977
11.0,371.0,11.0,286.1367161616249
12.0,87.0,12.0,276.4848160552533
13.0,74.0,13.0,267.12485114337886
14.0,111.0,14.0,258.0490163345198
15.0,0.0,15.0,249.2496876107032
16.0,60.0,16.0,240.71941847167952
17.0,165.0,17.0,232.45093643620532
18.0,607.0,18.0,224.4371395996805
19.0,1533.0,19.0,216.6710932474416
20.0,247.0,20.0,209.14602652301014
21.0,45.0,21.0,201.8553291506076
22.0,245.0,22.0,194.79254821124928
23.0,362.0,23.0,187.95138497174185
24.0,50.0,24.0,181.32569176591042
25.0,50.0,25.0,174.9094689273866
26.0,24.0,26.0,168.6968617733003
27.0,60.0,27.0,162.68215763822
28.0,0.0,28.0,156.8597829576893
29.0,19.0,29.0,151.2243004007229
30.0,9.0,30.0,145.77040605062015
31.0,110.0,31.0,140.49292663346867
32.0,0.0,32.0,135.38681679370993
33.0,28.0,33.0,130.4471564161503
34.0,87.0,34.0,125.66914799380214
35.0,161.0,35.0,121.04811404094845
36.0,557.0,36.0,116.57949455082658
37.0,909.0,37.0,112.25884449733788
38.0,453.0,38.0,108.08183138019025
39.0,390.0,39.0,104.04423281288811
40.0,169.0,40.0,100.14193415299196
41.0,322.0,41.0,96.37092617407231
42.0,26.0,42.0,92.72730277878868
43.0,50.0,43.0,89.20725875253244
44.0,80.0,44.0,85.8070875570747
45.0,373.0,45.0,82.52317916366643
46.0,312.0,46.0,79.35201792504587
47.0,182.0,47.0,76.29018048580991
48.0,0.0,48.0,73.3343337306144
49.0,167.0,49.0,70.48123276967259
50.0,49.0,50.0,67.72771896102486
51.0,36.0,51.0,65.0707179690614
52.0,10.0,52.0,62.5072378587815
53.0,73.0,53.0,60.03436722527913
54.0,261.0,54.0,57.64927335795139
55.0,78.0,55.0,55.3492004389294
56.0,52.0,56.0,53.13146777523646
57.0,14.0,57.0,50.99346806418517
58.0,13.0,58.0,48.93266569152864
59.0,70.0,59.0,46.946595061885255
60.0,28.0,60.0,45.0328589609642
61.0,42.0,61.0,43.189126949120855
62.0,695.0,62.0,41.41313378577809
63.0,132.0,63.0,39.702677884252935
64.0,34.0,64.0,38.05561979653455
65.0,57.0,65.0,36.46988072756272
66.0,25.0,66.0,34.94344107856196
67.0,17.0,67.0,33.474339018989944
68.0,5.0,68.0,32.06066908666525
69.0,161.0,69.0,30.700580815642926
70.0,70.0,70.0,29.392277391410847
71.0,91.0,71.0,28.134014332985917
,,72.0,26.924098201492388
,,73.0,25.760885334809327
,,74.0,24.64278060787983
,,75.0,23.568236218277995
,,76.0,22.535750496634126
,,77.0,21.54386674152475
,,78.0,20.59117207843587
,,79.0,19.676296342414314
,,80.0,18.79791098402623
,,81.0,17.954727998244525
,,82.0,17.14549887589346
,,83.0,16.369013577281635
,,84.0,15.624099527658865
,,85.0,14.909620634137456
,,86.0,14.224476323721916
,,87.0,13.567600602095274
,,88.0,12.93796113281499
,,89.0,12.334558336574945
,,90.0,11.75642451019393
,,91.0,11.202622964996284
,,92.0,10.672247184252626
,,93.0,10.164419999354012
,,94.0,9.67829278439658
,,95.0,9.213044668856789
,,96.0,8.7678817680426
,,97.0,8.342036431008921
,,98.0,7.934766505629669
,,99.0,7.545354620522993
,,100.0,7.173107483529661
,,101.0,6.817355196448331
,,102.0,6.477450585735629
,,103.0,6.152768548882214
,,104.0,5.842705416179845
,,105.0,5.546678327598333
,,106.0,5.264124624494674
,,107.0,4.994501255880178
,,108.0,4.7372841989755505
,,109.0,4.491967893786574
,,110.0,4.258064691437432
,,111.0,4.035104316001649
