t,q,t_model,q_model
0.0,9178.0,0.0,9178.0
1.0,7506.0,1.0,7799.016795008237
2.0,5664.0,2.0,6782.6317972589495
3.0,4709.0,3.0,6002.205717301423
4.0,3408.0,4.0,5383.967666840634
5.0,4298.0,5.0,4882.021821253343
6.0,3598.0,6.0,4466.31165631945
7.0,4222.0,7.0,4116.326354648221
8.0,4468.0,8.0,3817.5880541150445
9.0,5118.0,9.0,3559.5844588093464
10.0,4064.0,10.0,3334.4973585329253
11.0,1584.0,11.0,3136.391049881047
12.0,4773.0,12.0,2960.677573184992
13.0,3457.0,13.0,2803.754509733102
14.0,2509.0,14.0,2662.753675006664
15.0,2360.0,15.0,2535.363008726578
16.0,1869.0,16.0,2419.697933625138
17.0,2293.0,17.0,2314.206858216516
18.0,1991.0,18.0,2217.600695567647
19.0,1496.0,19.0,2128.799564593625
20.0,1907.0,20.0,2046.8919762181974
21.0,1792.0,21.0,1971.103219679593
22.0,1511.0,22.0,1900.770616350205
23.0,1843.0,23.0,1835.3239608702452
24.0,1652.0,24.0,1774.269923434465
25.0,1499.0,25.0,1717.1795075659777
26.0,1327.0,26.0,1663.6778869293762
27.0,1485.0,27.0,1613.4361106785473
28.0,1389.0,28.0,1566.1642883354389
29.0,1366.0,29.0,1521.605955099035
30.0,1148.0,30.0,1479.5333856642621
31.0,1322.0,31.0,1439.7436752961105
32.0,1126.0,32.0,1402.0554454466078
33.0,2350.0,33.0,1366.3060607614825
34.0,1511.0,34.0,1332.3492671674132
35.0,1186.0,35.0,1300.0531785131789
36.0,1141.0,36.0,1269.2985531751983
37.0,1048.0,37.0,1239.9773130321928
38.0,948.0,38.0,1211.9912659397842
39.0,1006.0,39.0,1185.2509998020782
40.0,1012.0,40.0,1159.6749219294727
41.0,1115.0,41.0,1135.1884218847667
42.0,968.0,42.0,1111.7231396798184
43.0,895.0,43.0,1089.2163241678084
44.0,866.0,44.0,1067.610268918153
45.0,777.0,45.0,1046.8518148690703
46.0,1247.0,46.0,1026.89191071081
47.0,933.0,47.0,1007.6852233270978
48.0,674.0,48.0,989.1897917662781
49.0,814.0,49.0,971.3667191691633
50.0,654.0,50.0,954.1798978815954
51.0,1516.0,51.0,937.5957636534501
52.0,817.0,52.0,921.58307539438
53.0,592.0,53.0,906.1127174379008
54.0,518.0,54.0,891.1575216741395
55.0,473.0,55.0,876.6921072596076
56.0,588.0,56.0,862.6927359096327
57.0,488.0,57.0,849.1371810336368
58.0,441.0,58.0,836.0046091920237
59.0,525.0,59.0,823.2754725415984
60.0,741.0,60.0,810.9314110987951
61.0,582.0,61.0,798.9551637904522
62.0,366.0,62.0,787.3304873836289
63.0,999.0,63.0,776.042082491778
64.0,689.0,64.0,765.0755259467203
65.0,650.0,65.0,754.4172089062876
66.0,681.0,66.0,744.054280137803
67.0,745.0,67.0,733.9745939791802
68.0,524.0,68.0,724.1666625334988
69.0,650.0,69.0,714.6196117004824
70.0,704.0,70.0,705.323140690209
71.0,661.0,71.0,696.2674847013742
72.0,587.0,72.0,687.4433804791348
73.0,612.0,73.0,678.8420344965213
74.0,601.0,74.0,670.4550935291012
75.0,788.0,75.0,662.2746174154071
76.0,598.0,76.0,654.293053815948
77.0,749.0,77.0,646.5032148017342
78.0,611.0,78.0,638.8982551193936
79.0,704.0,79.0,631.471651994403
80.0,133.0,80.0,624.2171863468759
81.0,434.0,81.0,617.1289253059325
82.0,731.0,82.0,610.2012059190713
83.0,654.0,83.0,603.428619962299
84.0,484.0,84.0,596.8059997651759
85.0,499.0,85.0,590.3284049725082
86.0,840.0,86.0,583.9911101712353
87.0,534.0,87.0,577.7895933172332
88.0,484.0,88.0,571.7195249023168
89.0,516.0,89.0,565.7767578067746
,,90.0,559.9573177873305
,,91.0,554.2573945545727
,,92.0,548.6733333976538
,,93.0,543.2016273174778
,,94.0,537.8389096327088
,,95.0,532.5819470257594
,,96.0,527.4276329985036
,,97.0,522.3729817098149
,,98.0,517.4151221691778
,,99.0,512.5512927625892
,,100.0,507.7788360887659
,,101.0,503.09519408532014
,,102.0,498.4979034260763
,,103.0,493.98459117208256
,,104.0,489.5529706601506
,,105.0,485.20083761391396
,,106.0,480.92606646347895
,,107.0,476.7266068607225
,,108.0,472.6004803782076
,,109.0,468.5457773805205
,,110.0,464.5606540576104
,,111.0,460.64332961042453
,,112.0,456.7920835797916
,,113.0,453.0052533101155
,,114.0,449.2812315400039
,,115.0,445.6184641124801
,,116.0,442.01544779790635
,,117.0,438.470728223197
,,118.0,434.9828979013133
,,119.0,431.55059435541784
,,120.0,428.1724983324232
,,121.0,424.84733210100177
,,122.0,421.573857829433
,,123.0,418.3508760389505
,,124.0,415.17722412852055
,,125.0,412.0517749672292
,,126.0,408.97343555069057
,,127.0,405.94114571810263
,,128.0,402.95387692678065
,,129.0,400.0106310811827
