t,q,t_model,q_model
2015-09-01,6437.0,2015-11-01,13092.868639820119
2015-10-01,13584.0,2015-12-01,9474.050397595873
2015-11-01,13403.0,2016-01-01,7527.43905547829
2015-12-01,9178.0,2016-02-01,6296.257572353964
2016-01-01,7506.0,2016-03-01,5440.810246525707
2016-02-01,5664.0,2016-04-01,4808.593960062702
2016-03-01,4709.0,2016-05-01,4320.481011373744
2016-04-01,3408.0,2016-06-01,3931.132134221211
2016-05-01,4298.0,2016-07-01,3612.6116010235924
2016-06-01,3598.0,2016-08-01,3346.7228160578998
2016-07-01,4222.0,2016-09-01,3121.0798923973375
2016-08-01,4468.0,2016-10-01,2926.94556101284
2016-09-01,5118.0,2016-11-01,2757.971244986347
2016-10-01,4064.0,2016-12-01,2609.427563186488
2016-11-01,1584.0,2017-01-01,2477.715521639383
2016-12-01,4773.0,2017-02-01,2360.0454560679223
2017-01-01,3457.0,2017-03-01,2254.2200011233494
2017-02-01,2509.0,2017-04-01,2158.483660146003
2017-03-01,2360.0,2017-05-01,2071.416218335855
2017-04-01,1869.0,2017-06-01,1991.8557349713953
2017-05-01,2293.0,2017-07-01,1918.8419305713094
2017-06-01,1991.0,2017-08-01,1851.5739129848043
2017-07-01,1496.0,2017-09-01,1789.3781627675257
2017-08-01,1907.0,2017-10-01,1731.6839761219949
2017-09-01,1792.0,2017-11-01,1678.0044074223472
2017-10-01,1511.0,2017-12-01,1627.9213210742316
2017-11-01,1843.0,2018-01-01,1581.0735511279956
2017-12-01,1652.0,2018-02-01,1537.1474373851684
2018-01-01,1499.0,2018-03-01,1495.8691975021854
2018-02-01,1327.0,2018-04-01,1456.9987310325319
2018-03-01,1485.0,2018-05-01,1420.3245501482402
2018-04-01,1389.0,2018-06-01,1385.659604154877
2018-05-01,1366.0,2018-07-01,1352.837818500197
2018-06-01,1148.0,2018-08-01,1321.7112090509263
2018-07-01,1322.0,2018-09-01,1292.1474626630622
2018-08-01,1126.0,2018-10-01,1264.0278981075767
2018-09-01,2350.0,2018-11-01,1237.245739100912
2018-10-01,1511.0,2018-12-01,1211.7046448757799
2018-11-01,1186.0,2019-01-01,1187.3174543952696
2018-12-01,1141.0,2019-02-01,1164.0051086854896
2019-01-01,1048.0,2019-03-01,1141.6957223757217
2019-02-01,948.0,2019-04-01,1120.323780792092
2019-03-01,1006.0,2019-05-01,1099.829443153923
2019-04-01,1012.0,2019-06-01,1080.1579358012636
2019-05-01,1115.0,2019-07-01,1061.2590221134906
2019-06-01,968.0,2019-08-01,1043.0865379977317
2019-07-01,895.0,2019-09-01,1025.5979836370516
2019-08-01,866.0,2019-10-01,1008.7541636735618
2019-09-01,777.0,2019-11-01,992.5188692248953
2019-10-01,1247.0,2019-12-01,976.8585961442484
2019-11-01,933.0,2020-01-01,961.7422947743997
2019-12-01,674.0,2020-02-01,947.1411471465237
2020-01-01,814.0,2020-03-01,933.0283681606784
2020-02-01,654.0,2020-04-01,919.3790277769393
2020-03-01,1516.0,2020-05-01,906.1698916607836
2020-04-01,817.0,2020-06-01,893.3792780768192
2020-05-01,592.0,2020-07-01,880.9869291221679
2020-06-01,518.0,2020-08-01,868.9738946436227
2020-07-01,473.0,2020-09-01,857.322427398355
2020-08-01,588.0,2020-10-01,846.0158882024423
2020-09-01,488.0,2020-11-01,835.0386599697507
2020-10-01,441.0,2020-12-01,824.3760696798233
2020-11-01,525.0,2021-01-01,814.0143174307934
2020-12-01,741.0,2021-02-01,803.9404118347943
2021-01-01,582.0,2021-03-01,794.1421111012447
2021-02-01,366.0,2021-04-01,784.6078692297195
2021-03-01,999.0,2021-05-01,775.3267868005664
2021-04-01,689.0,2021-06-01,766.2885659093821
2021-05-01,650.0,2021-07-01,757.4834688421187
2021-06-01,681.0,2021-08-01,748.9022801319637
2021-07-01,745.0,2021-09-01,740.5362716780726
2021-08-01,524.0,2021-10-01,732.3771706404742
