t,q,t_model,q_model
0.0,8.0,0.0,8.0
1.0,432.0,1.0,8.016623414191232
2.0,322.0,2.0,8.01717360184467
3.0,40.0,3.0,8.017495458494603
4.0,406.0,4.0,8.017723827258108
5.0,156.0,5.0,8.017900968312308
6.0,43.0,6.0,8.018045705997386
7.0,137.0,7.0,8.018168082004863
8.0,124.0,8.0,8.01827409043406
9.0,122.0,9.0,8.018367597658795
10.0,150.0,10.0,8.018451243645618
11.0,122.0,11.0,8.018526911396417
12.0,0.0,12.0,8.018595991264174
13.0,156.0,13.0,8.018659539107919
14.0,189.0,14.0,8.018718375670428
15.0,146.0,15.0,8.018773151587713
16.0,206.0,16.0,8.018824391375079
17.0,181.0,17.0,8.018872524054975
18.0,233.0,18.0,8.018917905017299
19.0,14.0,19.0,8.0189608319615
20.0,230.0,20.0,8.019001556744819
21.0,30.0,21.0,8.019040294336785
22.0,8.0,22.0,8.019077229688763
23.0,35.0,23.0,8.019112523075243
24.0,234.0,24.0,8.019146314297533
25.0,77.0,25.0,8.019178726028796
26.0,7.0,26.0,8.019209866502623
27.0,110.0,27.0,8.019239831693943
28.0,224.0,28.0,8.019268707103135
29.0,102.0,29.0,8.019296569226906
30.0,130.0,30.0,8.01932348677974
31.0,122.0,31.0,8.019349521714975
32.0,84.0,32.0,8.019374730083737
33.0,90.0,33.0,8.019399162761644
34.0,442.0,34.0,8.01942286606702
35.0,48.0,35.0,8.01944588228945
36.0,289.0,36.0,8.019468250143879
37.0,217.0,37.0,8.019490005162467
38.0,383.0,38.0,8.019511180034195
39.0,169.0,39.0,8.019531804900328
40.0,78.0,40.0,8.01955190761249
41.0,45.0,41.0,8.019571513958848
42.0,74.0,42.0,8.019590647863051
43.0,110.0,43.0,8.019609331559748
44.0,352.0,44.0,8.019627585749934
45.0,204.0,45.0,8.019645429738835
46.0,28.0,46.0,8.019662881558629
47.0,14.0,47.0,8.019679958077981
48.0,37.0,48.0,8.019696675100041
49.0,36.0,49.0,8.019713047450328
50.0,42.0,50.0,8.01972908905575
51.0,46.0,51.0,8.019744813015787
52.0,38.0,52.0,8.019760231666773
53.0,255.0,53.0,8.019775356640036
54.0,33.0,54.0,8.019790198914631
55.0,25.0,55.0,8.019804768865203
56.0,10.0,56.0,8.019819076305566
57.0,56.0,57.0,8.019833130528406
58.0,20.0,58.0,8.019846940341539
59.0,39.0,59.0,8.019860514101067
60.0,52.0,60.0,8.019873859741747
61.0,37.0,61.0,8.019886984804856
62.0,31.0,62.0,8.019899896463784
63.0,15.0,63.0,8.01991260154757
64.0,0.0,64.0,8.019925106562615
65.0,362.0,65.0,8.019937417712677
66.0,60.0,66.0,8.01994954091736
67.0,203.0,67.0,8.019961481829203
68.0,88.0,68.0,8.019973245849513
69.0,8.0,69.0,8.019984838143035
70.0,3.0,70.0,8.019996263651565
71.0,0.0,71.0,8.020007527106605
72.0,20.0,72.0,8.02001863304112
73.0,0.0,73.0,8.020029585800502
74.0,286.0,74.0,8.020040389552776
75.0,62.0,75.0,8.020051048298116
76.0,2.0,76.0,8.020061565877752
77.0,21.0,77.0,8.020071945982268
78.0,6.0,78.0,8.020082192159387
79.0,2.0,79.0,8.020092307821246
80.0,180.0,80.0,8.020102296251215
81.0,206.0,81.0,8.020112160610308
82.0,288.0,82.0,8.020121903943174
83.0,538.0,83.0,8.020131529183748
84.0,108.0,84.0,8.020141039160553
85.0,118.0,85.0,8.020150436601687
86.0,97.0,86.0,8.020159724139527
87.0,70.0,87.0,8.020168904315153
88.0,124.0,88.0,8.020177979582515
89.0,89.0,89.0,8.020186952312386
90.0,50.0,90.0,8.020195824796064
91.0,16.0,91.0,8.020204599248896
92.0,362.0,92.0,8.02021327781359
93.0,147.0,93.0,8.020221862563368
94.0,183.0,94.0,8.02023035550492
95.0,489.0,95.0,8.020238758581241
96.0,10.0,96.0,8.020247073674282
97.0,24.0,97.0,8.020255302607495
98.0,78.0,98.0,8.020263447148217
99.0,58.0,99.0,8.020271509009966
100.0,48.0,100.0,8.020279489854587
,,101.0,8.020287391294328
,,102.0,8.020295214893775
,,103.0,8.020302962171726
,,104.0,8.020310634602955
,,105.0,8.0203182336199
,,106.0,8.02032576061426
,,107.0,8.020333216938537
,,108.0,8.020340603907492
,,109.0,8.020347922799523
,,110.0,8.020355174858013
,,111.0,8.020362361292582
,,112.0,8.020369483280307
,,113.0,8.020376541966879
,,114.0,8.020383538467701
,,115.0,8.020390473868956
,,116.0,8.020397349228613
,,117.0,8.020404165577396
,,118.0,8.02041092391972
,,119.0,8.02041762523456
,,120.0,8.020424270476322
,,121.0,8.020430860575653
,,122.0,8.020437396440217
,,123.0,8.020443878955449
,,124.0,8.02045030898528
,,125.0,8.020456687372821
,,126.0,8.02046301494103
,,127.0,8.020469292493344
,,128.0,8.020475520814303
,,129.0,8.020481700670128
,,130.0,8.020487832809291
,,131.0,8.020493917963053
,,132.0,8.020499956845997
,,133.0,8.02050595015653
,,134.0,8.020511898577356
,,135.0,8.02051780277596
,,136.0,8.020523663405042
,,137.0,8.020529481102963
,,138.0,8.020535256494153
,,139.0,8.020540990189518
,,140.0,8.020546682786827
