t,q,t_model,q_model
2010-12-01,6180.0,2011-01-01,4450.0785941826625
2011-01-01,4463.0,2011-02-01,1696.7407278469168
2011-02-01,1622.0,2011-03-01,1189.4631385278096
2011-03-01,715.0,2011-04-01,952.1371620745738
2011-04-01,1022.0,2011-05-01,809.3650652379358
2011-05-01,275.0,2011-06-01,712.1124048279491
2011-06-01,1382.0,2011-07-01,640.71507772096
2011-07-01,1356.0,2011-08-01,585.5980532201721
2011-08-01,623.0,2011-09-01,541.4843593705118
2011-09-01,885.0,2011-10-01,505.20273346717966
2011-10-01,702.0,2011-11-01,474.7209978524578
2011-11-01,818.0,2011-12-01,448.67067585378146
2011-12-01,264.0,2012-01-01,426.09306173347164
2012-01-01,434.0,2012-02-01,406.29448650244956
2012-02-01,885.0,2012-03-01,388.75938088064925
2012-03-01,421.0,2012-04-01,373.09574319378515
2012-04-01,313.0,2012-05-01,358.9996648180921
2012-05-01,286.0,2012-06-01,346.23152481855624
2012-06-01,354.0,2012-07-01,334.5995808584482
2012-07-01,258.0,2012-08-01,323.94839045486145
2012-08-01,334.0,2012-09-01,314.15047051312393
2012-09-01,224.0,2012-10-01,305.1001785728261
2012-10-01,271.0,2012-11-01,296.70914998116774
2012-11-01,307.0,2012-12-01,288.9028449713642
2012-12-01,197.0,2013-01-01,281.61790071958586
2013-01-01,315.0,2013-02-01,274.80007606115043
2013-02-01,241.0,2013-03-01,268.402638551646
2013-03-01,254.0,2013-04-01,262.3850858320374
2013-04-01,233.0,2013-05-01,256.7121225576322
2013-05-01,173.0,2013-06-01,251.35283476971836
2013-06-01,294.0,2013-07-01,246.2800183016132
2013-07-01,154.0,2013-08-01,241.46962844528093
2013-08-01,214.0,2013-09-01,236.90032588319693
2013-09-01,202.0,2013-10-01,232.5530996429464
2013-10-01,383.0,2013-11-01,228.41095213070878
2013-11-01,220.0,2013-12-01,224.4586345428722
2013-12-01,142.0,2014-01-01,220.68242342384917
2014-01-01,98.0,2014-02-01,217.06993103348634
2014-02-01,38.0,2014-03-01,213.60994365408118
