t,q,t_model,q_model
0.0,1963.0,0.0,1963.0
1.0,1361.0,1.0,1588.653522497526
2.0,1017.0,2.0,1355.0963398191816
3.0,989.0,3.0,1192.9594981364369
4.0,923.0,4.0,1072.607472976994
5.0,792.0,5.0,979.0612417648755
6.0,709.0,6.0,903.861324682088
7.0,944.0,7.0,841.8363122513904
8.0,818.0,8.0,789.6307277457242
9.0,801.0,9.0,744.9636444232684
10.0,573.0,10.0,706.2254961075532
11.0,608.0,11.0,672.2450291937384
12.0,766.0,12.0,642.1477462579811
13.0,603.0,13.0,615.2663040183021
14.0,199.0,14.0,591.0817871022386
15.0,909.0,15.0,569.1840526854841
16.0,700.0,16.0,549.2442516881107
17.0,610.0,17.0,530.9953519370727
18.0,695.0,18.0,514.2180546334034
19.0,444.0,19.0,498.7304281853383
20.0,593.0,20.0,484.3801559013877
21.0,475.0,21.0,471.03865481825375
22.0,501.0,22.0,458.59655579961367
23.0,444.0,23.0,446.9601885941567
24.0,341.0,24.0,436.0488187797756
25.0,362.0,25.0,425.792454167719
26.0,357.0,26.0,416.13008737093327
27.0,329.0,27.0,407.00827591740307
28.0,473.0,28.0,398.37998610016757
29.0,275.0,29.0,390.2036447327266
30.0,289.0,30.0,382.44235615699654
31.0,332.0,31.0,375.06325161712226
32.0,456.0,32.0,368.03694542341907
33.0,352.0,33.0,361.337077855674
34.0,323.0,34.0,354.9399289674152
35.0,427.0,35.0,348.82409069114414
36.0,218.0,36.0,342.9701871536586
37.0,223.0,37.0,337.3606350690323
38.0,328.0,38.0,331.9794376160719
39.0,343.0,39.0,326.8120064248342
40.0,331.0,40.0,321.84500726619524
41.0,280.0,41.0,317.06622581473493
42.0,201.0,42.0,312.46445048029307
43.0,278.0,43.0,308.02936980959527
44.0,319.0,44.0,303.7514823710892
45.0,260.0,45.0,299.62201737276166
46.0,392.0,46.0,295.6328645392074
47.0,250.0,47.0,291.77651200231435
48.0,104.0,48.0,288.0459911489074
49.0,352.0,49.0,284.4348275258675
50.0,127.0,50.0,280.93699703449374
51.0,269.0,51.0,277.5468867558701
52.0,415.0,52.0,274.259259841513
53.0,546.0,53.0,271.06922398165005
54.0,238.0,54.0,267.972203029589
55.0,0.0,55.0,264.9639114167834
56.0,3.0,56.0,262.04033104103894
57.0,148.0,57.0,259.19769035117884
58.0,223.0,58.0,256.43244538650777
59.0,0.0,59.0,253.7412625595082
60.0,494.0,60.0,251.12100299612166
61.0,339.0,61.0,248.5687082703587
62.0,245.0,62.0,246.081587389359
63.0,140.0,63.0,243.6570049018454
64.0,359.0,64.0,241.29247001754447
65.0,260.0,65.0,238.98562663789878
66.0,266.0,66.0,236.73424420953717
67.0,142.0,67.0,234.53620932172328
68.0,281.0,68.0,232.38951797755666
69.0,199.0,69.0,230.2922684762219
70.0,223.0,70.0,228.24265485020058
71.0,398.0,71.0,226.2389608072051
72.0,227.0,72.0,224.27955413175428
73.0,178.0,73.0,222.36288150588155
74.0,286.0,74.0,220.48746371252238
75.0,75.0,75.0,218.65189118872468
76.0,350.0,76.0,216.85481989903397
77.0,152.0,77.0,215.09496750225597
78.0,1.0,78.0,213.3711097873505
79.0,42.0,79.0,211.68207735648568
80.0,226.0,80.0,210.02675253532124
81.0,150.0,81.0,208.40406649241592
82.0,0.0,82.0,206.81299655129433
83.0,48.0,83.0,205.25256368018265
84.0,5.0,84.0,203.72183014574875
85.0,0.0,85.0,202.21989731837766
86.0,19.0,86.0,200.74590361759144
87.0,675.0,87.0,199.29902258719744
88.0,246.0,88.0,197.8784610906285
89.0,103.0,89.0,196.48345761773732
90.0,257.0,90.0,195.1132806950301
91.0,204.0,91.0,193.76722739197965
92.0,171.0,92.0,192.44462191665556
93.0,116.0,93.0,191.14481429445004
94.0,119.0,94.0,189.8671791241715
95.0,111.0,95.0,188.61111440622784
96.0,244.0,96.0,187.3760404380312
97.0,234.0,97.0,186.16139877213064
98.0,135.0,98.0,184.96665123292104
99.0,79.0,99.0,183.79127898808954
100.0,156.0,100.0,182.63478167124813
101.0,71.0,101.0,181.49667655246222
102.0,124.0,102.0,180.3764977536272
103.0,116.0,103.0,179.27379550586602
104.0,115.0,104.0,178.18813544632226
105.0,171.0,105.0,177.11909795191272
106.0,138.0,106.0,176.06627750777326
107.0,21.0,107.0,175.02928210829057
108.0,117.0,108.0,174.0077326887589
109.0,180.0,109.0,173.00126258583504
110.0,135.0,110.0,172.00951702508885
111.0,85.0,111.0,171.0321526340618
112.0,3.0,112.0,170.0688369793519
113.0,235.0,113.0,169.11924812634183
114.0,333.0,114.0,168.18307422027698
115.0,0.0,115.0,167.26001308748587
,,116.0,166.34977185561203
,,117.0,165.4520665917994
,,118.0,164.56662195784043
,,119.0,163.69317088135864
,,120.0,162.83145424215496
,,121.0,161.98122057290126
,,122.0,161.142225773415
,,123.0,160.31423283779515
,,124.0,159.49701159374365
,,125.0,158.6903384534358
,,126.0,157.89399617534366
,,127.0,157.10777363644834
,,128.0,156.33146561431283
,,129.0,155.5648725785163
,,130.0,154.8078004909802
,,131.0,154.06006061474343
,,132.0,153.32146933076817
,,133.0,152.5918479623834
,,134.0,151.871022606993
,,135.0,151.1588239746974
,,136.0,150.45508723349766
,,137.0,149.75965186076667
,,138.0,149.07236150069235
,,139.0,148.39306382741145
,,140.0,147.72161041356856
,,141.0,147.0578566040488
,,142.0,146.40166139464668
,,143.0,145.75288731544467
,,144.0,145.11140031868865
,,145.0,144.47706967095672
,,146.0,143.84976784942978
,,147.0,143.229370442081
,,148.0,142.61575605161116
,,149.0,142.00880620296576
,,150.0,141.40840525427726
,,151.0,140.8144403110844
,,152.0,140.22680114368757
,,153.0,139.64538010750584
,,154.0,139.0700720663086
,,155.0,138.5007743182
