t,q,t_model,q_model
2007-04-01,3982.0,2007-09-01,1804.1561955028862
2007-05-01,3836.0,2007-10-01,1460.1014239029012
2007-06-01,3498.0,2007-11-01,1245.4434319857673
2007-07-01,2455.0,2007-12-01,1096.4265254950924
2007-08-01,2858.0,2008-01-01,985.813254057126
2007-09-01,1963.0,2008-02-01,899.8366811547883
2007-10-01,1361.0,2008-03-01,830.7218587878934
2007-11-01,1017.0,2008-04-01,773.7158422555518
2007-12-01,989.0,2008-05-01,725.7346763229247
2008-01-01,923.0,2008-06-01,684.6820043355317
2008-02-01,792.0,2008-07-01,649.0785044444939
2008-03-01,709.0,2008-08-01,617.8476996005613
2008-04-01,944.0,2008-09-01,590.1858557511728
2008-05-01,818.0,2008-10-01,565.4796302999399
2008-06-01,801.0,2008-11-01,543.2520979365369
2008-07-01,573.0,2008-12-01,523.1263041436359
2008-08-01,608.0,2009-01-01,504.80000994775924
2008-09-01,766.0,2009-02-01,488.02779112608516
2008-10-01,603.0,2009-03-01,472.6080942976549
2008-11-01,199.0,2009-04-01,458.3737095753365
2008-12-01,909.0,2009-05-01,445.1846455670619
2009-01-01,700.0,2009-06-01,432.92272410173103
2009-02-01,610.0,2009-07-01,421.48742607343763
2009-03-01,695.0,2009-08-01,410.7926609247511
2009-04-01,444.0,2009-09-01,400.76422717434923
2009-05-01,593.0,2009-10-01,391.3377963245384
2009-06-01,475.0,2009-11-01,382.45729763903546
2009-07-01,501.0,2009-12-01,374.07361315197704
2009-08-01,444.0,2010-01-01,366.14351507232345
2009-09-01,341.0,2010-02-01,358.62879427017623
2009-10-01,362.0,2010-03-01,351.4955406435897
2009-11-01,357.0,2010-04-01,344.71354514034084
2009-12-01,329.0,2010-05-01,338.25579992848657
2010-01-01,473.0,2010-06-01,332.09807828742896
2010-02-01,275.0,2010-07-01,326.2185796627185
2010-03-01,289.0,2010-08-01,320.59762830417134
2010-04-01,332.0,2010-09-01,315.2174162129687
2010-05-01,456.0,2010-10-01,310.06178292337387
2010-06-01,352.0,2010-11-01,305.1160260593989
2010-07-01,323.0,2010-12-01,300.36673772597743
2010-08-01,427.0,2011-01-01,295.80166268516433
2010-09-01,218.0,2011-02-01,291.4095749813404
2010-10-01,223.0,2011-03-01,287.1801702539101
2010-11-01,328.0,2011-04-01,283.10397144107543
2010-12-01,343.0,2011-05-01,279.17224595669194
2011-01-01,331.0,2011-06-01,275.3769327316054
2011-02-01,280.0,2011-07-01,271.7105777649906
2011-03-01,201.0,2011-08-01,268.16627704085465
