t,q,t_model,q_model
2010-08-01,2825.0,2016-02-01,50.64848673056418
2010-09-01,448.0,2016-03-01,22.394972990621056
2010-10-01,458.0,2016-04-01,9.56420061280071
2010-11-01,107.0,2016-05-01,3.9329576880363764
2010-12-01,260.0,2016-06-01,1.5517916343166798
2011-01-01,662.0,2016-07-01,0.5851109620259971
2011-02-01,496.0,2016-08-01,0.20985099567476279
2011-03-01,129.0,2016-09-01,0.07120340702583262
2011-04-01,149.0,2016-10-01,0.022711874995602618
2011-05-01,81.0,2016-11-01,0.006759457404087922
2011-06-01,142.0,2016-12-01,0.001860332234528585
2011-07-01,95.0,2017-01-01,0.0004683784335032166
2011-08-01,0.0,2017-02-01,0.00010646195283044583
2011-09-01,166.0,2017-03-01,2.149152233352059e-05
2011-10-01,154.0,2017-04-01,3.7743198316775155e-06
2011-11-01,153.0,2017-05-01,5.615145388863377e-07
2011-12-01,246.0,2017-06-01,6.833255118871826e-08
2012-01-01,173.0,2017-07-01,6.486998660423678e-09
2012-02-01,147.0,2017-08-01,4.4950593993046026e-10
2012-03-01,131.0,2017-09-01,2.0625975056148565e-11
2012-04-01,183.0,2017-10-01,5.389153864113135e-13
2012-05-01,171.0,2017-11-01,6.226181675887143e-15
2012-06-01,151.0,2017-12-01,1.9798082996848985e-17
2012-07-01,189.0,2018-01-01,5.977117365174516e-21
2012-08-01,268.0,2018-02-01,5.740448134211901e-27
2012-09-01,74.0,2018-03-01,2.298342840790404e-108
2012-10-01,408.0,2018-04-01,
2012-11-01,390.0,2018-05-01,
2012-12-01,88.0,2018-06-01,
2013-01-01,115.0,2018-07-01,
2013-02-01,90.0,2018-08-01,
2013-03-01,144.0,2018-09-01,
2013-04-01,108.0,2018-10-01,
2013-05-01,102.0,2018-11-01,
2013-06-01,107.0,2018-12-01,
2013-07-01,85.0,2019-01-01,
2013-08-01,346.0,2019-02-01,
2013-09-01,167.0,2019-03-01,
2013-10-01,9.0,2019-04-01,
2013-11-01,132.0,2019-05-01,
2013-12-01,323.0,2019-06-01,
2014-01-01,146.0,2019-07-01,
2014-02-01,85.0,2019-08-01,
2014-03-01,115.0,2019-09-01,
2014-04-01,120.0,2019-10-01,
2014-05-01,102.0,2019-11-01,
2014-06-01,121.0,2019-12-01,
2014-07-01,98.0,2020-01-01,
2014-08-01,80.0,2020-02-01,
2014-09-01,77.0,2020-03-01,
2014-10-01,50.0,2020-04-01,
2014-11-01,117.0,2020-05-01,
2014-12-01,114.0,2020-06-01,
2015-01-01,106.0,2020-07-01,
2015-02-01,61.0,2020-08-01,
2015-03-01,63.0,2020-09-01,
2015-04-01,87.0,2020-10-01,
2015-05-01,91.0,2020-11-01,
2015-06-01,89.0,2020-12-01,
2015-07-01,28.0,2021-01-01,
2015-08-01,32.0,2021-02-01,
2015-09-01,4.0,2021-03-01,
2015-10-01,2.0,2021-04-01,
2015-11-01,109.0,2021-05-01,
2015-12-01,140.0,2021-06-01,
2016-01-01,159.0,2021-07-01,
2016-02-01,49.0,2021-08-01,
2016-03-01,31.0,2021-09-01,
2016-04-01,0.0,2021-10-01,
2016-05-01,0.0,2021-11-01,
2016-06-01,0.0,2021-12-01,
2016-07-01,11.0,2022-01-01,
2016-08-01,0.0,2022-02-01,
2016-09-01,17.0,2022-03-01,
2016-10-01,0.0,2022-04-01,
2016-11-01,0.0,2022-05-01,
2016-12-01,2.0,2022-06-01,
2017-01-01,0.0,2022-07-01,
2017-02-01,0.0,2022-08-01,
2017-03-01,0.0,2022-09-01,
2017-04-01,0.0,2022-10-01,
2017-05-01,0.0,2022-11-01,
2017-06-01,0.0,2022-12-01,
2017-07-01,0.0,2023-01-01,
2017-08-01,0.0,2023-02-01,
2017-09-01,0.0,2023-03-01,
2017-10-01,0.0,2023-04-01,
2017-11-01,0.0,2023-05-01,
2017-12-01,0.0,2023-06-01,
2018-01-01,0.0,2023-07-01,
2018-02-01,0.0,2023-08-01,
2018-03-01,0.0,2023-09-01,
