t,q,t_model,q_model
0.0,6444.0,0.0,6444.0
1.0,5995.0,1.0,5038.295940084327
2.0,5344.0,2.0,4104.629001075403
3.0,4182.0,3.0,3443.5135473802884
4.0,3478.0,4.0,2953.0714966268
5.0,2446.0,5.0,2576.1149956060617
6.0,2123.0,6.0,2278.1887530968415
7.0,1713.0,7.0,2037.3584909312208
8.0,1419.0,8.0,1839.0307799986413
9.0,1529.0,9.0,1673.1384108685666
10.0,1298.0,10.0,1532.5233905766402
11.0,1661.0,11.0,1411.9640273846817
12.0,1314.0,12.0,1307.5662784135925
13.0,882.0,13.0,1216.370068612028
14.0,826.0,14.0,1136.0871991272327
15.0,998.0,15.0,1064.9224020789213
16.0,948.0,16.0,1001.448414687479
17.0,821.0,17.0,944.5170233247095
18.0,1107.0,18.0,893.1945895700866
19.0,686.0,19.0,846.7145699754712
20.0,501.0,20.0,804.442042586535
21.0,1381.0,21.0,765.8468541298654
22.0,764.0,22.0,730.4830479511728
23.0,1068.0,23.0,697.9729295862538
24.0,1102.0,24.0,667.9945990641214
25.0,982.0,25.0,640.2721041966662
26.0,978.0,26.0,614.5675963054922
27.0,978.0,27.0,590.6750307489118
28.0,842.0,28.0,568.4150700167565
29.0,987.0,29.0,547.6309308978116
30.0,848.0,30.0,528.1849786472774
31.0,769.0,31.0,509.95591659538616
32.0,879.0,32.0,492.8364536853865
33.0,827.0,33.0,476.73135812630784
,,34.0,461.55582490409904
,,35.0,447.23409989836523
,,36.0,433.69831494761354
,,37.0,420.8874972309821
,,38.0,408.7467234056864
,,39.0,397.2263945149063
,,40.0,386.2816121033835
,,41.0,375.8716395060516
,,42.0,365.9594351048019
,,43.0,356.5112466299483
,,44.0,347.4962574314399
,,45.0,338.8862771496078
,,46.0,330.6554704456826
,,47.0,322.7801184628125
,,48.0,315.2384085216093
,,49.0,308.0102482441428
,,50.0,301.0771008736422
,,51.0,294.42183903539024
,,52.0,288.02861458457284
,,53.0,281.88274252302926
,,54.0,275.97059725010604
,,55.0,270.27951965223235
,,56.0,264.79773373880835
,,57.0,259.5142717045727
,,58.0,254.41890644575957
,,59.0,249.50209068315618
,,60.0,244.75490195300995
,,61.0,240.16899281940366
,,62.0,235.73654574155353
,,63.0,231.4502320984238
,,64.0,227.30317493272116
,,65.0,223.28891502809006
,,66.0,219.4013799783286
,,67.0,215.6348559466408
,,68.0,211.98396184715816
,,69.0,208.44362571089326
,,70.0,205.00906302451352
,,71.0,201.67575685334864
,,72.0,198.43943958030064
,,73.0,195.2960761101682
