t,q,t_model,q_model
2020-06-01,827.0,2020-07-01,13392.38970322495
2020-07-01,13402.0,2020-08-01,7691.753631243097
2020-08-01,7820.0,2020-09-01,5161.255416821815
2020-09-01,4423.0,2020-10-01,3778.58479534858
2020-10-01,4169.0,2020-11-01,2925.1175306502737
2020-11-01,3252.0,2020-12-01,2354.0924154081968
2020-12-01,2765.0,2021-01-01,1949.4872921465
2021-01-01,2474.0,2021-02-01,1650.2201741537285
2021-02-01,1412.0,2021-03-01,1421.3521827714694
2021-03-01,1341.0,2021-04-01,1241.585539095493
2021-04-01,1117.0,2021-05-01,1097.266285151048
2021-05-01,979.0,2021-06-01,979.2746326658046
2021-06-01,606.0,2021-07-01,881.308595806047
2021-07-01,680.0,2021-08-01,798.8866851322787
2021-08-01,507.0,2021-09-01,728.742920648606
2021-09-01,217.0,2021-10-01,668.4461431010006
2021-10-01,326.0,2021-11-01,616.1527859718469
2021-11-01,879.0,2021-12-01,570.4418468148531
2021-12-01,575.0,2022-01-01,530.2020348166424
2022-01-01,279.0,2022-02-01,494.5529287828624
2022-02-01,223.0,2022-03-01,462.78883359974407
2022-03-01,16.0,2022-04-01,434.33810860511863
2022-04-01,0.0,2022-05-01,408.7332441586314
2022-05-01,657.0,2022-06-01,385.5885342410894
2022-06-01,1197.0,2022-07-01,364.58320184982864
2022-07-01,628.0,2022-08-01,345.4484948934736
2022-08-01,768.0,2022-09-01,327.95771129146357
2022-09-01,373.0,2022-10-01,311.9184112331808
2022-10-01,452.0,2022-11-01,297.16628077949633
2022-11-01,300.0,2022-12-01,283.56025515528523
2022-12-01,462.0,2023-01-01,270.9786122023331
2023-01-01,386.0,2023-02-01,259.3158196927246
2023-02-01,426.0,2023-03-01,248.47997331919785
2023-03-01,429.0,2023-04-01,238.39070111841954
2023-04-01,343.0,2023-05-01,228.97743891533
2023-05-01,367.0,2023-06-01,220.1780029254351
,,2023-07-01,211.93740189897846
,,2023-08-01,204.2068435422613
,,2023-09-01,196.9428994144786
,,2023-10-01,190.10679980219334
,,2023-11-01,183.66383575005847
,,2023-12-01,177.58284986733747
,,2024-01-01,171.83580102588706
,,2024-02-01,166.3973908339715
,,2024-03-01,161.24474197534178
,,2024-04-01,156.35712026866364
,,2024-05-01,151.71569372345346
,,2024-06-01,147.30332301804353
,,2024-07-01,143.10437875906973
,,2024-08-01,139.10458164432086
,,2024-09-01,135.29086227572998
,,2024-10-01,131.65123788369448
,,2024-11-01,128.1747036490142
,,2024-12-01,124.85113666136765
,,2025-01-01,121.67121084682901
,,2025-02-01,118.62632144220882
,,2025-03-01,115.70851779961613
,,2025-04-01,112.91044347756441
,,2025-05-01,110.22528272083224
,,2025-06-01,107.64671255473786
,,2025-07-01,105.1688598242558
,,2025-08-01,102.78626259756409
,,2025-09-01,100.49383542969964
,,2025-10-01,98.2868380471015
,,2025-11-01,96.16084706966315
,,2025-12-01,94.11173043493743
,,2026-01-01,92.13562423052504
,,2026-02-01,90.22891167643824
,,2026-03-01,88.3882040301941
,,2026-04-01,86.61032321425672
,,2026-05-01,84.89228598881569
,,2026-06-01,83.23128951324212
,,2026-07-01,81.62469815734092
,,2026-08-01,80.07003143906498
,,2026-09-01,78.56495297898489
,,2026-10-01,77.10726037377174
,,2026-11-01,75.69487590147472
,,2026-12-01,74.32583798064755
,,2027-01-01,72.99829331356094
,,2027-02-01,71.7104896509728
,,2027-03-01,70.46076912233289
,,2027-04-01,69.24756208097901
,,2027-05-01,68.0693814189267
,,2027-06-01,66.92481731034103
,,2027-07-01,65.81253234677646
,,2027-08-01,64.73125703083494
,,2027-09-01,63.67978559807715
,,2027-10-01,62.656972139869985
,,2027-11-01,61.66172700240319
,,2027-12-01,60.69301343939585
,,2028-01-01,59.749844498066444
,,2028-02-01,58.83128011978611
,,2028-03-01,57.936424438496104
,,2028-04-01,57.064423261467205
,,2028-05-01,56.21446171832916
,,2028-06-01,55.38576206551743
,,2028-07-01,54.577581634387215
,,2028-08-01,53.78921091224214
,,2028-09-01,53.01997174642924
,,2028-10-01,52.26921566247099
,,2028-11-01,51.53632228795008
,,2028-12-01,50.820697874538126
,,2029-01-01,50.121773911175055
,,2029-02-01,49.43900582196582
,,2029-03-01,48.771871742871106
,,2029-04-01,48.119871371734384
,,2029-05-01,47.482524886612744
,,2029-06-01,46.85937192776674
,,2029-07-01,46.24997063901985
,,2029-08-01,45.65389676452309
,,2029-09-01,45.070742797257914
,,2029-10-01,44.50011717588336
,,2029-11-01,43.94164352678393
,,2029-12-01,43.39495994840465
,,2030-01-01,42.85971833517056
,,2030-02-01,42.3355837384828
,,2030-03-01,41.82223376246159
,,2030-04-01,41.319357992271584
,,2030-05-01,40.82665745301645
,,2030-06-01,40.34384409732962
,,2030-07-01,39.87064031991726
,,2030-08-01,39.40677849742871
,,2030-09-01,38.95200055214007
,,2030-10-01,38.50605753803832
,,2030-11-01,38.06870924798759
,,2030-12-01,37.6397238407469
,,2031-01-01,37.21887748668921
,,2031-02-01,36.805954031146676
,,2031-03-01,36.40074467437691
,,2031-04-01,36.00304766720911
,,2031-05-01,35.612668021489256
,,2031-06-01,35.22941723449923
,,2031-07-01,34.85311302657634
,,2031-08-01,34.48357909120829
,,2031-09-01,34.12064485692306
