t,q,t_model,q_model
0.0,13591.0,0.0,13866.922333724697
1.0,10867.0,1.0,10704.177789646013
2.0,9267.0,2.0,8897.515471053992
3.0,8223.0,3.0,7705.066945265454
4.0,7077.0,4.0,6848.625321129812
5.0,6589.0,5.0,6198.280732848222
6.0,5009.0,6.0,5684.513922545124
7.0,3117.0,7.0,5266.4629758323445
8.0,5794.0,8.0,4918.398080880001
9.0,6124.0,9.0,4623.23911754284
10.0,5595.0,10.0,4369.163256193712
11.0,5260.0,11.0,4147.703604182653
12.0,4435.0,12.0,3952.6231498717643
13.0,3054.0,13.0,3779.2169303957767
14.0,3344.0,14.0,3623.8628273748445
15.0,3246.0,15.0,3483.7229086155126
16.0,2134.0,16.0,3356.539254754054
17.0,3185.0,17.0,3240.4909529710826
18.0,2144.0,18.0,3134.091775313332
19.0,1956.0,19.0,3036.1155713102744
20.0,2392.0,20.0,2945.5409438343
21.0,3240.0,21.0,2861.5095986632464
22.0,2462.0,22.0,2783.294556770085
23.0,2001.0,23.0,2710.2755910986834
24.0,1171.0,24.0,2641.920030037933
25.0,1315.0,25.0,2577.7675989196728
26.0,1185.0,26.0,2517.418335699062
27.0,1306.0,27.0,2460.5228724608482
28.0,619.0,28.0,2406.774555870322
29.0,3166.0,29.0,2355.9030102964766
30.0,2726.0,30.0,2307.6688424838703
31.0,1806.0,31.0,2261.859256752174
32.0,1403.0,32.0,2218.2844018966057
33.0,1225.0,33.0,2176.774310205534
34.0,1181.0,34.0,2137.1763187888228
35.0,1722.0,35.0,2099.3528861998657
36.0,1915.0,36.0,2063.17973491704
37.0,1628.0,37.0,2028.5442639192258
38.0,4977.0,38.0,1995.344186292732
39.0,4548.0,39.0,1963.486355243946
40.0,3674.0,40.0,1932.8857485855237
41.0,5149.0,41.0,1903.464587106612
42.0,3831.0,42.0,1875.1515665265626
43.0,2317.0,43.0,1847.881186193555
,,44.0,1821.5931604985212
,,45.0,1796.2319012652076
,,46.0,1771.7460612536934
,,47.0,1748.0881304589411
,,48.0,1725.2140781623223
,,49.0,1703.0830347533117
,,50.0,1681.657008221159
,,51.0,1660.9006309544634
,,52.0,1640.7809331062192
,,53.0,1621.2671393037733
,,54.0,1602.3304859242348
,,55.0,1583.9440565298462
,,56.0,1566.082633375904
,,57.0,1548.7225631751248
,,58.0,1531.84163553448
,,59.0,1515.4189726796283
,,60.0,1499.4349292533675
,,61.0,1483.8710011222163
,,62.0,1468.7097422529503
,,63.0,1453.9346888315688
,,64.0,1439.5302898933082
,,65.0,1425.4818438160044
,,66.0,1411.775440102138
,,67.0,1398.3979059387368
,,68.0,1385.3367570802604
,,69.0,1372.5801526487
,,70.0,1360.1168534883388
,,71.0,1347.9361837506717
,,72.0,1336.0279954186176
,,73.0,1324.382635508867
,,74.0,1312.9909157175628
,,75.0,1301.8440842978703
,,76.0,1290.9337999787815
,,77.0,1280.2521077529939
,,78.0,1269.7914163781923
,,79.0,1259.5444774507966
,,80.0,1249.504365924415
,,81.0,1239.6644619570266
,,82.0,1230.0184339815148
,,83.0,1220.5602229036606
