t,q,t_model,q_model
0.0,11573.0,0.0,11248.499679075152
1.0,6971.0,1.0,7821.2799902446295
2.0,6263.0,2.0,6306.778893494833
3.0,4703.0,3.0,5409.57508337562
4.0,4488.0,4.0,4801.00142881104
5.0,4599.0,5.0,4354.230629378277
6.0,4155.0,6.0,4008.7040358737304
7.0,3909.0,7.0,3731.4123750265844
8.0,3665.0,8.0,3502.64605268038
9.0,3902.0,9.0,3309.8226977835675
10.0,3590.0,10.0,3144.487181478074
11.0,3658.0,11.0,3000.7221684552037
12.0,3533.0,12.0,2874.2473660376204
13.0,1788.0,13.0,2761.880686493896
14.0,4395.0,14.0,2661.2012412617805
15.0,3145.0,15.0,2570.330559902199
16.0,1204.0,16.0,2487.7859824731445
17.0,2063.0,17.0,2412.3796947610135
18.0,2591.0,18.0,2343.147522329544
19.0,2381.0,19.0,2279.297650944589
20.0,2119.0,20.0,2220.17300655681
21.0,2492.0,21.0,2165.223196215383
22.0,2401.0,22.0,2113.9832670526107
23.0,2441.0,23.0,2066.057409613196
24.0,1954.0,24.0,2021.1063015675174
25.0,1835.0,25.0,1978.837168976384
26.0,2110.0,26.0,1938.995901932332
27.0,1605.0,27.0,1901.3607412832753
28.0,1825.0,28.0,1865.7371796793225
29.0,1928.0,29.0,1831.9538104531994
30.0,1996.0,30.0,1799.8589230833684
31.0,1245.0,31.0,1769.3176917066223
32.0,1503.0,32.0,1740.2098384401731
33.0,1775.0,33.0,1712.4276796490587
34.0,1687.0,34.0,1685.8744831977679
35.0,1195.0,35.0,1660.4630798802773
36.0,2643.0,36.0,1636.1146838610402
37.0,1362.0,37.0,1612.7578859684575
38.0,1751.0,38.0,1590.3277907085426
39.0,1649.0,39.0,1568.7652733850864
40.0,950.0,40.0,1548.0163380761815
41.0,1985.0,41.0,1528.0315606890522
42.0,803.0,42.0,1508.7656040944773
43.0,1286.0,43.0,1490.1767945795625
44.0,1261.0,44.0,1472.2267506685985
45.0,2656.0,45.0,1454.8800568350593
46.0,760.0,46.0,1438.1039758323022
47.0,1427.0,47.0,1421.868194359834
48.0,681.0,48.0,1406.144597598215
49.0,1889.0,49.0,1390.9070688219172
50.0,1891.0,50.0,1376.1313108620222
51.0,1637.0,51.0,1361.7946866604768
52.0,1361.0,52.0,1347.8760765514705
53.0,1666.0,53.0,1334.3557502368387
54.0,2094.0,54.0,1321.2152517020918
55.0,1148.0,55.0,1308.4372955565757
56.0,1625.0,56.0,1296.0056734825632
57.0,1296.0,57.0,1283.9051696496065
58.0,2245.0,58.0,1272.1214840971356
59.0,1877.0,59.0,1260.6411632139711
60.0,811.0,60.0,1249.4515365514715
61.0,1336.0,61.0,1238.5406593001435
62.0,707.0,62.0,1227.8972598400028
63.0,1390.0,63.0,1217.5106918446534
64.0,1152.0,64.0,1207.37089047956
65.0,1228.0,65.0,1197.4683322876347
66.0,569.0,66.0,1187.7939984011855
67.0,879.0,67.0,1178.339340759404
68.0,1180.0,68.0,1169.096251045732
69.0,1131.0,69.0,1160.0570320902962
70.0,1142.0,70.0,1151.2143715097347
71.0,1055.0,71.0,1142.561317380647
72.0,1199.0,72.0,1134.0912557640029
73.0,1466.0,73.0,1125.7978899164962
74.0,470.0,74.0,1117.675221041376
75.0,850.0,75.0,1109.7175304459413
76.0,821.0,76.0,1101.9193629859292
77.0,933.0,77.0,1094.2755116886333
78.0,910.0,78.0,1086.7810034569357
79.0,1143.0,79.0,1079.4310857656753
80.0,1243.0,80.0,1072.221214270047
81.0,674.0,81.0,1065.147041253119
82.0,396.0,82.0,1058.2044048461983
83.0,778.0,83.0,1051.38931896174
84.0,876.0,84.0,1044.6979638838502
85.0,943.0,85.0,1038.126677466268
86.0,957.0,86.0,1031.6719468920562
87.0,839.0,87.0,1025.330400953172
88.0,1006.0,88.0,1019.0988028116291
89.0,1049.0,89.0,1012.9740432071824
90.0,1143.0,90.0,1006.9531340793803
91.0,1103.0,91.0,1001.0332025744674
92.0,1140.0,92.0,995.2114854100138
93.0,1129.0,93.0,989.4853235723401
94.0,1066.0,94.0,983.852157323777
95.0,1288.0,95.0,978.3095214986103
96.0,1376.0,96.0,972.8550410682135
97.0,1058.0,97.0,967.4864269573643
98.0,429.0,98.0,962.2014720951238
99.0,588.0,99.0,956.9980476849063
100.0,1274.0,100.0,951.8740996795225
101.0,1471.0,101.0,946.8276454480273
102.0,515.0,102.0,941.8567706221723
103.0,584.0,103.0,936.9596261111487
104.0,831.0,104.0,932.1344252741178
105.0,780.0,105.0,927.3794412407781
106.0,772.0,106.0,922.6930043709061
107.0,185.0,107.0,918.0734998444364
108.0,514.0,108.0,913.5193653742398
109.0,1182.0,109.0,909.0290890342891
110.0,1146.0,110.0,904.6012071964041
111.0,1009.0,111.0,900.2343025692225
112.0,1213.0,112.0,895.9270023334751
113.0,405.0,113.0,891.6779763680256
114.0,2.0,114.0,887.4859355615091
115.0,595.0,115.0,883.3496302047346
116.0,995.0,116.0,879.2678484593271
117.0,1021.0,117.0,875.239414898382
118.0,1157.0,118.0,871.2631891151633
119.0,1198.0,119.0,867.3380643961333
120.0,1189.0,120.0,863.4629664548322
121.0,1177.0,121.0,859.6368522233396
122.0,1117.0,122.0,855.8587086982506
123.0,1004.0,123.0,852.1275518382893
124.0,922.0,124.0,848.4424255108529
125.0,976.0,125.0,844.8024004849411
126.0,950.0,126.0,841.206573468082
127.0,918.0,127.0,837.6540661850005
128.0,979.0,128.0,834.1440244959116
129.0,929.0,129.0,830.6756175524413
130.0,975.0,130.0,827.2480369892941
131.0,1051.0,131.0,823.8604961498938
132.0,1076.0,132.0,820.5122293443245
133.0,1023.0,133.0,817.2024911379938
134.0,1044.0,134.0,813.9305556695258
135.0,1000.0,135.0,810.6957159964794
136.0,1030.0,136.0,807.497283467559
137.0,1005.0,137.0,804.3345871200621
