t,q,t_model,q_model
2006-03-01,18880.0,2007-11-01,11248.499679075152
2006-04-01,25745.0,2007-12-01,7821.2799902446295
2006-05-01,26026.0,2008-01-01,6306.778893494833
2006-06-01,24927.0,2008-02-01,5409.57508337562
2006-07-01,25162.0,2008-03-01,4801.00142881104
2006-08-01,25178.0,2008-04-01,4354.230629378277
2006-09-01,24497.0,2008-05-01,4008.7040358737304
2006-10-01,25194.0,2008-06-01,3731.4123750265844
2006-11-01,23967.0,2008-07-01,3502.64605268038
2006-12-01,24435.0,2008-08-01,3309.8226977835675
2007-01-01,17858.0,2008-09-01,3144.487181478074
2007-02-01,22059.0,2008-10-01,3000.7221684552037
2007-03-01,17249.0,2008-11-01,2874.2473660376204
2007-04-01,19302.0,2008-12-01,2761.880686493896
2007-05-01,17925.0,2009-01-01,2661.2012412617805
2007-06-01,17969.0,2009-02-01,2570.330559902199
2007-07-01,17916.0,2009-03-01,2487.7859824731445
2007-08-01,17220.0,2009-04-01,2412.3796947610135
2007-09-01,16684.0,2009-05-01,2343.147522329544
2007-10-01,16267.0,2009-06-01,2279.297650944589
2007-11-01,11573.0,2009-07-01,2220.17300655681
2007-12-01,6971.0,2009-08-01,2165.223196215383
2008-01-01,6263.0,2009-09-01,2113.9832670526107
2008-02-01,4703.0,2009-10-01,2066.057409613196
2008-03-01,4488.0,2009-11-01,2021.1063015675174
2008-04-01,4599.0,2009-12-01,1978.837168976384
2008-05-01,4155.0,2010-01-01,1938.995901932332
2008-06-01,3909.0,2010-02-01,1901.3607412832753
2008-07-01,3665.0,2010-03-01,1865.7371796793225
2008-08-01,3902.0,2010-04-01,1831.9538104531994
2008-09-01,3590.0,2010-05-01,1799.8589230833684
2008-10-01,3658.0,2010-06-01,1769.3176917066223
2008-11-01,3533.0,2010-07-01,1740.2098384401731
2008-12-01,1788.0,2010-08-01,1712.4276796490587
2009-01-01,4395.0,2010-09-01,1685.8744831977679
2009-02-01,3145.0,2010-10-01,1660.4630798802773
2009-03-01,1204.0,2010-11-01,1636.1146838610402
2009-04-01,2063.0,2010-12-01,1612.7578859684575
2009-05-01,2591.0,2011-01-01,1590.3277907085426
2009-06-01,2381.0,2011-02-01,1568.7652733850864
2009-07-01,2119.0,2011-03-01,1548.0163380761815
2009-08-01,2492.0,2011-04-01,1528.0315606890522
2009-09-01,2401.0,2011-05-01,1508.7656040944773
2009-10-01,2441.0,2011-06-01,1490.1767945795625
2009-11-01,1954.0,2011-07-01,1472.2267506685985
2009-12-01,1835.0,2011-08-01,1454.8800568350593
2010-01-01,2110.0,2011-09-01,1438.1039758323022
2010-02-01,1605.0,2011-10-01,1421.868194359834
2010-03-01,1825.0,2011-11-01,1406.144597598215
2010-04-01,1928.0,2011-12-01,1390.9070688219172
2010-05-01,1996.0,2012-01-01,1376.1313108620222
2010-06-01,1245.0,2012-02-01,1361.7946866604768
2010-07-01,1503.0,2012-03-01,1347.8760765514705
2010-08-01,1775.0,2012-04-01,1334.3557502368387
2010-09-01,1687.0,2012-05-01,1321.2152517020918
2010-10-01,1195.0,2012-06-01,1308.4372955565757
2010-11-01,2643.0,2012-07-01,1296.0056734825632
2010-12-01,1362.0,2012-08-01,1283.9051696496065
2011-01-01,1751.0,2012-09-01,1272.1214840971356
2011-02-01,1649.0,2012-10-01,1260.6411632139711
2011-03-01,950.0,2012-11-01,1249.4515365514715
2011-04-01,1985.0,2012-12-01,1238.5406593001435
2011-05-01,803.0,2013-01-01,1227.8972598400028
2011-06-01,1286.0,2013-02-01,1217.5106918446534
2011-07-01,1261.0,2013-03-01,1207.37089047956
2011-08-01,2656.0,2013-04-01,1197.4683322876347
2011-09-01,760.0,2013-05-01,1187.7939984011855
2011-10-01,1427.0,2013-06-01,1178.339340759404
2011-11-01,681.0,2013-07-01,1169.096251045732
2011-12-01,1889.0,2013-08-01,1160.0570320902962
2012-01-01,1891.0,2013-09-01,1151.2143715097347
2012-02-01,1637.0,2013-10-01,1142.561317380647
2012-03-01,1361.0,2013-11-01,1134.0912557640029
2012-04-01,1666.0,2013-12-01,1125.7978899164962
2012-05-01,2094.0,2014-01-01,1117.675221041376
2012-06-01,1148.0,2014-02-01,1109.7175304459413
2012-07-01,1625.0,2014-03-01,1101.9193629859292
2012-08-01,1296.0,2014-04-01,1094.2755116886333
2012-09-01,2245.0,2014-05-01,1086.7810034569357
2012-10-01,1877.0,2014-06-01,1079.4310857656753
2012-11-01,811.0,2014-07-01,1072.221214270047
2012-12-01,1336.0,2014-08-01,1065.147041253119
2013-01-01,707.0,2014-09-01,1058.2044048461983
2013-02-01,1390.0,2014-10-01,1051.38931896174
2013-03-01,1152.0,2014-11-01,1044.6979638838502
2013-04-01,1228.0,2014-12-01,1038.126677466268
2013-05-01,569.0,2015-01-01,1031.6719468920562
2013-06-01,879.0,2015-02-01,1025.330400953172
2013-07-01,1180.0,2015-03-01,1019.0988028116291
2013-08-01,1131.0,2015-04-01,1012.9740432071824
2013-09-01,1142.0,2015-05-01,1006.9531340793803
2013-10-01,1055.0,2015-06-01,1001.0332025744674
2013-11-01,1199.0,2015-07-01,995.2114854100138
2013-12-01,1466.0,2015-08-01,989.4853235723401
2014-01-01,470.0,2015-09-01,983.852157323777
2014-02-01,850.0,2015-10-01,978.3095214986103
2014-03-01,821.0,2015-11-01,972.8550410682135
2014-04-01,933.0,2015-12-01,967.4864269573643
2014-05-01,910.0,2016-01-01,962.2014720951238
2014-06-01,1143.0,2016-02-01,956.9980476849063
2014-07-01,1243.0,2016-03-01,951.8740996795225
2014-08-01,674.0,2016-04-01,946.8276454480273
