t,q,t_model,q_model
0.0,16252.0,0.0,16252.0
1.0,11503.0,1.0,12618.60794078597
2.0,9120.0,2.0,10272.496084806067
3.0,8695.0,3.0,8637.868659847229
4.0,7126.0,4.0,7436.532841744596
5.0,6674.0,5.0,6518.01363425784
6.0,5074.0,6.0,5793.972952090481
7.0,4992.0,7.0,5209.217663728419
8.0,4288.0,8.0,4727.529335099792
9.0,6499.0,9.0,4324.178801976577
10.0,5898.0,10.0,3981.718786098774
11.0,4776.0,11.0,3687.495730941627
12.0,3702.0,12.0,3432.1145786284105
13.0,2620.0,13.0,3208.456816270533
14.0,3242.0,14.0,3011.0326779442894
15.0,1489.0,15.0,2835.5421514449936
16.0,2937.0,16.0,2678.570389367995
17.0,2283.0,17.0,2537.371921060438
18.0,2236.0,18.0,2409.7149085462634
19.0,740.0,19.0,2293.766849668029
20.0,0.0,20.0,2188.0094276887203
21.0,0.0,21.0,2091.174204084168
22.0,643.0,22.0,2002.1934456192112
23.0,2775.0,23.0,1920.1620943389075
24.0,1460.0,24.0,1844.3080469388997
25.0,1417.0,25.0,1773.9687035390411
26.0,1555.0,26.0,1708.5722981169206
27.0,1927.0,27.0,1647.6229125803836
28.0,1076.0,28.0,1590.6883550846635
29.0,1643.0,29.0,1537.3902848111218
30.0,2235.0,30.0,1487.3961129506517
31.0,2140.0,31.0,1440.4123187174807
32.0,2051.0,32.0,1396.1789006672375
33.0,1689.0,33.0,1354.4647449661704
34.0,1613.0,34.0,1315.0637389030935
35.0,1850.0,35.0,1277.7914936740137
36.0,1394.0,36.0,1242.4825680607614
37.0,950.0,37.0,1208.9881060801679
38.0,1047.0,38.0,1177.1738184778264
39.0,1091.0,39.0,1146.9182511763254
40.0,1048.0,40.0,1118.111294281104
41.0,963.0,41.0,1090.6528936144416
42.0,885.0,42.0,1064.45193345715
43.0,675.0,43.0,1039.4252645852719
44.0,1071.0,44.0,1015.4968560698102
45.0,972.0,45.0,992.5970528732389
46.0,1031.0,46.0,970.6619241922161
47.0,1027.0,47.0,949.6326898904532
48.0,880.0,48.0,929.4552143404968
49.0,556.0,49.0,910.0795586283496
50.0,706.0,50.0,891.4595834340305
51.0,243.0,51.0,873.552596035105
52.0,49.0,52.0,856.3190358295939
53.0,437.0,53.0,839.7221935722459
54.0,821.0,54.0,823.7279601904041
55.0,489.0,55.0,808.3046016141037
56.0,660.0,56.0,793.4225565371025
57.0,557.0,57.0,779.0542544355951
58.0,504.0,58.0,765.1739515211324
59.0,570.0,59.0,751.7575826034509
60.0,518.0,60.0,738.7826270954904
61.0,351.0,61.0,726.2279876134893
62.0,306.0,62.0,714.0738798151858
63.0,550.0,63.0,702.3017322834551
64.0,776.0,64.0,690.8940954049608
65.0,688.0,65.0,679.8345583169026
66.0,686.0,66.0,669.1076731023321
67.0,743.0,67.0,658.6988855081438
68.0,706.0,68.0,648.5944715416163
69.0,741.0,69.0,638.7814793729488
70.0,677.0,70.0,629.2476760339922
71.0,813.0,71.0,619.9814984585079
72.0,673.0,72.0,610.9720084578042
73.0,722.0,73.0,602.2088512683863
74.0,1001.0,74.0,593.6822173460336
75.0,1155.0,75.0,585.3828071141475
76.0,926.0,76.0,577.3017984038281
77.0,449.0,77.0,569.4308163494285
78.0,794.0,78.0,561.7619055266973
79.0,763.0,79.0,554.287504141427
80.0,719.0,80.0,547.000420095067
81.0,580.0,81.0,539.8938087703182
82.0,1032.0,82.0,532.9611523945298
83.0,815.0,83.0,526.1962408519751
84.0,674.0,84.0,519.5931538279591
85.0,718.0,85.0,513.1462441783783
86.0,589.0,86.0,506.8501224279409
87.0,964.0,87.0,500.6996423088763
88.0,673.0,88.0,494.68988725973844
89.0,614.0,89.0,488.8161578109172
90.0,465.0,90.0,483.07395978980134
91.0,573.0,91.0,477.45899328426157
92.0,394.0,92.0,471.9671423083033
93.0,758.0,93.0,466.594465118433
94.0,529.0,94.0,461.33718513353716
95.0,250.0,95.0,456.1916824149431
96.0,466.0,96.0,451.1544856668417
97.0,518.0,97.0,446.2222647204498
,,98.0,441.3918234682012
,,99.0,436.6600932169105
,,100.0,432.0241264312735
,,101.0,427.4810908412794
,,102.0,423.02826388913485
,,103.0,418.66302749314247
,,104.0,414.38286310767757
,,105.0,410.18534705995233
,,106.0,406.06814614568253
,,107.0,402.0290134670792
,,108.0,398.0657844977868
,,109.0,394.1763733604911
,,110.0,390.35876930394033
,,111.0,386.61103336705133
,,112.0,382.93129521864097
,,113.0,379.3177501621109
,,114.0,375.7686562951521
,,115.0,372.2823318152094
,,116.0,368.85715246207235
,,117.0,365.4915490895397
,,118.0,362.18400535863543
,,119.0,358.9330555453545
,,120.0,355.73728245637335
,,121.0,352.59531544658597
,,122.0,349.5058285327228
,,123.0,346.467538597674
,,124.0,343.4792036804827
,,125.0,340.53962134728647
,,126.0,337.64762713878247
,,127.0,334.8020930900643
,,128.0,332.0019263189347
,,129.0,329.2460676790334
,,130.0,326.5334904743444
,,131.0,323.86319923185
,,132.0,321.2342285292935
,,133.0,318.64564187519187
,,134.0,316.09653063840693
,,135.0,313.5860130247425
,,136.0,311.11323309817834
,,137.0,308.67735984449354
