t,q,t_model,q_model
2014-07-01,11542.0,2015-03-01,23703.699741072847
2014-08-01,22319.0,2015-04-01,16227.649624961701
2014-09-01,22280.0,2015-05-01,12300.85817872414
2014-10-01,27963.0,2015-06-01,9886.43344122701
2014-11-01,24598.0,2015-07-01,8254.214387795444
2014-12-01,28271.0,2015-08-01,7078.305474404215
2015-01-01,26924.0,2015-09-01,6191.506305501424
2015-02-01,25197.0,2015-10-01,5499.27789782368
2015-03-01,23879.0,2015-11-01,4944.1756169384325
2015-04-01,16252.0,2015-12-01,4489.299056674091
2015-05-01,11503.0,2016-01-01,4109.871379178468
2015-06-01,9120.0,2016-02-01,3788.6438465913116
2015-07-01,8695.0,2016-03-01,3513.24188633809
2015-08-01,7126.0,2016-04-01,3274.5591108184635
2015-09-01,6674.0,2016-05-01,3065.7465725390234
2015-10-01,5074.0,2016-06-01,2881.5549784543527
2015-11-01,4992.0,2016-07-01,2717.894052219847
2015-12-01,4288.0,2016-08-01,2571.5298206185794
2016-01-01,6499.0,2016-09-01,2439.871983622197
2016-02-01,5898.0,2016-10-01,2320.8215888876457
2016-03-01,4776.0,2016-11-01,2212.659969839193
2016-04-01,3702.0,2016-12-01,2113.966477851825
2016-05-01,2620.0,2017-01-01,2023.556665378702
2016-06-01,3242.0,2017-02-01,1940.4352285850339
2016-07-01,1489.0,2017-03-01,1863.7597581755244
2016-08-01,2937.0,2017-04-01,1792.8125109326463
2016-09-01,2283.0,2017-05-01,1726.9782064979172
2016-10-01,2236.0,2017-06-01,1665.726401551355
2016-11-01,740.0,2017-07-01,1608.5973777652573
2016-12-01,0.0,2017-08-01,1555.190753147428
2017-01-01,0.0,2017-09-01,1505.1562231469716
2017-02-01,643.0,2017-10-01,1458.18598123435
2017-03-01,2775.0,2017-11-01,1414.0084742246331
2017-04-01,1460.0,2017-12-01,1372.3832261354814
2017-05-01,1417.0,2018-01-01,1333.0965233374927
2017-06-01,1555.0,2018-02-01,1295.9577984284913
2017-07-01,1927.0,2018-03-01,1260.7965843920972
2017-08-01,1076.0,2018-04-01,1227.4599368786207
2017-09-01,1643.0,2018-05-01,1195.8102428290974
2017-10-01,2235.0,2018-06-01,1165.723349584269
2017-11-01,2140.0,2018-07-01,1137.0869611386208
2017-12-01,2051.0,2018-08-01,1109.7992581042004
2018-01-01,1689.0,2018-09-01,1083.767705832314
2018-02-01,1613.0,2018-10-01,1058.9080214512885
2018-03-01,1850.0,2018-11-01,1035.1432756564811
2018-04-01,1394.0,2018-12-01,1012.4031091961814
2018-05-01,950.0,2019-01-01,990.6230473357024
2018-06-01,1047.0,2019-02-01,969.7438983083932
2018-07-01,1091.0,2019-03-01,949.7112239987268
2018-08-01,1048.0,2019-04-01,930.4748729449288
2018-09-01,963.0,2019-05-01,911.9885672724674
2018-10-01,885.0,2019-06-01,894.2095364351309
2018-11-01,675.0,2019-07-01,877.0981916951382
2018-12-01,1071.0,2019-08-01,860.6178361560363
2019-01-01,972.0,2019-09-01,844.7344059027703
2019-02-01,1031.0,2019-10-01,829.416238427096
2019-03-01,1027.0,2019-11-01,814.6338650435611
2019-04-01,880.0,2019-12-01,800.3598244479936
2019-05-01,556.0,2020-01-01,786.5684949501747
2019-06-01,706.0,2020-02-01,773.2359432361119
2019-07-01,243.0,2020-03-01,760.3397877920908
2019-08-01,49.0,2020-04-01,747.8590753599235
2019-09-01,437.0,2020-05-01,735.774168996691
2019-10-01,821.0,2020-06-01,724.06664648794
2019-11-01,489.0,2020-07-01,712.7192080149993
