t,q,t_model,q_model
2017-08-01,1618.0,2018-04-01,6570.241059846994
2017-09-01,3363.0,2018-05-01,2375.8056966124855
2017-10-01,5003.0,2018-06-01,1923.6982219546062
2017-11-01,920.0,2018-07-01,1697.6544015194077
2017-12-01,1556.0,2018-08-01,1552.903236224562
2018-01-01,2476.0,2018-09-01,1448.9168592171102
2018-02-01,0.0,2018-10-01,1369.0156443542683
2018-03-01,0.0,2018-11-01,1304.8361175419527
2018-04-01,6568.0,2018-12-01,1251.6349208929196
2018-05-01,2830.0,2019-01-01,1206.4832957657416
2018-06-01,604.0,2019-02-01,1167.4564434427498
2018-07-01,2244.0,2019-03-01,1133.2273124447172
2018-08-01,1809.0,2019-04-01,1102.845560754862
2018-09-01,2021.0,2019-05-01,1075.609286044942
2018-10-01,2676.0,2019-06-01,1050.9866360892568
2018-11-01,1593.0,2019-07-01,1028.5658180737703
2018-12-01,97.0,2019-08-01,1008.0220598631761
2019-01-01,317.0,2019-09-01,989.0951013625928
2019-02-01,1966.0,2019-10-01,971.5734531755811
2019-03-01,1737.0,2019-11-01,955.2831341255602
2019-04-01,853.0,2019-12-01,940.079450189266
2019-05-01,522.0,2020-01-01,925.8408860154477
2019-06-01,331.0,2020-02-01,912.4644936654363
2019-07-01,68.0,2020-03-01,899.862361713811
2019-08-01,1270.0,2020-04-01,887.9588766294872
2019-09-01,629.0,2020-05-01,876.6885737436281
2019-10-01,507.0,2020-06-01,865.994432846268
2019-11-01,67.0,2020-07-01,855.8265131942852
2019-12-01,1006.0,2020-08-01,846.1408505159117
2020-01-01,973.0,2020-09-01,836.8985583391224
2020-02-01,665.0,2020-10-01,828.065090182879
2020-03-01,764.0,2020-11-01,819.6096295104915
2020-04-01,669.0,2020-12-01,811.5045819857306
2020-05-01,762.0,2021-01-01,803.7251502697163
2020-06-01,635.0,2021-02-01,796.2489758876433
2020-07-01,910.0,2021-03-01,789.055835956791
2020-08-01,1446.0,2021-04-01,782.127385069523
2020-09-01,1703.0,2021-05-01,775.4469345601194
2020-10-01,1722.0,2021-06-01,768.9992628924848
2020-11-01,1330.0,2021-07-01,762.7704520898338
2020-12-01,1438.0,2021-08-01,756.7477460634543
2021-01-01,835.0,2021-09-01,750.9194274423759
2021-02-01,644.0,2021-10-01,745.27471010197
2021-03-01,813.0,2021-11-01,739.8036450695816
2021-04-01,575.0,2021-12-01,734.4970378740074
2021-05-01,1021.0,2022-01-01,729.3463757220242
2021-06-01,695.0,2022-02-01,724.3437631439947
2021-07-01,511.0,2022-03-01,719.4818649633005
2021-08-01,377.0,2022-04-01,714.7538556199966
2021-09-01,361.0,2022-05-01,710.1533740247276
2021-10-01,232.0,2022-06-01,705.674483240227
2021-11-01,577.0,2022-07-01,701.3116343891071
2021-12-01,259.0,2022-08-01,697.0596342717248
2022-01-01,638.0,2022-09-01,692.913616249563
2022-02-01,437.0,2022-10-01,688.8690140101295
2022-03-01,688.0,2022-11-01,684.9215378807219
2022-04-01,1917.0,2022-12-01,681.0671534020994
2022-05-01,1017.0,2023-01-01,677.3020619103751
2022-06-01,1601.0,2023-02-01,673.6226829073576
2022-07-01,926.0,2023-03-01,670.0256380269484
2022-08-01,704.0,2023-04-01,666.5077364287839
2022-09-01,1013.0,2023-05-01,663.0659614706448
2022-10-01,565.0,2023-06-01,659.6974585287663
2022-11-01,581.0,2023-07-01,656.3995238504444
2022-12-01,713.0,2023-08-01,653.1695943366079
2023-01-01,758.0,2023-09-01,650.0052381636012
2023-02-01,643.0,2023-10-01,646.9041461635186
2023-03-01,689.0,2023-11-01,643.8641238912802
2023-04-01,671.0,2023-12-01,640.8830843144019
2023-05-01,591.0,2024-01-01,637.9590410682213
2023-06-01,529.0,2024-02-01,635.0901022253589
2023-07-01,671.0,2024-03-01,632.2744645334859
,,2024-04-01,629.5104080801563
,,2024-05-01,626.7962913476151
,,2024-06-01,624.1305466241689
,,2024-07-01,621.5116757419804
,,2024-08-01,618.9382461140603
,,2024-09-01,616.4088870458263
,,2024-10-01,613.9222862989157
,,2024-11-01,611.4771868870148
,,2024-12-01,609.0723840853234
,,2025-01-01,606.7067226369389
,,2025-02-01,604.3790941409426
,,2025-03-01,602.0884346083138
,,2025-04-01,599.8337221730135
,,2025-05-01,597.6139749466674
,,2025-06-01,595.4282490062728
,,2025-07-01,593.2756365052368
,,2025-08-01,591.1552638988705
,,2025-09-01,589.0662902761909
,,2025-10-01,587.0079057905452
,,2025-11-01,584.9793301821812
,,2025-12-01,582.979811386432
,,2026-01-01,581.0086242216817
,,2026-02-01,579.0650691517396
,,2026-03-01,577.1484711176588
,,2026-04-01,575.258178434419
,,2026-05-01,573.3935617482383
,,2026-06-01,571.5540130505951
,,2026-07-01,569.7389447453332
,,2026-08-01,567.9477887654876
,,2026-09-01,566.1799957367142
,,2026-10-01,564.4350341844297
,,2026-11-01,562.7123897819743
,,2026-12-01,561.0115646373001
,,2027-01-01,559.3320766158616
,,2027-02-01,557.6734586975452
,,2027-03-01,556.0352583656245
,,2027-04-01,554.4170370258639
,,2027-05-01,552.8183694540185
,,2027-06-01,551.2388432700956
,,2027-07-01,549.6780584378542
,,2027-08-01,548.1356267881122
,,2027-09-01,546.6111715645297
,,2027-10-01,545.1043269906206
,,2027-11-01,543.614737856822
,,2027-12-01,542.1420591265296
,,2028-01-01,540.6859555600698
,,2028-02-01,539.2461013556498
,,2028-03-01,537.8221798063787
,,2028-04-01,536.4138829725161
,,2028-05-01,535.0209113681487
,,2028-06-01,533.6429736615465
,,2028-07-01,532.2797863884967
,,2028-08-01,530.9310736779512
,,2028-09-01,529.5965669893643
,,2028-10-01,528.2760048611349
,,2028-11-01,526.9691326695971
,,2028-12-01,525.6757023980412
,,2029-01-01,524.3954724152695
,,2029-02-01,523.1282072632258
,,2029-03-01,521.873677453258
,,2029-04-01,520.6316592706007
,,2029-05-01,519.4019345866881
,,2029-06-01,518.1842906789244
,,2029-07-01,516.9785200575652
,,2029-08-01,515.7844202993773
,,2029-09-01,514.6017938877642
,,2029-10-01,513.4304480590607
,,2029-11-01,512.2701946547173
,,2029-12-01,511.1208499791045
,,2030-01-01,509.9822346626898
,,2030-02-01,508.8541735303439
,,2030-03-01,507.7364954745509
,,2030-04-01,506.6290333333072
,,2030-05-01,505.53162377250396
,,2030-06-01,504.444107172599
,,2030-07-01,503.3663275193936
,,2030-08-01,502.2981322987386
,,2030-09-01,501.2393723950033
,,2030-10-01,500.18990199314777
,,2030-11-01,499.1495784842485
,,2030-12-01,498.118262374333
,,2031-01-01,497.09581719638686
,,2031-02-01,496.0821094254024
,,2031-03-01,495.0770083963459
,,2031-04-01,494.080386224924
,,2031-05-01,493.0921177310366
,,2031-06-01,492.11208036480963
,,2031-07-01,491.1401541351039
,,2031-08-01,490.17622154040265
,,2031-09-01,489.2201675019845
,,2031-10-01,488.27187929929227
,,2031-11-01,487.33124650741274
