t,q,t_model,q_model
0.0,1049.0,0.0,1049.0
1.0,878.0,1.0,1002.1936156750409
2.0,1032.0,2.0,955.215078439421
3.0,778.0,3.0,908.0545468819175
4.0,749.0,4.0,860.7010307553485
5.0,831.0,5.0,813.1421801798003
6.0,783.0,6.0,765.36402028859
7.0,809.0,7.0,717.3506125223989
8.0,763.0,8.0,669.0836154542953
9.0,754.0,9.0,620.5417050710452
10.0,852.0,10.0,571.6997936430013
11.0,456.0,11.0,522.5279517634884
12.0,335.0,12.0,472.9898783466019
13.0,240.0,13.0,423.04065482042654
14.0,207.0,14.0,372.6233110032034
15.0,249.0,15.0,321.66329936650885
16.0,229.0,16.0,270.05900275218636
17.0,303.0,17.0,217.66393896850917
18.0,219.0,18.0,164.2490047739943
19.0,139.0,19.0,109.4053869408617
,,20.0,52.18668799529239
,,21.0,
,,22.0,
,,23.0,
,,24.0,
,,25.0,
,,26.0,
,,27.0,
,,28.0,
,,29.0,
,,30.0,
,,31.0,
,,32.0,
,,33.0,
,,34.0,
,,35.0,
,,36.0,
,,37.0,
,,38.0,
,,39.0,
,,40.0,
,,41.0,
,,42.0,
,,43.0,
,,44.0,
,,45.0,
,,46.0,
,,47.0,
,,48.0,
,,49.0,
,,50.0,
,,51.0,
,,52.0,
,,53.0,
,,54.0,
,,55.0,
,,56.0,
,,57.0,
,,58.0,
,,59.0,
