t,q,t_model,q_model
2015-02-01,11743.0,2021-10-01,1035.7329042468884
2015-03-01,5770.0,2021-11-01,989.5184977891325
2015-04-01,3260.0,2021-12-01,943.1341157030323
2015-05-01,2338.0,2022-01-01,896.5700410453773
2015-06-01,2560.0,2022-02-01,849.8154225667565
2015-07-01,2048.0,2022-03-01,802.8580665808115
2015-08-01,1813.0,2022-04-01,755.6841749662304
2015-09-01,1693.0,2022-05-01,708.2780107446221
2015-10-01,1802.0,2022-06-01,660.6214644599481
2015-11-01,298.0,2022-07-01,612.6934817917538
2015-12-01,2608.0,2022-08-01,564.4692923043017
2016-01-01,2748.0,2022-09-01,515.9193451193288
2016-02-01,1324.0,2022-10-01,467.0077982643551
2016-03-01,1664.0,2022-11-01,417.69030126946217
2016-04-01,1390.0,2022-12-01,367.91060447611005
2016-05-01,1443.0,2023-01-01,317.59510318637797
2016-06-01,1298.0,2023-02-01,266.643465432355
2016-07-01,1167.0,2023-03-01,214.91106163743706
2016-08-01,1196.0,2023-04-01,162.1716861146141
2016-09-01,1668.0,2023-05-01,108.02169605006033
2016-10-01,1588.0,2023-06-01,51.526663413146245
2016-11-01,1504.0,2023-07-01,
2016-12-01,1274.0,2023-08-01,
2017-01-01,1320.0,2023-09-01,
2017-02-01,1217.0,2023-10-01,
2017-03-01,1240.0,2023-11-01,
2017-04-01,1303.0,2023-12-01,
2017-05-01,945.0,2024-01-01,
2017-06-01,740.0,2024-02-01,
2017-07-01,1359.0,2024-03-01,
2017-08-01,1418.0,2024-04-01,
2017-09-01,1280.0,2024-05-01,
2017-10-01,1261.0,2024-06-01,
2017-11-01,1423.0,2024-07-01,
2017-12-01,1631.0,2024-08-01,
2018-01-01,1290.0,2024-09-01,
2018-02-01,1355.0,2024-10-01,
2018-03-01,1402.0,2024-11-01,
2018-04-01,1241.0,2024-12-01,
2018-05-01,1558.0,2025-01-01,
2018-06-01,1188.0,2025-02-01,
2018-07-01,1145.0,2025-03-01,
2018-08-01,1252.0,2025-04-01,
2018-09-01,1224.0,2025-05-01,
2018-10-01,1299.0,2025-06-01,
2018-11-01,1200.0,2025-07-01,
2018-12-01,1322.0,2025-08-01,
2019-01-01,1086.0,2025-09-01,
2019-02-01,842.0,2025-10-01,
2019-03-01,943.0,2025-11-01,
2019-04-01,977.0,2025-12-01,
2019-05-01,1129.0,2026-01-01,
2019-06-01,1093.0,2026-02-01,
2019-07-01,1138.0,2026-03-01,
2019-08-01,1223.0,2026-04-01,
2019-09-01,1172.0,2026-05-01,
2019-10-01,1349.0,2026-06-01,
2019-11-01,1304.0,2026-07-01,
2019-12-01,1202.0,2026-08-01,
2020-01-01,1650.0,2026-09-01,
2020-02-01,1211.0,2026-10-01,
2020-03-01,1312.0,2026-11-01,
2020-04-01,955.0,2026-12-01,
2020-05-01,878.0,2027-01-01,
2020-06-01,1205.0,2027-02-01,
2020-07-01,1089.0,2027-03-01,
2020-08-01,1890.0,2027-04-01,
2020-09-01,1259.0,2027-05-01,
2020-10-01,1888.0,2027-06-01,
2020-11-01,1906.0,2027-07-01,
2020-12-01,94.0,2027-08-01,
2021-01-01,0.0,2027-09-01,
2021-02-01,798.0,2027-10-01,
2021-03-01,1694.0,2027-11-01,
2021-04-01,1604.0,2027-12-01,
2021-05-01,1593.0,2028-01-01,
2021-06-01,1590.0,2028-02-01,
2021-07-01,1589.0,2028-03-01,
2021-08-01,1535.0,2028-04-01,
2021-09-01,1341.0,2028-05-01,
2021-10-01,1049.0,2028-06-01,
2021-11-01,878.0,2028-07-01,
2021-12-01,1032.0,2028-08-01,
2022-01-01,778.0,2028-09-01,
2022-02-01,749.0,2028-10-01,
2022-03-01,831.0,2028-11-01,
2022-04-01,783.0,2028-12-01,
2022-05-01,809.0,2029-01-01,
2022-06-01,763.0,2029-02-01,
2022-07-01,754.0,2029-03-01,
2022-08-01,852.0,2029-04-01,
2022-09-01,456.0,2029-05-01,
2022-10-01,335.0,2029-06-01,
2022-11-01,240.0,2029-07-01,
2022-12-01,207.0,2029-08-01,
2023-01-01,249.0,2029-09-01,
2023-02-01,229.0,2029-10-01,
2023-03-01,303.0,2029-11-01,
2023-04-01,219.0,2029-12-01,
2023-05-01,139.0,2030-01-01,
,,2030-02-01,
,,2030-03-01,
,,2030-04-01,
,,2030-05-01,
,,2030-06-01,
,,2030-07-01,
,,2030-08-01,
,,2030-09-01,
,,2030-10-01,
,,2030-11-01,
,,2030-12-01,
,,2031-01-01,
,,2031-02-01,
,,2031-03-01,
,,2031-04-01,
,,2031-05-01,
,,2031-06-01,
,,2031-07-01,
,,2031-08-01,
,,2031-09-01,
