t,q,t_model,q_model
0.0,2745.0,0.0,2711.262169902492
1.0,1344.0,1.0,1920.8811106368723
2.0,2896.0,2.0,1587.8544567361494
3.0,1343.0,3.0,1391.1637349348641
4.0,779.0,4.0,1256.9884438885033
5.0,703.0,5.0,1157.6969814296797
6.0,665.0,6.0,1080.2527256021383
7.0,1567.0,7.0,1017.5811293050996
8.0,786.0,8.0,965.4612562940792
9.0,1209.0,9.0,921.1952804180183
10.0,578.0,10.0,882.9661326719901
11.0,546.0,11.0,849.498393666359
12.0,476.0,12.0,819.8664406545802
13.0,1390.0,13.0,793.3797266433301
14.0,641.0,14.0,769.5109989007346
15.0,1122.0,15.0,747.8496512194231
16.0,307.0,16.0,728.0704197809717
17.0,982.0,17.0,709.9117875651509
18.0,1131.0,18.0,693.1607244979351
19.0,1853.0,19.0,677.6416751180742
20.0,23.0,20.0,663.2084620726927
21.0,81.0,21.0,649.7382337655835
22.0,95.0,22.0,637.126872210419
23.0,80.0,23.0,625.2854616948341
24.0,127.0,24.0,614.137539937892
25.0,46.0,25.0,603.616934488502
26.0,852.0,26.0,593.6660423988958
27.0,1368.0,27.0,584.2344495518594
28.0,1347.0,28.0,575.277813026848
29.0,894.0,29.0,566.7569491815327
30.0,836.0,30.0,558.6370840863112
31.0,1017.0,31.0,550.8872331751122
32.0,672.0,32.0,543.4796845498875
33.0,288.0,33.0,536.3895660447713
34.0,144.0,34.0,529.5944804396541
35.0,78.0,35.0,523.0741964796646
36.0,174.0,36.0,516.8103858694468
37.0,209.0,37.0,510.78639835882177
38.0,1101.0,38.0,504.9870685577193
39.0,1424.0,39.0,499.3985493149329
40.0,1157.0,40.0,494.0081674428606
41.0,851.0,41.0,488.8042983255335
42.0,162.0,42.0,483.7762565526027
43.0,72.0,43.0,478.91420021001187
44.0,354.0,44.0,474.2090468536912
45.0,551.0,45.0,469.6523995149183
46.0,287.0,46.0,465.2364813498773
47.0,231.0,47.0,460.95407776299487
48.0,430.0,48.0,456.7984850129541
49.0,206.0,49.0,452.7634644590738
50.0,638.0,50.0,448.8432017296834
51.0,160.0,51.0,445.0322701977807
52.0,106.0,52.0,441.3255982362718
,,53.0,437.7184397983893
,,54.0,434.20634793084963
,,55.0,430.78515087985414
,,56.0,427.450930494749
,,57.0,424.2000026723106
,,58.0,421.0288996172733
,,59.0,417.93435372274826
,,60.0,414.9132828982967
,,61.0,411.9627771942393
,,62.0,409.08008658878697
,,63.0,406.26260982019375
,,64.0,403.507884159707
,,65.0,400.81357603291605
,,66.0,398.17747240742744
,,67.0,395.5974728738315
,,68.0,393.07158235485133
,,69.0,390.59790438452535
,,70.0,388.17463490540865
,,71.0,385.80005653718115
,,72.0,383.4725332748345
,,73.0,381.1905055788347
,,74.0,378.9524858234118
,,75.0,376.75705407246056
,,76.0,374.60285415549976
,,77.0,372.4885900187803
,,78.0,370.4130223289928
,,79.0,368.3749653091313
,,80.0,366.37328378796013
,,81.0,364.40689044621917
,,82.0,362.4747432442274
,,83.0,360.57584301690537
,,84.0,358.7092312234705
,,85.0,356.8739878401648
,,86.0,355.06922938537684
,,87.0,353.294107067423
,,88.0,351.5478050460687
,,89.0,349.82953879961536
,,90.0,348.138553590046
,,91.0,346.4741230193347
,,92.0,344.8355476705789
