t,q,t_model,q_model
2017-04-01,17183.0,2018-12-01,3774.9037500550885
2017-05-01,10919.0,2019-01-01,2444.1999451245692
2017-06-01,10254.0,2019-02-01,1936.127208916915
2017-07-01,7358.0,2019-03-01,1649.5708169880504
2017-08-01,402.0,2019-04-01,1459.8457943552671
2017-09-01,1434.0,2019-05-01,1322.5034657145068
2017-10-01,1597.0,2019-06-01,1217.2275767407461
2017-11-01,1701.0,2019-07-01,1133.24774963255
2017-12-01,2908.0,2019-08-01,1064.2552940053092
2018-01-01,3257.0,2019-09-01,1006.2787148664761
2018-02-01,2789.0,2019-10-01,956.677318698144
2018-03-01,3208.0,2019-11-01,913.6181741050748
2018-04-01,2597.0,2019-12-01,875.7841039133597
2018-05-01,2537.0,2020-01-01,842.2010768298122
2018-06-01,2371.0,2020-02-01,812.1312982895988
2018-07-01,2050.0,2020-03-01,785.004363494983
2018-08-01,2043.0,2020-04-01,760.3714338796415
2018-09-01,2088.0,2020-05-01,737.873860929306
2018-10-01,2383.0,2020-06-01,717.2211671271402
2018-11-01,2950.0,2020-07-01,698.1752564972022
2018-12-01,3721.0,2020-08-01,680.5388742331859
2019-01-01,2745.0,2020-09-01,664.1470274258685
2019-02-01,1344.0,2020-10-01,648.8605092371724
2019-03-01,2896.0,2020-11-01,634.5609432185696
2019-04-01,1343.0,2020-12-01,621.1469434398222
2019-05-01,779.0,2021-01-01,608.5311052835526
2019-06-01,703.0,2021-02-01,596.6376226424998
2019-07-01,665.0,2021-03-01,585.4003830878648
2019-08-01,1567.0,2021-04-01,574.7614317241204
2019-09-01,786.0,2021-05-01,564.6697222907795
2019-10-01,1209.0,2021-06-01,555.0800941414473
2019-11-01,578.0,2021-07-01,545.9524283741052
2019-12-01,546.0,2021-08-01,537.2509471929264
2020-01-01,476.0,2021-09-01,528.9436286410639
2020-02-01,1390.0,2021-10-01,521.0017149136048
2020-03-01,641.0,2021-11-01,513.399297073525
2020-04-01,1122.0,2021-12-01,506.1129625306561
2020-05-01,307.0,2022-01-01,499.1214943775626
2020-06-01,982.0,2022-02-01,492.4056138053809
2020-07-01,1131.0,2022-03-01,485.9477584927761
2020-08-01,1853.0,2022-04-01,479.7318911800966
2020-09-01,23.0,2022-05-01,473.7433336890758
2020-10-01,81.0,2022-06-01,467.96862248664456
2020-11-01,95.0,2022-07-01,462.39538256553703
2020-12-01,80.0,2022-08-01,457.01221695947527
2021-01-01,127.0,2022-09-01,451.80860965380083
2021-02-01,46.0,2022-10-01,446.7748400143539
2021-03-01,852.0,2022-11-01,441.90190715444305
2021-04-01,1368.0,2022-12-01,437.1814629046328
2021-05-01,1347.0,2023-01-01,432.6057522528294
2021-06-01,894.0,2023-02-01,428.16756029070984
2021-07-01,836.0,2023-03-01,423.86016484322204
2021-08-01,1017.0,2023-04-01,419.67729407575337
2021-09-01,672.0,2023-05-01,415.6130884726697
2021-10-01,288.0,2023-06-01,411.6620666645407
2021-11-01,144.0,2023-07-01,407.8190946521594
2021-12-01,78.0,2023-08-01,404.0793580355769
2022-01-01,174.0,2023-09-01,400.43833690758925
2022-02-01,209.0,2023-10-01,396.89178311486995
2022-03-01,1101.0,2023-11-01,393.4356996274355
2022-04-01,1424.0,2023-12-01,390.0663217893517
2022-05-01,1157.0,2024-01-01,386.7801002513376
2022-06-01,851.0,2024-02-01,383.5736854099043
2022-07-01,162.0,2024-03-01,380.4439131984178
2022-08-01,72.0,2024-04-01,377.3877920934985
2022-09-01,354.0,2024-05-01,374.4024912158374
2022-10-01,551.0,2024-06-01,371.48532941818445
2022-11-01,287.0,2024-07-01,368.6337652651994
2022-12-01,231.0,2024-08-01,365.84538782032075
2023-01-01,430.0,2024-09-01,363.1179081639796
2023-02-01,206.0,2024-10-01,360.4491515755549
2023-03-01,638.0,2024-11-01,357.8370503185753
2023-04-01,160.0,2024-12-01,355.2796369749428
2023-05-01,106.0,2025-01-01,352.77503827949874
,,2025-02-01,350.32146941116605
,,2025-03-01,347.9172287012572
,,2025-04-01,345.56069272341057
,,2025-05-01,343.2503117330637
,,2025-06-01,340.98460542744766
,,2025-07-01,338.76215899982543
,,2025-08-01,336.58161946415566
,,2025-09-01,334.44169222855726
,,2025-10-01,332.3411378979203
,,2025-11-01,330.2787692877809
,,2025-12-01,328.2534486331645
,,2026-01-01,326.26408497753755
,,2026-02-01,324.3096317282984
,,2026-03-01,322.3890843664028
,,2026-04-01,320.50147829877386
,,2026-05-01,318.64588684310013
,,2026-06-01,316.8214193354871
,,2026-07-01,315.02721935221354
,,2026-08-01,313.26246303755124
,,2026-09-01,311.52635753025805
,,2026-10-01,309.818139481937
,,2026-11-01,308.13707366099356
,,2026-12-01,306.48245163641
,,2027-01-01,304.8535905360016
,,2027-02-01,303.2498318742268
,,2027-03-01,301.67054044499514
,,2027-04-01,300.115103275259
,,2027-05-01,298.58292863548525
,,2027-06-01,297.07344510339107
,,2027-07-01,295.58610067758946
,,2027-08-01,294.1203619380322
,,2027-09-01,292.67571325035925
,,2027-10-01,291.25165601146705
,,2027-11-01,289.8477079337988
,,2027-12-01,288.4634023660281
,,2028-01-01,287.09828764797214
,,2028-02-01,285.75192649771446
,,2028-03-01,284.4238954290551
,,2028-04-01,283.11378419753055
,,2028-05-01,281.8211952733641
,,2028-06-01,280.5457433398126
,,2028-07-01,279.2870548154776
,,2028-08-01,278.0447673992393
,,2028-09-01,276.81852963655894
,,2028-10-01,275.6080005059751
,,2028-11-01,274.41284902469107
,,2028-12-01,273.23275387222196
,,2029-01-01,272.06740303113247
,,2029-02-01,270.9164934439558
,,2029-03-01,269.77973068544014
,,2029-04-01,268.6568286493202
,,2029-05-01,267.54750924885934
,,2029-06-01,266.45150213045326
,,2029-07-01,265.36854439962724
,,2029-08-01,264.29838035879817
,,2029-09-01,263.2407612562098
,,2029-10-01,262.195445045483
,,2029-11-01,261.16219615525455
,,2029-12-01,260.1407852684088
,,2030-01-01,259.13098911043375
,,2030-02-01,258.1325902464588
,,2030-03-01,257.14537688655736
,,2030-04-01,256.1691426989198
,,2030-05-01,255.20368663052255
,,2030-06-01,254.24881273494202
,,2030-07-01,253.30433000697835
,,2030-08-01,252.3700522237742
,,2030-09-01,251.44579779212827
,,2030-10-01,250.53138960172126
,,2030-11-01,249.626654883985
,,2030-12-01,248.73142507636055
,,2031-01-01,247.84553569170404
,,2031-02-01,246.96882619261066
,,2031-03-01,246.10113987044028
,,2031-04-01,245.24232372883768
,,2031-05-01,244.39222837155157
,,2031-06-01,243.55070789436675
,,2031-07-01,242.7176197809718
,,2031-08-01,241.89282480259442
,,2031-09-01,241.07618692124436
