t,q,t_model,q_model
0.0,2954.0,0.0,3114.3422513914807
1.0,2768.0,1.0,2211.799969630053
2.0,1792.0,2.0,1845.0341197386133
3.0,1651.0,3.0,1629.6490146049866
4.0,2135.0,4.0,1482.6995114493504
5.0,1624.0,5.0,1373.7454023489045
6.0,968.0,6.0,1288.5493085495448
7.0,800.0,7.0,1219.4175644363556
8.0,860.0,8.0,1161.7690081258386
9.0,912.0,9.0,1112.6778430647576
10.0,758.0,10.0,1070.1735590715539
11.0,933.0,11.0,1032.8724907489343
12.0,1095.0,12.0,999.769777611905
13.0,1741.0,13.0,970.1151148931252
14.0,1575.0,14.0,943.3350640506458
15.0,478.0,15.0,918.9825820341382
16.0,199.0,16.0,896.7031535188202
17.0,299.0,17.0,876.2114234336165
18.0,48.0,18.0,857.2746802723894
19.0,191.0,19.0,839.7009319722144
20.0,921.0,20.0,823.3301347824581
21.0,763.0,21.0,808.0276330063829
22.0,653.0,22.0,793.6791785082257
23.0,739.0,23.0,780.1870983098537
24.0,0.0,24.0,767.4673094180839
25.0,744.0,25.0,755.4469676064192
26.0,347.0,26.0,744.0625966090565
27.0,1027.0,27.0,733.2585856190592
28.0,597.0,28.0,722.9859721700536
29.0,373.0,29.0,713.2014483349348
30.0,720.0,30.0,703.8665432709893
31.0,945.0,31.0,694.9469462012847
32.0,1507.0,32.0,686.4119421171831
33.0,759.0,33.0,678.2339386223144
34.0,1306.0,34.0,670.3880669767179
35.0,700.0,35.0,662.8518439384088
36.0,986.0,36.0,655.604883722168
37.0,765.0,37.0,648.6286515068715
38.0,354.0,38.0,641.9062515726195
39.0,766.0,39.0,635.4222444473646
40.0,780.0,40.0,629.1624884714001
41.0,697.0,41.0,623.1140020081529
42.0,566.0,42.0,617.2648431874718
43.0,520.0,43.0,611.6040045981198
44.0,854.0,44.0,606.1213207763976
45.0,689.0,45.0,600.807386688515
46.0,488.0,46.0,595.6534856915471
47.0,837.0,47.0,590.651525694197
48.0,524.0,48.0,585.7939824339475
49.0,632.0,49.0,581.0738489493675
50.0,593.0,50.0,576.4845904614984
51.0,608.0,51.0,572.0201039913355
52.0,449.0,52.0,567.6746821353937
53.0,530.0,53.0,563.4429805013878
54.0,750.0,54.0,559.319988373749
55.0,645.0,55.0,555.3010022361356
56.0,889.0,56.0,551.381601826977
57.0,485.0,57.0,547.557628445833
58.0,502.0,58.0,543.8251652640794
59.0,258.0,59.0,540.1805194241242
60.0,369.0,60.0,536.6202057377764
61.0,838.0,61.0,533.1409318171972
62.0,773.0,62.0,529.7395844916089
63.0,395.0,63.0,526.413217380056
64.0,27.0,64.0,523.1590395054147
65.0,1059.0,65.0,519.9744048478224
66.0,1159.0,66.0,516.8568027470441
67.0,1062.0,67.0,513.80384907322
68.0,649.0,68.0,510.8132780941453
69.0,199.0,69.0,507.882934974893
70.0,419.0,70.0,505.01076885233334
71.0,1021.0,71.0,502.19482643305065
72.0,690.0,72.0,499.43324606842157
73.0,517.0,73.0,496.7242522652768
74.0,848.0,74.0,494.06615059470084
75.0,540.0,75.0,491.45732296519736
76.0,479.0,76.0,488.89622322971684
77.0,185.0,77.0,486.3813730989572
78.0,353.0,78.0,483.9113583359537
79.0,567.0,79.0,481.4848252092959
80.0,541.0,80.0,479.1004771843994
81.0,266.0,81.0,476.75707183412754
82.0,77.0,82.0,474.45341795173465
83.0,432.0,83.0,472.1883728506163
84.0,517.0,84.0,469.960839836709
85.0,511.0,85.0,467.769765840609
86.0,371.0,86.0,465.61413919758536
87.0,758.0,87.0,463.4929875646653
88.0,617.0,88.0,461.4053759648734
89.0,473.0,89.0,459.3504049495262
90.0,351.0,90.0,457.3272088702319
91.0,601.0,91.0,455.33495425291494
92.0,611.0,92.0,453.37283826680505
93.0,546.0,93.0,451.4400872818862
94.0,216.0,94.0,449.53595550881244
95.0,397.0,95.0,447.6597237157606
96.0,430.0,96.0,445.8106980171162
97.0,366.0,97.0,443.98820872927297
98.0,401.0,98.0,442.19160928918643
99.0,309.0,99.0,440.4202752316407
100.0,393.0,100.0,438.673603221489
101.0,366.0,101.0,436.95101013740026
102.0,305.0,102.0,435.25193220389406
103.0,344.0,103.0,433.57582416867706
104.0,343.0,104.0,431.92215852250484
105.0,254.0,105.0,430.2904247589892
106.0,426.0,106.0,428.68012867194864
107.0,421.0,107.0,427.0907916880664
108.0,556.0,108.0,425.52195023277324
109.0,492.0,109.0,423.9731551274108
110.0,254.0,110.0,422.4439710158648
111.0,398.0,111.0,420.93397581897494
112.0,518.0,112.0,419.4427602151412
113.0,501.0,113.0,417.9699271456482
114.0,365.0,114.0,416.5150913433266
115.0,389.0,115.0,415.0778788832571
