t,q,t_model,q_model
2008-12-01,5823.0,2009-08-01,3114.3422513914807
2009-01-01,13278.0,2009-09-01,2211.799969630053
2009-02-01,11742.0,2009-10-01,1845.0341197386133
2009-03-01,9394.0,2009-11-01,1629.6490146049866
2009-04-01,7573.0,2009-12-01,1482.6995114493504
2009-05-01,12670.0,2010-01-01,1373.7454023489045
2009-06-01,10973.0,2010-02-01,1288.5493085495448
2009-07-01,7181.0,2010-03-01,1219.4175644363556
2009-08-01,2954.0,2010-04-01,1161.7690081258386
2009-09-01,2768.0,2010-05-01,1112.6778430647576
2009-10-01,1792.0,2010-06-01,1070.1735590715539
2009-11-01,1651.0,2010-07-01,1032.8724907489343
2009-12-01,2135.0,2010-08-01,999.769777611905
2010-01-01,1624.0,2010-09-01,970.1151148931252
2010-02-01,968.0,2010-10-01,943.3350640506458
2010-03-01,800.0,2010-11-01,918.9825820341382
2010-04-01,860.0,2010-12-01,896.7031535188202
2010-05-01,912.0,2011-01-01,876.2114234336165
2010-06-01,758.0,2011-02-01,857.2746802723894
2010-07-01,933.0,2011-03-01,839.7009319722144
2010-08-01,1095.0,2011-04-01,823.3301347824581
2010-09-01,1741.0,2011-05-01,808.0276330063829
2010-10-01,1575.0,2011-06-01,793.6791785082257
2010-11-01,478.0,2011-07-01,780.1870983098537
2010-12-01,199.0,2011-08-01,767.4673094180839
2011-01-01,299.0,2011-09-01,755.4469676064192
2011-02-01,48.0,2011-10-01,744.0625966090565
2011-03-01,191.0,2011-11-01,733.2585856190592
2011-04-01,921.0,2011-12-01,722.9859721700536
2011-05-01,763.0,2012-01-01,713.2014483349348
2011-06-01,653.0,2012-02-01,703.8665432709893
2011-07-01,739.0,2012-03-01,694.9469462012847
2011-08-01,0.0,2012-04-01,686.4119421171831
2011-09-01,744.0,2012-05-01,678.2339386223144
2011-10-01,347.0,2012-06-01,670.3880669767179
2011-11-01,1027.0,2012-07-01,662.8518439384088
2011-12-01,597.0,2012-08-01,655.604883722168
2012-01-01,373.0,2012-09-01,648.6286515068715
2012-02-01,720.0,2012-10-01,641.9062515726195
2012-03-01,945.0,2012-11-01,635.4222444473646
2012-04-01,1507.0,2012-12-01,629.1624884714001
2012-05-01,759.0,2013-01-01,623.1140020081529
2012-06-01,1306.0,2013-02-01,617.2648431874718
2012-07-01,700.0,2013-03-01,611.6040045981198
2012-08-01,986.0,2013-04-01,606.1213207763976
2012-09-01,765.0,2013-05-01,600.807386688515
2012-10-01,354.0,2013-06-01,595.6534856915471
