t,q,t_model,q_model
0.0,509.0,0.0,509.0
1.0,367.0,1.0,355.9545706517937
2.0,329.0,2.0,276.0486752976026
3.0,185.0,3.0,226.5998027902118
4.0,160.0,4.0,192.82873171102847
5.0,176.0,5.0,168.22382451555183
6.0,123.0,6.0,149.45717671809226
7.0,154.0,7.0,134.6460296173501
8.0,147.0,8.0,122.64300092082865
9.0,55.0,9.0,112.70791908525798
10.0,0.0,10.0,104.34131696286778
11.0,256.0,11.0,97.19361139753237
12.0,136.0,12.0,91.01260498763371
13.0,136.0,13.0,85.61165763736777
14.0,56.0,14.0,80.84960389994752
15.0,115.0,15.0,76.61764422943604
16.0,52.0,16.0,72.83053476667021
17.0,55.0,17.0,69.42051365853
18.0,52.0,18.0,66.33301935733954
19.0,42.0,19.0,63.52361189789493
20.0,69.0,20.0,60.95571976155058
21.0,62.0,21.0,58.59896461441555
22.0,42.0,22.0,56.42789777090616
23.0,47.0,23.0,54.421034748855455
24.0,37.0,24.0,52.56010881480203
25.0,82.0,25.0,50.82948756444566
26.0,65.0,26.0,49.215712370835526
27.0,0.0,27.0,47.707131474557976
28.0,93.0,28.0,46.293605185550426
29.0,19.0,29.0,44.96626715212513
30.0,4.0,30.0,43.717329612973906
31.0,72.0,31.0,42.539923440118734
32.0,27.0,32.0,41.42796591596516
33.0,13.0,33.0,40.37605077993337
34.0,50.0,34.0,39.37935627887027
35.0,41.0,35.0,38.433567865893394
36.0,40.0,36.0,37.53481288957877
37.0,69.0,37.0,36.67960515359214
38.0,23.0,38.0,35.86479764533935
39.0,58.0,39.0,35.087542059878395
40.0,25.0,40.0,34.345254003593155
41.0,28.0,41.0,33.63558296695345
42.0,30.0,42.0,32.95638631909717
43.0,37.0,43.0,32.30570670807635
44.0,40.0,44.0,31.681752356360217
45.0,48.0,45.0,31.082879826923993
46.0,52.0,46.0,30.507578905098715
47.0,31.0,47.0,29.954459298524167
48.0,53.0,48.0,29.42223890454333
49.0,30.0,49.0,28.90973343317662
50.0,32.0,50.0,28.415847205976537
51.0,34.0,51.0,27.939564977828642
52.0,41.0,52.0,27.47994465112068
53.0,42.0,53.0,27.036110770442964
54.0,18.0,54.0,26.60724870174703
55.0,0.0,55.0,26.192599413194337
56.0,32.0,56.0,25.791454786190666
57.0,0.0,57.0,25.403153394668355
58.0,0.0,58.0,25.027076698826487
59.0,0.0,59.0,24.662645606499343
,,60.0,24.309317361285128
,,61.0,23.966582721687267
,,62.0,23.633963399928984
,,63.0,23.311009732907376
,,64.0,22.997298561046033
,,65.0,22.692431293660498
,,66.0,22.396032141933343
,,67.0,22.10774650275776
,,68.0,21.82723947859591
,,69.0,21.55419452014979
,,70.0,21.28831218008909
,,71.0,21.029308967351877
,,72.0,20.776916292651634
,,73.0,20.530879496810236
,,74.0,20.290956954406255
,,75.0,20.056919245998206
,,76.0,19.828548392863873
,,77.0,19.605637148802526
,,78.0,19.387988344084494
,,79.0,19.175414277111628
,,80.0,18.96773614977904
,,81.0,18.7647835429099
,,82.0,18.566393928475733
,,83.0,18.372412215620063
,,84.0,18.182690327776736
,,85.0,17.997086808420114
,,86.0,17.815466453205023
,,87.0,17.63769996645327
,,88.0,17.463663640122597
,,89.0,17.29323905355564
,,90.0,17.12631279245253
,,91.0,16.962776185642667
,,92.0,16.802525058351033
,,93.0,16.645459500762524
,,94.0,16.491483650786314
,,95.0,16.34050549001151
,,96.0,16.192436651926556
,,97.0,16.04719224154887
,,98.0,15.904690665678457
,,99.0,15.76485347305067
