t,q,t_model,q_model
2014-01-01,567.0,2014-03-01,514.347546029175
2014-02-01,731.0,2014-04-01,359.69422379689325
2014-03-01,509.0,2014-05-01,278.9488383574193
2014-04-01,367.0,2014-06-01,228.98045676982403
2014-05-01,329.0,2014-07-01,194.85458734673014
2014-06-01,185.0,2014-08-01,169.99118138156513
2014-07-01,160.0,2014-09-01,151.0273714762269
2014-08-01,176.0,2014-10-01,136.06061869598358
2014-09-01,123.0,2014-11-01,123.93148636794119
2014-10-01,154.0,2014-12-01,113.89202671818714
2014-11-01,147.0,2015-01-01,105.43752520491822
2014-12-01,55.0,2015-02-01,98.21472595684484
2015-01-01,0.0,2015-03-01,91.96878199039695
2015-02-01,256.0,2015-04-01,86.51109237184673
2015-03-01,136.0,2015-05-01,81.69900857243384
2015-04-01,136.0,2015-06-01,77.42258799989548
2015-05-01,56.0,2015-07-01,73.59569122441913
2015-06-01,115.0,2015-08-01,70.14984448791695
2015-07-01,52.0,2015-09-01,67.02991301994764
2015-08-01,55.0,2015-10-01,64.1909899697288
2015-09-01,52.0,2015-11-01,61.59611959881263
2015-10-01,42.0,2015-12-01,59.21460441900805
2015-11-01,69.0,2016-01-01,57.020728381239174
2015-12-01,62.0,2016-02-01,54.99278128770582
2016-01-01,42.0,2016-03-01,53.11230449493091
2016-02-01,47.0,2016-04-01,51.36350136481943
2016-03-01,37.0,2016-05-01,49.73277187429658
2016-04-01,82.0,2016-06-01,48.20834185074678
2016-05-01,65.0,2016-07-01,46.779965076682416
2016-06-01,0.0,2016-08-01,45.438682050663765
2016-07-01,93.0,2016-09-01,44.1766231932843
2016-08-01,19.0,2016-10-01,42.98684720961503
2016-09-01,4.0,2016-11-01,41.8632074771257
2016-10-01,72.0,2016-12-01,40.800240937147514
2016-11-01,27.0,2017-01-01,39.79307517926426
2016-12-01,13.0,2017-02-01,38.83735032803148
2017-01-01,50.0,2017-03-01,37.92915304600999
2017-02-01,41.0,2017-04-01,37.064960510941454
2017-03-01,40.0,2017-05-01,36.24159264776666
2017-04-01,69.0,2017-06-01,35.456171227296494
2017-05-01,23.0,2017-07-01,34.706084704315984
2017-06-01,58.0,2017-08-01,33.98895787487863
2017-07-01,25.0,2017-09-01,33.30262559767604
2017-08-01,28.0,2017-10-01,32.64510995685133
2017-09-01,30.0,2017-11-01,32.01460035048705
2017-10-01,37.0,2017-12-01,31.40943607563478
2017-11-01,40.0,2018-01-01,30.828091051333885
2017-12-01,48.0,2018-02-01,30.269160378834396
2018-01-01,52.0,2018-03-01,29.731348485728848
2018-02-01,31.0,2018-04-01,29.213458639905674
2018-03-01,53.0,2018-05-01,28.714383651736778
2018-04-01,30.0,2018-06-01,28.23309760995843
2018-05-01,32.0,2018-07-01,27.768648519295624
2018-06-01,34.0,2018-08-01,27.320151726817848
2018-07-01,41.0,2018-09-01,26.88678403994408
2018-08-01,42.0,2018-10-01,26.467778452459164
2018-09-01,18.0,2018-11-01,26.06241940628603
2018-10-01,0.0,2018-12-01,25.670038526425095
2018-11-01,32.0,2019-01-01,25.29001077470599
2018-12-01,0.0,2019-02-01,24.921750975029763
2019-01-01,0.0,2019-03-01,24.56471066880437
2019-02-01,0.0,2019-04-01,24.218375264450042
,,2019-05-01,23.882261449306107
,,2019-06-01,23.555914836116155
,,2019-07-01,23.23890781959588
,,2019-08-01,22.930837621473344
,,2019-09-01,22.63132450489969
,,2019-10-01,22.340010141313417
,,2019-11-01,22.056556114748396
,,2019-12-01,21.780642550244664
,,2020-01-01,21.511966854482946
,,2020-02-01,21.250242558048647
,,2020-03-01,20.995198249860415
,,2020-04-01,20.746576595294787
,,2020-05-01,20.504133430417447
,,2020-06-01,20.267636925509837
,,2020-07-01,20.03686681176871
,,2020-08-01,19.811613665667995
,,2020-09-01,19.591678246015928
,,2020-10-01,19.376870879224306
,,2020-11-01,19.167010888738155
,,2020-12-01,18.96192606495944
,,2021-01-01,18.76145217234276
,,2021-02-01,18.565432490649542
,,2021-03-01,18.373717387623536
,,2021-04-01,18.18616392059906
,,2021-05-01,18.002635464776215
,,2021-06-01,17.82300136609843
,,2021-07-01,17.647136616848695
,,2021-08-01,17.47492155224408
,,2021-09-01,17.30624156645585
,,2021-10-01,17.140986846615785
,,2021-11-01,16.979052123490323
,,2021-12-01,16.8203364376134
,,2022-01-01,16.664742919768567
,,2022-02-01,16.512178584800946
,,2022-03-01,16.362554137821796
,,2022-04-01,16.215783791943178
,,2022-05-01,16.07178509674821
,,2022-06-01,15.930478776764495
