t,q,t_model,q_model
0.0,58.0,0.0,58.0
1.0,16.0,1.0,56.282607148706475
2.0,0.0,2.0,54.56226012549147
3.0,0.0,3.0,52.8388550824119
4.0,430.0,4.0,51.11228080788473
5.0,42.0,5.0,49.38241792231022
6.0,97.0,6.0,47.64913795269462
7.0,83.0,7.0,45.912302262700024
8.0,105.0,8.0,44.17176080882547
9.0,187.0,9.0,42.42735068601273
10.0,22.0,10.0,40.6788944162806
11.0,158.0,11.0,38.92619792118233
12.0,6.0,12.0,37.169048101754605
13.0,0.0,13.0,35.40720992643457
14.0,231.0,14.0,33.640422895581075
15.0,0.0,15.0,31.868396706858714
16.0,0.0,16.0,30.090805882853534
17.0,0.0,17.0,28.30728303151153
18.0,0.0,18.0,26.517410276245887
19.0,400.0,19.0,24.720708190935078
20.0,74.0,20.0,22.916621263105743
21.0,22.0,21.0,21.104498411582945
22.0,0.0,22.0,19.283566265703595
23.0,0.0,23.0,17.45289150881287
24.0,1.0,24.0,15.611326067031582
25.0,0.0,25.0,13.757424138156923
26.0,0.0,26.0,11.889310335780436
27.0,0.0,27.0,10.004456738107894
28.0,0.0,28.0,8.099273616218813
29.0,0.0,29.0,6.168266649270516
30.0,0.0,30.0,4.201970005184965
31.0,0.0,31.0,2.180022755313782
32.0,0.0,32.0,4.66741320899135e-05
,,33.0,
,,34.0,
,,35.0,
,,36.0,
,,37.0,
,,38.0,
,,39.0,
,,40.0,
,,41.0,
,,42.0,
,,43.0,
,,44.0,
,,45.0,
,,46.0,
,,47.0,
,,48.0,
,,49.0,
,,50.0,
,,51.0,
,,52.0,
,,53.0,
,,54.0,
,,55.0,
,,56.0,
,,57.0,
,,58.0,
,,59.0,
,,60.0,
,,61.0,
,,62.0,
,,63.0,
,,64.0,
,,65.0,
,,66.0,
,,67.0,
,,68.0,
,,69.0,
,,70.0,
,,71.0,
,,72.0,
