t,q,t_model,q_model
2012-12-01,1021.0,2016-06-01,109.960409043904
2013-01-01,1781.0,2016-07-01,106.70445696774343
2013-02-01,793.0,2016-08-01,103.4429041682575
2013-03-01,295.0,2016-09-01,100.17555376333753
2013-04-01,37.0,2016-10-01,96.90219491037739
2013-05-01,870.0,2016-11-01,93.62260128128013
2013-06-01,529.0,2016-12-01,90.33652930806397
2013-07-01,160.0,2017-01-01,87.0437161543768
2013-08-01,343.0,2017-02-01,83.7438773573782
2013-09-01,87.0,2017-03-01,80.43670407039862
2013-10-01,198.0,2017-04-01,77.12185981841374
2013-11-01,50.0,2017-05-01,73.79897665408922
2013-12-01,128.0,2017-06-01,70.46765056968069
2014-01-01,0.0,2017-07-01,67.12743597610557
2014-02-01,703.0,2017-08-01,63.77783900013808
2014-03-01,234.0,2017-09-01,60.418309266544604
2014-04-01,263.0,2017-10-01,57.048229712746334
2014-05-01,229.0,2017-11-01,53.666903811492595
2014-06-01,188.0,2017-12-01,50.27353932346588
2014-07-01,407.0,2018-01-01,46.86722731948636
2014-08-01,234.0,2018-02-01,43.446914620609235
2014-09-01,206.0,2018-03-01,40.01136686213936
2014-10-01,206.0,2018-04-01,36.55911783451716
2014-11-01,142.0,2018-05-01,33.08839809151624
2014-12-01,157.0,2018-06-01,29.59703103531989
2015-01-01,143.0,2018-07-01,26.082275614176098
2015-02-01,86.0,2018-08-01,22.54057634090228
2015-03-01,185.0,2018-09-01,18.967140606627336
2015-04-01,120.0,2018-10-01,15.355162755136552
2015-05-01,212.0,2018-11-01,11.694226273200984
2015-06-01,107.0,2018-12-01,7.96638518207507
2015-07-01,11.0,2019-01-01,4.133037825850381
2015-08-01,15.0,2019-02-01,8.848804579958783e-05
2015-09-01,276.0,2019-03-01,
2015-10-01,151.0,2019-04-01,
2015-11-01,6.0,2019-05-01,
2015-12-01,5.0,2019-06-01,
2016-01-01,3.0,2019-07-01,
2016-02-01,3.0,2019-08-01,
2016-03-01,20.0,2019-09-01,
2016-04-01,13.0,2019-10-01,
2016-05-01,595.0,2019-11-01,
2016-06-01,58.0,2019-12-01,
2016-07-01,16.0,2020-01-01,
2016-08-01,0.0,2020-02-01,
2016-09-01,0.0,2020-03-01,
2016-10-01,430.0,2020-04-01,
2016-11-01,42.0,2020-05-01,
2016-12-01,97.0,2020-06-01,
2017-01-01,83.0,2020-07-01,
2017-02-01,105.0,2020-08-01,
2017-03-01,187.0,2020-09-01,
2017-04-01,22.0,2020-10-01,
2017-05-01,158.0,2020-11-01,
2017-06-01,6.0,2020-12-01,
2017-07-01,0.0,2021-01-01,
2017-08-01,231.0,2021-02-01,
2017-09-01,0.0,2021-03-01,
2017-10-01,0.0,2021-04-01,
2017-11-01,0.0,2021-05-01,
2017-12-01,0.0,2021-06-01,
2018-01-01,400.0,2021-07-01,
2018-02-01,74.0,2021-08-01,
2018-03-01,22.0,2021-09-01,
2018-04-01,0.0,2021-10-01,
2018-05-01,0.0,2021-11-01,
2018-06-01,1.0,2021-12-01,
2018-07-01,0.0,2022-01-01,
2018-08-01,0.0,2022-02-01,
2018-09-01,0.0,2022-03-01,
2018-10-01,0.0,2022-04-01,
2018-11-01,0.0,2022-05-01,
2018-12-01,0.0,2022-06-01,
2019-01-01,0.0,2022-07-01,
2019-02-01,0.0,2022-08-01,
