t,q,t_model,q_model
0.0,3378.0,0.0,3381.3479131449403
1.0,1979.0,1.0,1950.8579567270517
2.0,1673.0,2.0,1588.0965116639768
3.0,1606.0,3.0,1395.5595360282011
4.0,1342.0,4.0,1269.7756310879818
5.0,1179.0,5.0,1178.64109581662
6.0,1313.0,6.0,1108.345853612526
7.0,391.0,7.0,1051.7941353279552
8.0,426.0,8.0,1004.9002099974915
9.0,559.0,9.0,965.1159495418877
10.0,2.0,10.0,930.7550649236482
11.0,735.0,11.0,900.6492097043355
12.0,1108.0,12.0,873.9587159393666
13.0,899.0,13.0,850.061814733639
14.0,867.0,14.0,828.4864830342106
15.0,787.0,15.0,808.8667520268967
16.0,838.0,16.0,790.9137100533594
17.0,698.0,17.0,774.3956804786176
18.0,851.0,18.0,759.124320943638
19.0,640.0,19.0,744.9446553827753
20.0,528.0,20.0,731.7277844423994
21.0,858.0,21.0,719.3654609065992
22.0,0.0,22.0,707.765989618623
23.0,1199.0,23.0,696.8510847992376
24.0,745.0,24.0,686.5534305105131
25.0,1111.0,25.0,676.8147650319476
26.0,905.0,26.0,667.5843607577084
27.0,904.0,27.0,658.8178062898127
28.0,1109.0,28.0,650.476021977462
29.0,828.0,29.0,642.524457630349
30.0,945.0,30.0,634.9324337323623
31.0,910.0,31.0,627.6725966775382
32.0,919.0,32.0,620.7204653394833
33.0,892.0,33.0,614.0540513523588
34.0,803.0,34.0,607.6535393008177
35.0,932.0,35.0,601.5010159221067
36.0,770.0,36.0,595.5802396537521
37.0,885.0,37.0,589.8764435859456
38.0,772.0,38.0,584.3761662233792
39.0,760.0,39.0,579.0671055181537
40.0,663.0,40.0,573.9379924711582
41.0,540.0,41.0,568.9784812645099
42.0,585.0,42.0,564.1790534203205
43.0,631.0,43.0,559.5309339100687
44.0,686.0,44.0,555.0260174863109
45.0,802.0,45.0,550.6568037912992
46.0,717.0,46.0,546.4163400284882
47.0,835.0,47.0,542.2981701731225
48.0,717.0,48.0,538.2962898551654
49.0,705.0,49.0,534.4051061780804
50.0,669.0,50.0,530.6194018454357
51.0,773.0,51.0,526.9343030579777
52.0,661.0,52.0,523.3452507199002
53.0,650.0,53.0,519.8479745571249
54.0,511.0,54.0,516.4384698045516
55.0,605.0,55.0,513.1129761651653
56.0,487.0,56.0,509.867958782944
57.0,543.0,57.0,506.7000910048409
58.0,558.0,58.0,503.60623873564026
59.0,496.0,59.0,500.5834462139676
60.0,644.0,60.0,497.6289230588004
61.0,446.0,61.0,494.7400324540112
62.0,469.0,62.0,491.9142803541972
63.0,541.0,63.0,489.1493056086969
64.0,521.0,64.0,486.4428709125484
65.0,536.0,65.0,483.7928545034789
66.0,510.0,66.0,481.1972425330387
67.0,544.0,67.0,478.6541220478889
68.0,479.0,68.0,476.16167452418085
69.0,379.0,69.0,473.71816990405057
70.0,430.0,70.0,471.32196108861206
71.0,469.0,71.0,468.9714788465623
72.0,418.0,72.0,466.6652271016907
73.0,584.0,73.0,464.401778566285
74.0,646.0,74.0,462.1797706907114
75.0,501.0,75.0,459.997901902361
76.0,463.0,76.0,457.85492810975074
77.0,487.0,77.0,455.74965944988355
78.0,284.0,78.0,453.6809572590352
79.0,287.0,79.0,451.647731248985
80.0,275.0,80.0,449.64893687236133
81.0,271.0,81.0,447.68357286225574
82.0,166.0,82.0,445.75067893259376
83.0,330.0,83.0,443.849333626945
84.0,229.0,84.0,441.9786523045395
85.0,151.0,85.0,440.1377852532237
86.0,193.0,86.0,438.32591591997385
87.0,164.0,87.0,436.542259250373
88.0,31.0,88.0,434.7860601291807
89.0,162.0,89.0,433.0565919147726
90.0,202.0,90.0,431.353155060818
91.0,133.0,91.0,429.67507581910183
92.0,51.0,92.0,428.02170501788163
93.0,206.0,93.0,426.39241691061665
94.0,152.0,94.0,424.78660809030885
95.0,182.0,95.0,423.2036964650655
96.0,153.0,96.0,421.643120290828
97.0,164.0,97.0,420.1043372575202
,,98.0,418.5868236251521
,,99.0,417.09007340666807
,,100.0,415.6135975945709
,,101.0,414.1569234285639
,,102.0,412.7195937016555
,,103.0,411.3011661023523
,,104.0,409.9012125907337
,,105.0,408.5193188063583
,,106.0,407.1550835060911
,,107.0,405.8081180300753
,,108.0,404.47804579419096
,,109.0,403.1645018074563
,,110.0,401.86713221293036
,,111.0,400.58559385076967
,,112.0,399.3195538421838
,,113.0,398.06868919311165
,,114.0,396.8326864165204
,,115.0,395.6112411722973
,,116.0,394.4040579237691
,,117.0,393.21084960994807
,,118.0,392.0313373326545
,,119.0,390.8652500577237
,,120.0,389.7123243295488
,,121.0,388.57230399826113
,,122.0,387.44493995888797
,,123.0,386.32998990186974
,,124.0,385.2272180743532
,,125.0,384.1363950517139
,,126.0,383.0572975187913
,,127.0,381.98970806034947
,,128.0,380.9334149603071
,,129.0,379.888212009303
,,130.0,378.85389832019024
,,131.0,377.8302781510746
,,132.0,376.817160735533
,,133.0,375.81436011966963
,,134.0,374.82169500568494
,,135.0,373.8389886016511
,,136.0,372.86606847720384
,,137.0,371.90276642487555
