t,q,t_model,q_model
2015-01-01,8701.0,2015-03-01,6609.837062757936
2015-02-01,9158.0,2015-04-01,2773.2033183227736
2015-03-01,6585.0,2015-05-01,2101.461926900344
2015-04-01,3378.0,2015-06-01,1772.717822574768
2015-05-01,1979.0,2015-07-01,1567.4694273285152
2015-06-01,1673.0,2015-08-01,1423.3313751425383
2015-07-01,1606.0,2015-09-01,1314.7588951254634
2015-08-01,1342.0,2015-10-01,1229.065130521978
2015-09-01,1179.0,2015-11-01,1159.1306266338634
2015-10-01,1313.0,2015-12-01,1100.605917684095
2015-11-01,391.0,2016-01-01,1050.6616588772893
2015-12-01,426.0,2016-02-01,1007.3661210940268
2016-01-01,559.0,2016-03-01,969.3486838803582
2016-02-01,2.0,2016-04-01,935.6058692436975
2016-03-01,735.0,2016-05-01,905.3835953049894
2016-04-01,1108.0,2016-06-01,878.1025797105144
2016-05-01,899.0,2016-07-01,853.3093540794164
2016-06-01,867.0,2016-08-01,830.6430980465133
2016-07-01,787.0,2016-09-01,809.8125839315644
2016-08-01,838.0,2016-10-01,790.5797769719788
2016-09-01,698.0,2016-11-01,772.7479313478574
2016-10-01,851.0,2016-12-01,756.1527930652371
2016-11-01,640.0,2017-01-01,740.6559937885063
2016-12-01,528.0,2017-02-01,726.1400179877055
2017-01-01,858.0,2017-03-01,712.5043184711042
2017-02-01,0.0,2017-04-01,699.6622826183925
2017-03-01,1199.0,2017-05-01,687.5388373233521
2017-04-01,745.0,2017-06-01,676.0685394076967
2017-05-01,1111.0,2017-07-01,665.1940392128247
2017-06-01,905.0,2017-08-01,654.8648340411103
2017-07-01,904.0,2017-09-01,645.0362488922372
2017-08-01,1109.0,2017-10-01,635.6685970296733
2017-09-01,828.0,2017-11-01,626.7264840026792
2017-10-01,945.0,2017-12-01,618.1782269896448
2017-11-01,910.0,2018-01-01,609.9953675139454
2017-12-01,919.0,2018-02-01,602.1522602706135
2018-01-01,892.0,2018-03-01,594.6257243855463
2018-02-01,803.0,2018-04-01,587.3947461914693
2018-03-01,932.0,2018-05-01,580.440224751237
2018-04-01,770.0,2018-06-01,573.7447530390209
2018-05-01,885.0,2018-07-01,567.2924290139944
2018-06-01,772.0,2018-08-01,561.0686918715639
2018-07-01,760.0,2018-09-01,555.0601795957172
2018-08-01,663.0,2018-10-01,549.2546046093847
2018-09-01,540.0,2018-11-01,543.6406448633979
2018-10-01,585.0,2018-12-01,538.2078481459677
2018-11-01,631.0,2019-01-01,532.9465477546823
2018-12-01,686.0,2019-02-01,527.8477879682158
2019-01-01,802.0,2019-03-01,522.9032579980336
2019-02-01,717.0,2019-04-01,518.1052333014766
2019-03-01,835.0,2019-05-01,513.4465233046316
2019-04-01,717.0,2019-06-01,508.9204247226898
