t,q,t_model,q_model
0.0,2184.0,0.0,2319.581086159374
1.0,1910.0,1.0,1549.0668681322582
2.0,1268.0,2.0,1176.7351685943524
3.0,987.0,3.0,955.0799872054887
4.0,636.0,4.0,807.1567512272288
5.0,742.0,5.0,701.0075971720979
6.0,590.0,6.0,620.9032662613093
7.0,438.0,7.0,558.1746881594048
8.0,287.0,8.0,507.63935807396194
9.0,299.0,9.0,466.00282486848477
10.0,363.0,10.0,431.0675744368384
11.0,296.0,11.0,401.3098230197527
12.0,327.0,12.0,375.6386699866822
13.0,231.0,13.0,353.25193245543744
14.0,335.0,14.0,333.5461465052438
15.0,336.0,15.0,316.0583488457558
16.0,241.0,16.0,300.42725003351467
17.0,309.0,17.0,286.36664582277285
18.0,285.0,18.0,273.6467821578783
19.0,89.0,19.0,262.08102430737927
20.0,325.0,20.0,251.51614494655203
21.0,237.0,21.0,241.82513222280352
22.0,124.0,22.0,232.90178495224714
23.0,305.0,23.0,224.65659632600915
24.0,177.0,24.0,217.01358065231855
25.0,177.0,25.0,209.9077997846055
26.0,183.0,26.0,203.28341521752645
27.0,149.0,27.0,197.0921396795993
28.0,189.0,28.0,191.29199557132853
29.0,279.0,29.0,185.84631140881646
30.0,165.0,30.0,180.72290456518203
31.0,204.0,31.0,175.89341107627394
32.0,212.0,32.0,171.33273246055074
33.0,189.0,33.0,167.01857633370642
34.0,171.0,34.0,162.93107272849147
35.0,167.0,35.0,159.05245191759806
36.0,278.0,36.0,155.36677250838636
37.0,168.0,37.0,151.85969086683855
38.0,159.0,38.0,148.5182647044005
39.0,202.0,39.0,145.33078504978576
40.0,261.0,40.0,142.28663192034853
41.0,311.0,41.0,139.37614987279906
42.0,166.0,42.0,136.59054030227622
43.0,180.0,43.0,133.92176791102574
44.0,185.0,44.0,131.3624792127969
45.0,212.0,45.0,128.90593129929502
46.0,286.0,46.0,126.54592938815662
47.0,157.0,47.0,124.27677191156612
48.0,111.0,48.0,122.09320210144635
49.0,100.0,49.0,119.99036518948174
50.0,138.0,50.0,117.96377047466545
51.0,126.0,51.0,116.00925762283592
52.0,115.0,52.0,114.12296665594883
53.0,74.0,53.0,112.3013111669659
54.0,86.0,54.0,110.54095436191457
55.0,120.0,55.0,108.83878758605759
56.0,139.0,56.0,107.19191103797034
57.0,85.0,57.0,105.59761641509252
58.0,122.0,58.0,104.05337126817132
59.0,79.0,59.0,102.55680487091306
60.0,101.0,60.0,101.10569543589699
61.0,120.0,61.0,99.69795852904038
62.0,87.0,62.0,98.33163655317645
63.0,136.0,63.0,97.00488918707298
64.0,144.0,64.0,95.71598467985186
65.0,137.0,65.0,94.4632919125906
66.0,75.0,66.0,93.24527314915288
67.0,115.0,67.0,92.06047740723784
68.0,57.0,68.0,90.90753438843905
69.0,104.0,69.0,89.78514891292517
70.0,119.0,70.0,88.69209581033242
71.0,59.0,71.0,87.62721522370491
72.0,148.0,72.0,86.5894082879335
73.0,202.0,73.0,85.57763314821055
74.0,78.0,74.0,84.5909012876063
75.0,95.0,75.0,83.62827413604649
76.0,41.0,76.0,82.68885993578175
77.0,37.0,77.0,81.77181084093294
78.0,80.0,78.0,80.8763202309124
79.0,136.0,79.0,80.0016202194933
80.0,56.0,80.0,79.1469793430573
81.0,107.0,81.0,78.31170041311888
82.0,110.0,82.0,77.49511851962846
83.0,82.0,83.0,76.69659917281095
84.0,42.0,84.0,75.9155365724224
85.0,118.0,85.0,75.15135199431762
86.0,0.0,86.0,74.40349228512926
87.0,116.0,87.0,73.67142845667601
88.0,0.0,88.0,72.95465437245414
89.0,235.0,89.0,72.25268551923003
90.0,125.0,90.0,71.5650578573517
91.0,11.0,91.0,70.89132674393952
92.0,0.0,92.0,70.23106592360709
93.0,185.0,93.0,69.58386658180879
94.0,43.0,94.0,68.9493364563131
95.0,74.0,95.0,68.32709900266887
96.0,119.0,96.0,67.7167926098634
97.0,0.0,97.0,67.11806986267598
98.0,188.0,98.0,66.53059684750572
99.0,64.0,99.0,65.954052498705
100.0,62.0,100.0,65.38812798267975
101.0,92.0,101.0,64.83252611722794
102.0,75.0,102.0,64.28696082377907
103.0,72.0,103.0,63.75115661037456
104.0,225.0,104.0,63.224848083388395
105.0,70.0,105.0,62.707779486136495
106.0,0.0,106.0,62.199704262657555
,,107.0,61.70038464507339
,,108.0,61.20959126305049
,,109.0,60.727102773990126
,,110.0,60.25270551267094
,,111.0,59.78619315915716
,,112.0,59.32736642386775
,,113.0,58.876032748777895
,,114.0,58.432006023793804
,,115.0,57.995106317407256
,,116.0,57.5651596207951
,,117.0,57.14199760458545
,,118.0,56.72545738756253
,,119.0,56.31538131663036
,,120.0,55.91161675739903
,,121.0,55.514015894798334
,,122.0,55.122435543161345
,,123.0,54.73673696525599
,,124.0,54.356785699774825
,,125.0,53.98245139682437
,,126.0,53.613607660983
,,127.0,53.250131901523254
,,128.0,52.89190518941861
,,129.0,52.538812120778005
,,130.0,52.19074068637233
,,131.0,51.84758214693736
,,132.0,51.50923091395621
,,133.0,51.17558443564123
,,134.0,50.84654308785241
,,135.0,50.52201006970356
,,136.0,50.20189130362259
,,137.0,49.88609533964465
,,138.0,49.57453326373035
,,139.0,49.267118609911904
,,140.0,48.96376727608171
,,141.0,48.66439744324782
,,142.0,48.36892949809048
,,143.0,48.07728595866273
,,144.0,47.789391403086924
,,145.0,47.50517240110659
,,146.0,47.22455744836085
