t,q,t_model,q_model
2013-08-01,4512.0,2013-09-01,3979.965502285538
2013-09-01,3954.0,2013-10-01,2222.4578487956182
2013-10-01,2184.0,2013-11-01,1555.9456625735954
2013-11-01,1910.0,2013-12-01,1202.5579613361908
2013-12-01,1268.0,2014-01-01,982.7493855673324
2014-01-01,987.0,2014-02-01,832.4518956313838
2014-02-01,636.0,2014-03-01,723.0099231460418
2014-03-01,742.0,2014-04-01,639.6551938519679
2014-04-01,590.0,2014-05-01,573.9916368306588
2014-05-01,438.0,2014-06-01,520.8879288718713
2014-06-01,287.0,2014-07-01,477.02860673176883
2014-07-01,299.0,2014-08-01,440.1746852215112
2014-08-01,363.0,2014-09-01,408.7587435792585
2014-09-01,296.0,2014-10-01,381.65020687305224
2014-10-01,327.0,2014-11-01,358.01276056349855
2014-11-01,231.0,2014-12-01,337.21426183525006
2014-12-01,335.0,2015-01-01,318.767882344598
2015-01-01,336.0,2015-02-01,302.2925293344368
2015-02-01,241.0,2015-03-01,287.4855526640995
2015-03-01,309.0,2015-04-01,274.1035029924878
2015-04-01,285.0,2015-05-01,261.94829739065995
2015-05-01,89.0,2015-06-01,250.85709703060166
2015-06-01,325.0,2015-07-01,240.69478346068777
2015-07-01,237.0,2015-08-01,231.34828629758272
2015-08-01,124.0,2015-09-01,222.72225118652594
2015-09-01,305.0,2015-10-01,214.73569216658936
2015-10-01,177.0,2015-11-01,207.31937670144555
2015-11-01,177.0,2015-12-01,200.41376267488246
2015-12-01,183.0,2016-01-01,193.96735589161025
2016-01-01,149.0,2016-02-01,187.93539125767833
2016-02-01,189.0,2016-03-01,182.27876550451663
2016-03-01,279.0,2016-04-01,176.96316714206964
2016-04-01,165.0,2016-05-01,171.95836233999046
2016-05-01,204.0,2016-06-01,167.23760504140918
2016-06-01,212.0,2016-07-01,162.77714677546666
2016-07-01,189.0,2016-08-01,158.5558270248287
2016-08-01,171.0,2016-09-01,154.55472909695365
2016-09-01,167.0,2016-10-01,150.756889581141
2016-10-01,278.0,2016-11-01,147.14705189097066
2016-11-01,168.0,2016-12-01,143.7114562708878
2016-12-01,159.0,2017-01-01,140.43766011648754
2017-01-01,202.0,2017-02-01,137.31438361683067
2017-02-01,261.0,2017-03-01,134.3313766457753
2017-03-01,311.0,2017-04-01,131.47930356190258
2017-04-01,166.0,2017-05-01,128.7496431641321
2017-05-01,180.0,2017-06-01,126.13460152380345
2017-06-01,185.0,2017-07-01,123.6270357978602
2017-07-01,212.0,2017-08-01,121.22038744034701
2017-08-01,286.0,2017-09-01,118.90862348514653
2017-09-01,157.0,2017-10-01,116.68618478300475
2017-10-01,111.0,2017-11-01,114.54794024928982
2017-11-01,100.0,2017-12-01,112.4891463225945
2017-12-01,138.0,2018-01-01,110.505410953793
2018-01-01,126.0,2018-02-01,108.59266154493143
2018-02-01,115.0,2018-03-01,106.74711634092549
2018-03-01,74.0,2018-04-01,104.96525884732381
2018-04-01,86.0,2018-05-01,103.24381490668466
2018-05-01,120.0,2018-06-01,101.57973211628585
2018-06-01,139.0,2018-07-01,99.97016131247979
2018-07-01,85.0,2018-08-01,98.41243988326244
2018-08-01,122.0,2018-09-01,96.90407670158613
2018-09-01,79.0,2018-10-01,95.44273849844886
2018-10-01,101.0,2018-11-01,94.02623751754685
2018-11-01,120.0,2018-12-01,92.65252031285816
2018-12-01,87.0,2019-01-01,91.31965756742093
2019-01-01,136.0,2019-02-01,90.02583482617945
2019-02-01,144.0,2019-03-01,88.76934404843982
2019-03-01,137.0,2019-04-01,87.54857589647973
2019-04-01,75.0,2019-05-01,86.36201268643951
2019-05-01,115.0,2019-06-01,85.20822193598276
2019-06-01,57.0,2019-07-01,84.08585045052442
