t,q,t_model,q_model
0.0,13704.0,0.0,13704.0
1.0,11501.0,1.0,9399.355626256305
2.0,7481.0,2.0,7010.784836410786
3.0,5169.0,3.0,5515.252752636274
4.0,4606.0,4.0,4501.621637114436
5.0,2325.0,5.0,3774.9324233886987
6.0,1729.0,6.0,3231.6627184124686
7.0,2711.0,7.0,2812.104643286193
8.0,3451.0,8.0,2479.572824999149
9.0,2728.0,9.0,2210.371204303837
10.0,2129.0,10.0,1988.559794567255
11.0,2129.0,11.0,1803.0493335031185
12.0,3631.0,12.0,1645.9035262836583
,,13.0,1511.303494903558
,,14.0,1394.8927061145596
,,15.0,1293.3493827906912
,,16.0,1204.0996801506574
,,17.0,1125.1206181756577
,,18.0,1054.8017773856495
,,19.0,991.8463797725268
,,20.0,935.1993261317099
,,21.0,883.9940343053033
,,22.0,837.5126157363462
,,23.0,795.1556626752546
,,24.0,756.4190588127839
,,25.0,720.8759896012908
,,26.0,688.1628482933213
,,27.0,657.9680930631704
,,28.0,630.023362553395
,,29.0,604.0963362169834
,,30.0,579.9849545855012
,,31.0,557.5127082554646
,,32.0,536.5247732413101
,,33.0,516.884821466803
,,34.0,498.4723734779976
,,35.0,481.1805894220444
,,36.0,464.9144164094166
,,37.0,449.589027331175
,,38.0,435.12849932037534
,,39.0,421.4646902661227
,,40.0,408.5362798026289
,,41.0,396.28794751904456
,,42.0,384.66966615489747
,,43.0,373.6360915521281
,,44.0,363.1460343495092
,,45.0,353.16200099816706
,,46.0,343.6497937784652
,,47.0,334.5781612097284
,,48.0,325.91849164387224
,,49.0,317.6445439835976
,,50.0,309.73221041392117
,,51.0,302.15930682081915
,,52.0,294.90538722316995
