t,q,t_model,q_model
0.0,2013.0,0.0,1674.070450434125
1.0,1942.0,1.0,1632.214262061706
2.0,1860.0,2.0,1591.6716332863548
3.0,1368.0,3.0,1552.3930696481784
4.0,918.0,4.0,1514.3312492534262
5.0,573.0,5.0,1477.440914079402
6.0,567.0,6.0,1441.6787673758752
7.0,786.0,7.0,1407.003376784572
8.0,2221.0,8.0,1373.3750828240845
9.0,2705.0,9.0,1340.7559124113193
10.0,1516.0,10.0,1309.1094971127382
11.0,1234.0,11.0,1278.4009958390473
12.0,1497.0,12.0,1248.5970217160307
13.0,1546.0,13.0,1219.6655728817886
14.0,1371.0,14.0,1191.5759669770487
15.0,1222.0,15.0,1164.2987791103697
16.0,1193.0,16.0,1137.8057830942005
17.0,1215.0,17.0,1112.069895760862
18.0,452.0,18.0,1087.0651241797566
19.0,1060.0,19.0,1062.766515608443
20.0,1747.0,20.0,1039.1501100208075
21.0,1075.0,21.0,1016.1928950654019
22.0,576.0,22.0,993.8727633162117
23.0,498.0,23.0,972.1684716866533
24.0,946.0,24.0,951.0596028855986
25.0,954.0,25.0,930.5265288016411
26.0,1076.0,26.0,910.5503757087977
27.0,1031.0,27.0,891.1129911932924
28.0,997.0,28.0,872.1969127071534
29.0,549.0,29.0,853.7853376599869
30.0,561.0,30.0,835.8620949656166
31.0,334.0,31.0,818.4116179651926
32.0,279.0,32.0,801.4189186530238
33.0,404.0,33.0,784.8695631357059
34.0,450.0,34.0,768.7496482591845
35.0,346.0,35.0,753.0457793421804
36.0,328.0,36.0,737.7450489579669
37.0,350.0,37.0,722.835016709818
38.0,353.0,38.0,708.3036899485857
39.0,358.0,39.0,694.1395053837778
40.0,378.0,40.0,680.3313115422769
41.0,841.0,41.0,666.868352031403
42.0,771.0,42.0,653.7402495654677
43.0,120.0,43.0,640.936990717226
44.0,1613.0,44.0,628.4489113577786
45.0,1939.0,45.0,616.2666827504864
46.0,2006.0,46.0,604.3812982663435
47.0,1675.0,47.0,592.7840606900379
48.0,1119.0,48.0,581.4665700875989
49.0,730.0,49.0,570.4207122080925
50.0,597.0,50.0,559.6386473933221
51.0,655.0,51.0,549.1127999708755
52.0,922.0,52.0,538.8358481071698
53.0,797.0,53.0,528.8007140983923
54.0,396.0,54.0,519.0005550783866
55.0,111.0,55.0,509.428754123648
56.0,837.0,56.0,500.0789117366145
57.0,743.0,57.0,490.94483768942115
58.0,400.0,58.0,482.0205432112124
59.0,348.0,59.0,473.30023350297006
60.0,453.0,60.0,464.7783005646385
61.0,195.0,61.0,456.44931632010685
62.0,225.0,62.0,448.308026026334
63.0,141.0,63.0,440.349341953604
64.0,319.0,64.0,432.56833732454544
65.0,152.0,65.0,424.96024050016786
66.0,177.0,66.0,417.52042940175977
67.0,331.0,67.0,410.24442615803724
68.0,313.0,68.0,403.12789196746076
69.0,194.0,69.0,396.16662216613196
70.0,205.0,70.0,389.35654149214935
71.0,240.0,71.0,382.69369953774844
72.0,302.0,72.0,376.17426638097106
73.0,312.0,73.0,369.79452838900295
74.0,407.0,74.0,363.55088418570483
75.0,286.0,75.0,357.43984077621104
76.0,207.0,76.0,351.45800982181214
77.0,162.0,77.0,345.6021040586619
78.0,310.0,78.0,339.86893385414993
79.0,378.0,79.0,334.2554038950705
80.0,676.0,80.0,328.7585100019988
81.0,157.0,81.0,323.3753360645358
82.0,170.0,82.0,318.1030510923412
83.0,411.0,83.0,312.9389063771006
84.0,529.0,84.0,307.88023276079963
85.0,268.0,85.0,302.92443800588984
86.0,285.0,86.0,298.0690042631314
87.0,352.0,87.0,293.31148563308767
88.0,255.0,88.0,288.6495058174339
,,89.0,284.0807558564068
,,90.0,279.6029919488951
,,91.0,275.2140333518209
,,92.0,270.9117603556138
,,93.0,266.6941123327209
,,94.0,262.5590858562305
,,95.0,258.5047328858135
,,96.0,254.52915901831446
,,97.0,250.6305218004328
,,98.0,246.8070291010527
,,99.0,243.05693754088142
,,100.0,239.37855097715786
,,101.0,235.7702190412891
,,102.0,232.23033572736554
,,103.0,228.75733802958771
,,104.0,225.34970462672905
,,105.0,222.00595461182888
,,106.0,218.72464626539414
,,107.0,215.50437587045457
,,108.0,212.34377656788766
,,109.0,209.2415172504958
,,110.0,206.19630149437964
,,111.0,203.20686652621137
,,112.0,200.27198222507252
,,113.0,197.39045015756898
,,114.0,194.5611026449961
,,115.0,191.7828018613703
,,116.0,189.05443896119473
,,117.0,186.37493323587165
,,118.0,183.74323129771764
,,119.0,181.15830629057825
,,120.0,178.61915712608246
,,121.0,176.1248077446102
,,122.0,173.6743064000874
,,123.0,171.2667249677557
,,124.0,168.90115827409738
,,125.0,166.5767234481293
,,126.0,164.29255929330944
,,127.0,162.04782567932875
,,128.0,159.84170295309102
