t,q,t_model,q_model
2013-01-01,8382.0,2016-01-01,1674.070450434125
2013-02-01,15301.0,2016-02-01,1632.214262061706
2013-03-01,19480.0,2016-03-01,1591.6716332863548
2013-04-01,8745.0,2016-04-01,1552.3930696481784
2013-05-01,5335.0,2016-05-01,1514.3312492534262
2013-06-01,3827.0,2016-06-01,1477.440914079402
2013-07-01,2100.0,2016-07-01,1441.6787673758752
2013-08-01,3414.0,2016-08-01,1407.003376784572
2013-09-01,3403.0,2016-09-01,1373.3750828240845
2013-10-01,3081.0,2016-10-01,1340.7559124113193
2013-11-01,3146.0,2016-11-01,1309.1094971127382
2013-12-01,3006.0,2016-12-01,1278.4009958390473
2014-01-01,2574.0,2017-01-01,1248.5970217160307
2014-02-01,2471.0,2017-02-01,1219.6655728817886
2014-03-01,2675.0,2017-03-01,1191.5759669770487
2014-04-01,2436.0,2017-04-01,1164.2987791103697
2014-05-01,2223.0,2017-05-01,1137.8057830942005
2014-06-01,2206.0,2017-06-01,1112.069895760862
2014-07-01,2246.0,2017-07-01,1087.0651241797566
2014-08-01,2172.0,2017-08-01,1062.766515608443
2014-09-01,2332.0,2017-09-01,1039.1501100208075
2014-10-01,2554.0,2017-10-01,1016.1928950654019
2014-11-01,2088.0,2017-11-01,993.8727633162117
2014-12-01,995.0,2017-12-01,972.1684716866533
2015-01-01,460.0,2018-01-01,951.0596028855986
2015-02-01,758.0,2018-02-01,930.5265288016411
2015-03-01,1301.0,2018-03-01,910.5503757087977
2015-04-01,1318.0,2018-04-01,891.1129911932924
2015-05-01,1143.0,2018-05-01,872.1969127071534
2015-06-01,1581.0,2018-06-01,853.7853376599869
2015-07-01,1580.0,2018-07-01,835.8620949656166
2015-08-01,1618.0,2018-08-01,818.4116179651926
2015-09-01,1565.0,2018-09-01,801.4189186530238
2015-10-01,1547.0,2018-10-01,784.8695631357059
2015-11-01,1528.0,2018-11-01,768.7496482591845
2015-12-01,3682.0,2018-12-01,753.0457793421804
2016-01-01,2013.0,2019-01-01,737.7450489579669
2016-02-01,1942.0,2019-02-01,722.835016709818
2016-03-01,1860.0,2019-03-01,708.3036899485857
2016-04-01,1368.0,2019-04-01,694.1395053837778
2016-05-01,918.0,2019-05-01,680.3313115422769
2016-06-01,573.0,2019-06-01,666.868352031403
2016-07-01,567.0,2019-07-01,653.7402495654677
2016-08-01,786.0,2019-08-01,640.936990717226
2016-09-01,2221.0,2019-09-01,628.4489113577786
2016-10-01,2705.0,2019-10-01,616.2666827504864
2016-11-01,1516.0,2019-11-01,604.3812982663435
2016-12-01,1234.0,2019-12-01,592.7840606900379
2017-01-01,1497.0,2020-01-01,581.4665700875989
2017-02-01,1546.0,2020-02-01,570.4207122080925
2017-03-01,1371.0,2020-03-01,559.6386473933221
2017-04-01,1222.0,2020-04-01,549.1127999708755
2017-05-01,1193.0,2020-05-01,538.8358481071698
2017-06-01,1215.0,2020-06-01,528.8007140983923
2017-07-01,452.0,2020-07-01,519.0005550783866
2017-08-01,1060.0,2020-08-01,509.428754123648
2017-09-01,1747.0,2020-09-01,500.0789117366145
2017-10-01,1075.0,2020-10-01,490.94483768942115
2017-11-01,576.0,2020-11-01,482.0205432112124
2017-12-01,498.0,2020-12-01,473.30023350297006
2018-01-01,946.0,2021-01-01,464.7783005646385
2018-02-01,954.0,2021-02-01,456.44931632010685
2018-03-01,1076.0,2021-03-01,448.308026026334
2018-04-01,1031.0,2021-04-01,440.349341953604
2018-05-01,997.0,2021-05-01,432.56833732454544
2018-06-01,549.0,2021-06-01,424.96024050016786
2018-07-01,561.0,2021-07-01,417.52042940175977
2018-08-01,334.0,2021-08-01,410.24442615803724
2018-09-01,279.0,2021-09-01,403.12789196746076
2018-10-01,404.0,2021-10-01,396.16662216613196
2018-11-01,450.0,2021-11-01,389.35654149214935
2018-12-01,346.0,2021-12-01,382.69369953774844
2019-01-01,328.0,2022-01-01,376.17426638097106
2019-02-01,350.0,2022-02-01,369.79452838900295
2019-03-01,353.0,2022-03-01,363.55088418570483
2019-04-01,358.0,2022-04-01,357.43984077621104
2019-05-01,378.0,2022-05-01,351.45800982181214
2019-06-01,841.0,2022-06-01,345.6021040586619
2019-07-01,771.0,2022-07-01,339.86893385414993
2019-08-01,120.0,2022-08-01,334.2554038950705
2019-09-01,1613.0,2022-09-01,328.7585100019988
2019-10-01,1939.0,2022-10-01,323.3753360645358
2019-11-01,2006.0,2022-11-01,318.1030510923412
2019-12-01,1675.0,2022-12-01,312.9389063771006
2020-01-01,1119.0,2023-01-01,307.88023276079963
2020-02-01,730.0,2023-02-01,302.92443800588984
2020-03-01,597.0,2023-03-01,298.0690042631314
2020-04-01,655.0,2023-04-01,293.31148563308767
2020-05-01,922.0,2023-05-01,288.6495058174339
2020-06-01,797.0,2023-06-01,284.0807558564068
2020-07-01,396.0,2023-07-01,279.6029919488951
2020-08-01,111.0,2023-08-01,275.2140333518209
2020-09-01,837.0,2023-09-01,270.9117603556138
2020-10-01,743.0,2023-10-01,266.6941123327209
2020-11-01,400.0,2023-11-01,262.5590858562305
2020-12-01,348.0,2023-12-01,258.5047328858135
2021-01-01,453.0,2024-01-01,254.52915901831446
2021-02-01,195.0,2024-02-01,250.6305218004328
2021-03-01,225.0,2024-03-01,246.8070291010527
2021-04-01,141.0,2024-04-01,243.05693754088142
2021-05-01,319.0,2024-05-01,239.37855097715786
2021-06-01,152.0,2024-06-01,235.7702190412891
2021-07-01,177.0,2024-07-01,232.23033572736554
2021-08-01,331.0,2024-08-01,228.75733802958771
2021-09-01,313.0,2024-09-01,225.34970462672905
2021-10-01,194.0,2024-10-01,222.00595461182888
2021-11-01,205.0,2024-11-01,218.72464626539414
2021-12-01,240.0,2024-12-01,215.50437587045457
2022-01-01,302.0,2025-01-01,212.34377656788766
2022-02-01,312.0,2025-02-01,209.2415172504958
2022-03-01,407.0,2025-03-01,206.19630149437964
2022-04-01,286.0,2025-04-01,203.20686652621137
2022-05-01,207.0,2025-05-01,200.27198222507252
2022-06-01,162.0,2025-06-01,197.39045015756898
2022-07-01,310.0,2025-07-01,194.5611026449961
2022-08-01,378.0,2025-08-01,191.7828018613703
2022-09-01,676.0,2025-09-01,189.05443896119473
2022-10-01,157.0,2025-10-01,186.37493323587165
2022-11-01,170.0,2025-11-01,183.74323129771764
2022-12-01,411.0,2025-12-01,181.15830629057825
2023-01-01,529.0,2026-01-01,178.61915712608246
2023-02-01,268.0,2026-02-01,176.1248077446102
2023-03-01,285.0,2026-03-01,173.6743064000874
2023-04-01,352.0,2026-04-01,171.2667249677557
2023-05-01,255.0,2026-05-01,168.90115827409738
,,2026-06-01,166.5767234481293
,,2026-07-01,164.29255929330944
,,2026-08-01,162.04782567932875
,,2026-09-01,159.84170295309102
,,2026-10-01,157.67339136820695
,,2026-11-01,155.5421105323589
,,2026-12-01,153.44709887191317
,,2027-01-01,151.38761311318393
,,2027-02-01,149.3629277797728
,,2027-03-01,147.3723347054322
,,2027-04-01,145.41514256192002
,,2027-05-01,143.49067640133313
,,2027-06-01,141.59827721242823
,,2027-07-01,139.73730149045375
,,2027-08-01,137.90712082003822
,,2027-09-01,136.1071214706937
,,2027-10-01,134.33670400451143
,,2027-11-01,132.59528289564196
,,2027-12-01,130.88228616116683
,,2028-01-01,129.19715500298238
,,2028-02-01,127.53934346033303
,,2028-03-01,125.90831807264013
,,2028-04-01,124.30355755228979
,,2028-05-01,122.72455246705199
,,2028-06-01,121.17080493181685
,,2028-07-01,119.64182830934422
,,2028-08-01,118.13714691973469
,,2028-09-01,116.65629575833913
,,2028-10-01,115.19882022183528
,,2028-11-01,113.76427584220896
,,2028-12-01,112.35222802838565
,,2029-01-01,110.96225181526984
,,2029-02-01,109.59393161995507
,,2029-03-01,108.24686100487814
,,2029-04-01,106.92064244769668
,,2029-05-01,105.61488711767979
,,2029-06-01,104.3292146584059
,,2029-07-01,103.06325297657101
,,2029-08-01,101.81663803671591
,,2029-09-01,100.58901366168926
,,2029-10-01,99.38003133866746
,,2029-11-01,98.18935003056012
,,2029-12-01,97.01663599263536
,,2030-01-01,95.86156259420379
,,2030-02-01,94.72381014520694
,,2030-03-01,93.60306572756024
,,2030-04-01,92.49902303110517
,,2030-05-01,91.41138219403186
,,2030-06-01,90.33984964763583
,,2030-07-01,89.2841379652792
,,2030-08-01,88.24396571542852
,,2030-09-01,87.21905731864865
,,2030-10-01,86.20914290843338
,,2030-11-01,85.21395819575898
,,2030-12-01,84.23324433724973
,,2031-01-01,83.26674780684893
,,2031-02-01,82.3142202708915
,,2031-03-01,81.37541846647841
,,2031-04-01,80.45010408305563
,,2031-05-01,79.53804364710423
,,2031-06-01,78.63900840985066
,,2031-07-01,77.75277423790962
,,2031-08-01,76.87912150677383
,,2031-09-01,76.01783499706936
