t,q,t_model,q_model
2012-03-01,10227.0,2015-12-01,1576.104695579062
2012-04-01,15470.0,2016-01-01,1131.0497074365458
2012-05-01,18504.0,2016-02-01,901.9493234159396
2012-06-01,19830.0,2016-03-01,759.4295821107587
2012-07-01,13309.0,2016-04-01,661.0407243824629
2012-08-01,6163.0,2016-05-01,588.4618109235983
2012-09-01,3038.0,2016-06-01,532.3999096836956
2012-10-01,4470.0,2016-07-01,487.60430958383915
2012-11-01,317.0,2016-08-01,450.8686913512928
2012-12-01,1723.0,2016-09-01,420.1166840510016
2013-01-01,877.0,2016-10-01,393.94026684482753
2013-02-01,1814.0,2016-11-01,371.34851488413483
2013-03-01,1382.0,2016-12-01,351.6223784007395
2013-04-01,790.0,2017-01-01,334.2265316625561
2013-05-01,80.0,2017-02-01,318.75363500000344
2013-06-01,94.0,2017-03-01,304.88785279813845
2013-07-01,49.0,2017-04-01,292.380256711192
2013-08-01,456.0,2017-05-01,281.03181005880293
2013-09-01,656.0,2017-06-01,270.6813284711019
2013-10-01,1001.0,2017-07-01,261.19679013809974
2013-11-01,1100.0,2017-08-01,252.4689515526796
2013-12-01,1184.0,2017-09-01,244.4065819681673
2014-01-01,873.0,2017-10-01,236.932854849723
2014-02-01,266.0,2017-11-01,229.9825797415438
2014-03-01,352.0,2017-12-01,223.50005359364098
2014-04-01,415.0,2018-01-01,217.43737481767002
2014-05-01,471.0,2018-02-01,211.75310724487625
2014-06-01,547.0,2018-03-01,206.4112116575415
2014-07-01,462.0,2018-04-01,201.3801840665873
2014-08-01,547.0,2018-05-01,196.63235527397288
2014-09-01,497.0,2018-06-01,192.14331737885567
2014-10-01,438.0,2018-07-01,187.89145102863554
2014-11-01,483.0,2018-08-01,183.85753324255856
2014-12-01,519.0,2018-09-01,180.02441014153854
2015-01-01,543.0,2018-10-01,176.37672231889292
2015-02-01,368.0,2018-11-01,172.90067317655476
2015-03-01,332.0,2018-12-01,169.58383253993287
2015-04-01,358.0,2019-01-01,166.4149694035004
2015-05-01,349.0,2019-02-01,163.38390885890274
2015-06-01,262.0,2019-03-01,160.48140919916025
2015-07-01,256.0,2019-04-01,157.6990559367335
2015-08-01,77.0,2019-05-01,155.02917006493666
2015-09-01,18.0,2019-06-01,152.4647283654565
2015-10-01,0.0,2019-07-01,149.99929394539117
2015-11-01,255.0,2019-08-01,147.6269554950291
2015-12-01,1473.0,2019-09-01,145.3422740077448
2016-01-01,1224.0,2019-10-01,143.14023590768485
2016-02-01,1229.0,2019-11-01,141.01621169852595
