t,q,t_model,q_model
0.0,465.0,0.0,465.0
1.0,2539.0,1.0,434.32175986259
2.0,3507.0,2.0,407.14071601000563
3.0,2152.0,3.0,382.90670078060657
4.0,2096.0,4.0,361.17770689012826
5.0,3153.0,5.0,341.59475395369776
6.0,1581.0,6.0,323.8634177986094
7.0,1829.0,7.0,307.74005609814725
8.0,1120.0,8.0,293.0213986836649
9.0,899.0,9.0,279.5365845356555
10.0,1099.0,10.0,267.14100222583176
11.0,1392.0,11.0,255.71147634569562
12.0,1294.0,12.0,245.14247008779643
13.0,1594.0,13.0,235.34306314706475
14.0,1461.0,14.0,226.23452702933295
15.0,964.0,15.0,217.7483649035157
16.0,936.0,16.0,209.8247157708234
17.0,476.0,17.0,202.41104662979006
18.0,1334.0,18.0,195.4610740061421
19.0,881.0,19.0,188.93386943365704
20.0,450.0,20.0,182.7931134364397
21.0,874.0,21.0,177.00647013879708
22.0,630.0,22.0,171.54506043470113
23.0,741.0,23.0,166.38301613172828
24.0,655.0,24.0,161.4971009704396
25.0,587.0,25.0,156.8663871493242
26.0,789.0,26.0,152.4719781356566
27.0,754.0,27.0,148.296770246981
28.0,402.0,28.0,144.32524684666296
29.0,886.0,29.0,140.54330008606243
30.0,635.0,30.0,136.93807600343905
31.0,637.0,31.0,133.4978395003112
32.0,585.0,32.0,130.2118562941469
33.0,580.0,33.0,127.07028941879531
34.0,579.0,34.0,124.06410823194278
35.0,568.0,35.0,121.18500820859347
36.0,450.0,36.0,118.42534006415376
37.0,545.0,37.0,115.77804697049459
38.0,571.0,38.0,113.23660881162307
39.0,579.0,39.0,110.79499257893077
40.0,771.0,40.0,108.4476081347205
41.0,666.0,41.0,106.18926868114725
42.0,640.0,42.0,104.01515536333125
43.0,590.0,43.0,101.92078551305262
44.0,496.0,44.0,99.90198410544177
45.0,720.0,45.0,97.95485805734221
46.0,304.0,46.0,96.07577304411143
47.0,382.0,47.0,94.2613325528378
48.0,386.0,48.0,92.50835892535959
49.0,441.0,49.0,90.81387617496834
50.0,284.0,50.0,89.17509438700844
51.0,493.0,51.0,87.5893955363683
52.0,435.0,52.0,86.05432057461829
53.0,348.0,53.0,84.56755765672588
54.0,342.0,54.0,83.12693139223651
55.0,331.0,55.0,81.73039301886548
56.0,212.0,56.0,80.37601140786329
57.0,73.0,57.0,79.06196482052084
58.0,445.0,58.0,77.78653334396296
59.0,509.0,59.0,76.54809194210146
60.0,231.0,60.0,75.3451040644233
61.0,440.0,61.0,74.17611576129323
62.0,401.0,62.0,73.03975025975932
63.0,325.0,63.0,71.93470295854819
64.0,379.0,64.0,70.85973680510602
65.0,354.0,65.0,69.81367802124231
66.0,283.0,66.0,68.7954121472272
67.0,282.0,67.0,67.80388037712625
68.0,264.0,68.0,66.83807616077448
69.0,282.0,69.0,65.89704205012879
70.0,297.0,70.0,64.97986676983025
71.0,282.0,71.0,64.08568249368136
72.0,298.0,72.0,63.213662310423764
73.0,316.0,73.0,62.36301786371175
74.0,312.0,74.0,61.53299715253351
75.0,274.0,75.0,60.72288247955495
