t,q,t_model,q_model
2010-06-01,1049.0,2011-06-01,2938.874088414768
2010-07-01,8948.0,2011-07-01,2120.400560618139
2010-08-01,6759.0,2011-08-01,1737.3224856715701
2010-09-01,4773.0,2011-09-01,1504.5636776682693
2010-10-01,4329.0,2011-10-01,1344.292143041625
2010-11-01,3838.0,2011-11-01,1225.4194110130268
2010-12-01,3378.0,2011-12-01,1132.7838835090465
2011-01-01,465.0,2012-01-01,1057.9993840059888
2011-02-01,2539.0,2012-02-01,996.003683186253
2011-03-01,3507.0,2012-03-01,943.5374392645091
2011-04-01,2152.0,2012-04-01,898.3952549983546
2011-05-01,2096.0,2012-05-01,859.0247892479266
2011-06-01,3153.0,2012-06-01,824.2976688851602
2011-07-01,1581.0,2012-07-01,793.3714892103176
2011-08-01,1829.0,2012-08-01,765.6029921024486
2011-09-01,1120.0,2012-09-01,740.4914127548403
2011-10-01,899.0,2012-10-01,717.640345052975
2011-11-01,1099.0,2012-11-01,696.7313747693591
2011-12-01,1392.0,2012-12-01,677.5054180993436
2012-01-01,1294.0,2013-01-01,659.7492393852351
2012-02-01,1594.0,2013-02-01,643.2855314132795
2012-03-01,1461.0,2013-03-01,627.9654971098596
2012-04-01,964.0,2013-04-01,613.6632201221281
2012-05-01,936.0,2013-05-01,600.2713360653979
2012-06-01,476.0,2013-06-01,587.6976637301576
2012-07-01,1334.0,2013-07-01,575.862554504938
2012-08-01,881.0,2013-08-01,564.6967858767757
2012-09-01,450.0,2013-09-01,554.139871823371
2012-10-01,874.0,2013-10-01,544.138696016384
2012-11-01,630.0,2013-11-01,534.6463974241492
2012-12-01,741.0,2013-12-01,525.6214550427095
2013-01-01,655.0,2014-01-01,517.0269310453774
2013-02-01,587.0,2014-02-01,508.82984094846785
2013-03-01,789.0,2014-03-01,501.00062635847473
2013-04-01,754.0,2014-04-01,493.51271113219155
2013-05-01,402.0,2014-05-01,486.3421257973981
2013-06-01,886.0,2014-06-01,479.4671881703549
2013-07-01,635.0,2014-07-01,472.8682305004882
2013-08-01,637.0,2014-08-01,466.5273653423132
2013-09-01,585.0,2014-09-01,460.4282838249881
2013-10-01,580.0,2014-10-01,454.55608115389344
2013-11-01,579.0,2014-11-01,448.8971051058931
2013-12-01,568.0,2014-12-01,443.4388240230127
2014-01-01,450.0,2015-01-01,438.16971140810847
2014-02-01,545.0,2015-02-01,433.079144711283
2014-03-01,571.0,2015-03-01,428.157316290919
2014-04-01,579.0,2015-04-01,423.3951548565208
2014-05-01,771.0,2015-05-01,418.7842559663591
2014-06-01,666.0,2015-06-01,414.3168203723983
2014-07-01,640.0,2015-07-01,409.98559918699
2014-08-01,590.0,2015-08-01,405.7838449973498
2014-09-01,496.0,2015-09-01,401.7052681804909
2014-10-01,720.0,2015-10-01,397.7439977775391
2014-11-01,304.0,2015-11-01,393.89454637580764
2014-12-01,382.0,2015-12-01,390.1517785225861
2015-01-01,386.0,2016-01-01,386.5108822586399
2015-02-01,441.0,2016-02-01,382.96734341388463
2015-03-01,284.0,2016-03-01,379.51692235413526
2015-04-01,493.0,2016-04-01,376.1556329075619
2015-05-01,435.0,2016-05-01,372.8797232335523
2015-06-01,348.0,2016-06-01,369.6856584259915
2015-07-01,342.0,2016-07-01,366.5701046682367
2015-08-01,331.0,2016-08-01,363.52991477891874
2015-09-01,212.0,2016-09-01,360.56211500663136
2015-10-01,73.0,2016-10-01,357.6638929480217
2015-11-01,445.0,2016-11-01,354.832586478115
2015-12-01,509.0,2016-12-01,352.06567359420615
2016-01-01,231.0,2017-01-01,349.3607630855782
2016-02-01,440.0,2017-02-01,346.71558595088646
2016-03-01,401.0,2017-03-01,344.12798749345654
2016-04-01,325.0,2017-04-01,341.59592003214465
2016-05-01,379.0,2017-05-01,339.1174361719292
2016-06-01,354.0,2017-06-01,336.6906825841656
2016-07-01,283.0,2017-07-01,334.31389425152764
2016-08-01,282.0,2017-08-01,331.98538913718033
2016-09-01,264.0,2017-09-01,329.70356324173304
2016-10-01,282.0,2017-10-01,327.46688601509027
2016-11-01,297.0,2017-11-01,325.27389609349007
2016-12-01,282.0,2017-12-01,323.1231973348539
2017-01-01,298.0,2018-01-01,321.0134551280995
2017-02-01,316.0,2018-02-01,318.9433929543349
2017-03-01,312.0,2018-03-01,316.911789179876
2017-04-01,274.0,2018-04-01,314.9174740628533
2017-05-01,289.0,2018-05-01,312.95932695680546
2017-06-01,251.0,2018-06-01,311.0362736961301
2017-07-01,314.0,2018-07-01,309.14728414958415
2017-08-01,319.0,2018-08-01,307.29136992922537
2017-09-01,290.0,2018-09-01,305.46758224326067
2017-10-01,425.0,2018-10-01,303.6750098822467
2017-11-01,291.0,2018-11-01,301.912777328969
2017-12-01,329.0,2018-12-01,300.18004298312655
2018-01-01,318.0,2019-01-01,298.47599749267596
2018-02-01,18.0,2019-02-01,296.79986218434726
2018-03-01,352.0,2019-03-01,295.1508875864452
2018-04-01,291.0,2019-04-01,293.5283520375932
2018-05-01,177.0,2019-05-01,291.9315603755768
2018-06-01,0.0,2019-06-01,290.35984270089546
2018-07-01,378.0,2019-07-01,288.81255321004676
2018-08-01,859.0,2019-08-01,287.2890690939443
2018-09-01,337.0,2019-09-01,285.78878949721894
2018-10-01,161.0,2019-10-01,284.3111345344662
2018-11-01,258.0,2019-11-01,282.8555443597981
2018-12-01,229.0,2019-12-01,281.4214782863189
2019-01-01,267.0,2020-01-01,280.0084139523933
2019-02-01,261.0,2020-02-01,278.61584653179614
2019-03-01,0.0,2020-03-01,277.243287985044
2019-04-01,594.0,2020-04-01,275.89026634939313
2019-05-01,318.0,2020-05-01,274.55632506517065
2019-06-01,246.0,2020-06-01,273.24102233625956
2019-07-01,279.0,2020-07-01,271.94393052271363
2019-08-01,44.0,2020-08-01,270.6646355636116
2019-09-01,0.0,2020-09-01,269.4027364283887
2019-10-01,0.0,2020-10-01,268.15784459500026
2019-11-01,805.0,2020-11-01,266.9295835533819
2019-12-01,316.0,2020-12-01,265.7175883327702
2020-01-01,262.0,2021-01-01,264.52150505154043
2020-02-01,214.0,2021-02-01,263.34099048830694
2020-03-01,309.0,2021-03-01,262.1757116731088
2020-04-01,164.0,2021-04-01,261.02534549757945
2020-05-01,140.0,2021-05-01,259.889578343068
2020-06-01,186.0,2021-06-01,258.76810572574374
2020-07-01,456.0,2021-07-01,257.66063195777514
2020-08-01,309.0,2021-08-01,256.56686982373105
2020-09-01,301.0,2021-09-01,255.48654027140157
2020-10-01,262.0,2021-10-01,254.4193721162877
2020-11-01,232.0,2021-11-01,253.3651017590495
2020-12-01,242.0,2021-12-01,252.32347291524883
2021-01-01,264.0,2022-01-01,251.29423635675838
2021-02-01,152.0,2022-02-01,250.27714966424745
2021-03-01,288.0,2022-03-01,249.27197699018856
2021-04-01,325.0,2022-04-01,248.2784888318599
2021-05-01,170.0,2022-05-01,247.29646181385058
2021-06-01,422.0,2022-06-01,246.3256784796012
2021-07-01,194.0,2022-07-01,245.36592709154075
2021-08-01,329.0,2022-08-01,244.4170014394033
2021-09-01,230.0,2022-09-01,243.47870065633305
2021-10-01,271.0,2022-10-01,242.55082904240552
2021-11-01,198.0,2022-11-01,241.63319589521527
2021-12-01,307.0,2022-12-01,240.7256153471975
2022-01-01,234.0,2023-01-01,239.82790620937052
2022-02-01,108.0,2023-02-01,238.9398918212008
2022-03-01,121.0,2023-03-01,238.0613999063104
2022-04-01,348.0,2023-04-01,237.19226243375928
2022-05-01,270.0,2023-05-01,236.33231548465028
2022-06-01,209.0,2023-06-01,235.48139912381697
2022-07-01,124.0,2023-07-01,234.63935727636763
2022-08-01,16.0,2023-08-01,233.80603760886908
2022-09-01,138.0,2023-09-01,232.9812914149664
2022-10-01,373.0,2023-10-01,232.16497350524398
2022-11-01,440.0,2023-11-01,231.35694210114318
2022-12-01,114.0,2023-12-01,230.55705873276213
2023-01-01,280.0,2024-01-01,229.76518814036973
2023-02-01,176.0,2024-02-01,228.98119817947637
2023-03-01,206.0,2024-03-01,228.20495972931067
2023-04-01,269.0,2024-04-01,227.43634660455803
2023-05-01,199.0,2024-05-01,226.67523547022566
2023-06-01,119.0,2024-06-01,225.92150575950294
2023-07-01,182.0,2024-07-01,225.17503959449468
,,2024-08-01,224.4357217097083
,,2024-09-01,223.70343937818316
,,2024-10-01,222.97808234015469
,,2024-11-01,222.2595427341517
,,2024-12-01,221.5477150304288
,,2025-01-01,220.8424959666414
,,2025-02-01,220.14378448567462
,,2025-03-01,219.45148167554134
,,2025-04-01,218.76549071126854
,,2025-05-01,218.08571679869468
,,2025-06-01,217.41206712010444
,,2025-07-01,216.7444507816302
,,2025-08-01,216.08277876235297
,,2025-09-01,215.42696386503806
,,2025-10-01,214.77692066844395
,,2025-11-01,214.1325654811456
,,2025-12-01,213.49381629681548
,,2026-01-01,212.8605927509079
,,2026-02-01,212.23281607869598
,,2026-03-01,211.61040907461057
,,2026-04-01,210.9932960528342
,,2026-05-01,210.38140280910457
,,2026-06-01,209.77465658368368
,,2026-07-01,209.17298602545128
,,2026-08-01,208.57632115708216
,,2026-09-01,207.98459334126878
,,2026-10-01,207.39773524795285
