t,q,t_model,q_model
0.0,65.0,0.0,156.95718216679063
1.0,115.0,1.0,155.26757453402038
2.0,81.0,2.0,153.57758167786906
3.0,94.0,3.0,151.88719918048628
4.0,96.0,4.0,150.19642252256764
5.0,81.0,5.0,148.50524707983172
6.0,42.0,6.0,146.81366811933236
7.0,192.0,7.0,145.12168079559626
8.0,93.0,8.0,143.4292801465758
9.0,120.0,9.0,141.73646108940585
10.0,206.0,10.0,140.04321841595242
11.0,100.0,11.0,138.3495467881402
12.0,93.0,12.0,136.6554407330453
13.0,102.0,13.0,134.96089463773833
14.0,207.0,14.0,133.26590274386126
15.0,161.0,15.0,131.57045914192142
16.0,117.0,16.0,129.87455776528313
17.0,217.0,17.0,128.1781923838378
18.0,149.0,18.0,126.4813565973291
19.0,109.0,19.0,124.78404382831137
20.0,41.0,20.0,123.08624731471393
21.0,239.0,21.0,121.38796010198472
22.0,212.0,22.0,119.68917503478228
23.0,65.0,23.0,117.98988474818354
24.0,137.0,24.0,116.29008165837173
25.0,80.0,25.0,114.58975795276514
26.0,93.0,26.0,112.88890557954434
27.0,62.0,27.0,111.18751623653164
28.0,73.0,28.0,109.48558135937135
29.0,0.0,29.0,107.78309210895577
30.0,483.0,30.0,106.08003935803522
31.0,1119.0,31.0,104.37641367694545
32.0,291.0,32.0,102.67220531837805
33.0,68.0,33.0,100.96740420111286
34.0,58.0,34.0,99.261999892622
35.0,45.0,35.0,97.55598159044662
36.0,14.0,36.0,95.84933810223578
37.0,6.0,37.0,94.14205782432565
38.0,48.0,38.0,92.434128718723
39.0,31.0,39.0,90.72553828834198
40.0,64.0,40.0,89.01627355032515
41.0,82.0,41.0,87.30632100726045
42.0,173.0,42.0,85.59566661608231
43.0,43.0,43.0,83.88429575441982
44.0,0.0,44.0,82.17219318412451
45.0,16.0,45.0,80.4593430116764
46.0,0.0,46.0,78.74572864512751
47.0,0.0,47.0,77.03133274719593
48.0,0.0,48.0,75.31613718407114
49.0,0.0,49.0,73.60012296942944
50.0,104.0,50.0,71.88327020308648
51.0,433.0,51.0,70.16555800362956
52.0,71.0,52.0,68.44696443427362
53.0,70.0,53.0,66.72746642106756
54.0,42.0,54.0,65.00703966243974
55.0,29.0,55.0,63.28565852890575
56.0,17.0,56.0,61.56329595156584
57.0,30.0,57.0,59.8399232977815
58.0,39.0,58.0,58.11551023213653
59.0,38.0,59.0,56.39002456044104
60.0,41.0,60.0,54.66343205411448
61.0,42.0,61.0,52.935696251766366
62.0,18.0,62.0,51.20677823415322
63.0,25.0,63.0,49.4766363678959
64.0,13.0,64.0,47.74522601234756
65.0,10.0,65.0,46.012499182748805
66.0,16.0,66.0,44.278404161214816
67.0,0.0,67.0,42.54288504505815
68.0,7.0,68.0,40.80588121931276
69.0,12.0,69.0,39.06732673687773
70.0,113.0,70.0,37.3271495851501
71.0,56.0,71.0,35.58527081194133
72.0,21.0,72.0,33.84160347525693
73.0,26.0,73.0,32.096051370257825
74.0,22.0,74.0,30.34850747105107
75.0,17.0,75.0,28.598852002785595
76.0,19.0,76.0,26.846950027580114
77.0,30.0,77.0,25.092648380825885
78.0,37.0,78.0,23.33577172371299
79.0,12.0,79.0,21.57611736868611
80.0,7.0,80.0,19.81344836101542
81.0,48.0,81.0,18.047484014347027
82.0,0.0,82.0,16.27788661021175
83.0,0.0,83.0,14.504242097867886
84.0,0.0,84.0,12.726030977915974
85.0,0.0,85.0,10.942582207854054
86.0,0.0,86.0,9.152995601850582
87.0,0.0,87.0,7.356000104110884
88.0,0.0,88.0,5.549663732398905
89.0,0.0,89.0,3.7306877965937866
90.0,0.0,90.0,1.8920694475410804
91.0,0.0,91.0,2.2263935008871225e-05
,,92.0,
,,93.0,
,,94.0,
,,95.0,
,,96.0,
,,97.0,
,,98.0,
,,99.0,
,,100.0,
,,101.0,
,,102.0,
,,103.0,
,,104.0,
,,105.0,
,,106.0,
,,107.0,
,,108.0,
,,109.0,
,,110.0,
,,111.0,
,,112.0,
,,113.0,
,,114.0,
,,115.0,
,,116.0,
,,117.0,
,,118.0,
,,119.0,
,,120.0,
,,121.0,
,,122.0,
,,123.0,
,,124.0,
,,125.0,
,,126.0,
,,127.0,
,,128.0,
,,129.0,
,,130.0,
,,131.0,
