t,q,t_model,q_model
2008-08-01,9466.0,2011-11-01,311.3243600206966
2008-09-01,14709.0,2011-12-01,193.07876860610682
2008-10-01,4600.0,2012-01-01,164.81070717130686
2008-11-01,3070.0,2012-02-01,149.489740029454
2008-12-01,5084.0,2012-03-01,139.2826457196557
2009-01-01,3151.0,2012-04-01,131.76231216563903
2009-02-01,2591.0,2012-05-01,125.87736703343114
2009-03-01,1449.0,2012-06-01,121.08299585486478
2009-04-01,2382.0,2012-07-01,117.06280050927143
2009-05-01,1864.0,2012-08-01,113.61782928045062
2009-06-01,706.0,2012-09-01,110.61539774857452
2009-07-01,1088.0,2012-10-01,107.96290489338186
2009-08-01,1493.0,2012-11-01,105.59334474863394
2009-09-01,877.0,2012-12-01,103.45678085147235
2009-10-01,1291.0,2013-01-01,101.51507394158166
2009-11-01,894.0,2013-02-01,99.73848502973536
2009-12-01,285.0,2013-03-01,98.1034100365227
2010-01-01,978.0,2013-04-01,96.59082401631957
2010-02-01,916.0,2013-05-01,95.1851852604176
2010-03-01,529.0,2013-06-01,93.87364607673557
2010-04-01,556.0,2013-07-01,92.64547325245204
2010-05-01,677.0,2013-08-01,91.4916150769718
2010-06-01,569.0,2013-09-01,90.40437283225613
2010-07-01,496.0,2013-10-01,89.37714806478971
2010-08-01,381.0,2013-11-01,88.40424570574189
2010-09-01,632.0,2013-12-01,87.4807189421559
2010-10-01,8.0,2014-01-01,86.60224570929138
2010-11-01,72.0,2014-02-01,85.76502941854297
2010-12-01,356.0,2014-03-01,84.96571846414726
2011-01-01,231.0,2014-04-01,84.20134042743362
2011-02-01,672.0,2014-05-01,83.46924789162112
2011-03-01,750.0,2014-06-01,82.7670735077612
2011-04-01,490.0,2014-07-01,82.09269249103176
2011-05-01,459.0,2014-08-01,81.44419112956056
2011-06-01,408.0,2014-09-01,80.819840192454
2011-07-01,459.0,2014-10-01,80.21807235593634
2011-08-01,453.0,2014-11-01,79.63746294515693
2011-09-01,442.0,2014-12-01,79.07671342777785
2011-10-01,430.0,2015-01-01,78.53463720373871
2011-11-01,327.0,2015-02-01,78.01014732082741
2011-12-01,65.0,2015-03-01,77.50224581323307
2012-01-01,115.0,2015-04-01,77.01001441413125
