t,q,t_model,q_model
0.0,8569.0,0.0,8569.0
1.0,6516.0,1.0,6120.377661471342
2.0,6287.0,2.0,4781.072497304963
3.0,4464.0,3.0,3933.314665437769
4.0,2969.0,4.0,3347.0671271790848
5.0,1930.0,5.0,2916.788000095927
6.0,1760.0,6.0,2587.1431960702644
7.0,1615.0,7.0,2326.2813380322023
8.0,1379.0,8.0,2114.5517974722293
9.0,2221.0,9.0,1939.1632486527024
10.0,1683.0,10.0,1791.4254622266612
11.0,1551.0,11.0,1665.2244845259147
12.0,1720.0,12.0,1556.1318822384085
13.0,1597.0,13.0,1460.8601312439366
14.0,1777.0,14.0,1376.9166315853802
15.0,1475.0,15.0,1302.3766008733967
16.0,1026.0,16.0,1235.7297293353627
17.0,1369.0,17.0,1175.7740551724553
18.0,1997.0,18.0,1121.5409073543929
19.0,1471.0,19.0,1072.2407880859043
20.0,1506.0,20.0,1027.223675259353
21.0,1509.0,21.0,985.9494480761261
22.0,1749.0,22.0,947.9655436478353
23.0,1349.0,23.0,912.889860432127
24.0,231.0,24.0,880.3975235966307
25.0,941.0,25.0,850.2105303284237
26.0,1095.0,26.0,822.0895686985878
27.0,806.0,27.0,795.827495166495
28.0,987.0,28.0,771.2440907715148
29.0,836.0,29.0,748.1818124635562
30.0,1615.0,30.0,726.5023257382634
31.0,1736.0,31.0,706.0836557367252
32.0,618.0,32.0,686.8178316697599
33.0,984.0,33.0,668.608927577467
34.0,776.0,34.0,651.371423651292
35.0,569.0,35.0,635.0288284765644
36.0,637.0,36.0,619.512514918492
37.0,454.0,37.0,604.7607319265223
38.0,679.0,38.0,590.7177619647732
39.0,518.0,39.0,577.3331995999661
40.0,503.0,40.0,564.5613313711403
41.0,490.0,41.0,552.3606007099587
42.0,391.0,42.0,540.6931445894413
43.0,417.0,43.0,529.5243909138838
44.0,395.0,44.0,518.8227075467929
45.0,487.0,45.0,508.5590954016457
46.0,477.0,46.0,498.70691926544384
47.0,519.0,47.0,489.2416710444099
48.0,446.0,48.0,480.1407609593814
49.0,319.0,49.0,471.3833329105943
50.0,354.0,50.0,462.95010080538754
51.0,208.0,51.0,454.82320311995517
52.0,309.0,52.0,446.98607336523395
53.0,292.0,53.0,439.42332446150147
54.0,226.0,54.0,432.1206453076165
55.0,109.0,55.0,425.0647080683164
56.0,496.0,56.0,418.2430849040462
57.0,389.0,57.0,411.6441730385468
58.0,146.0,58.0,405.257127204874
59.0,239.0,59.0,399.07179863475386
60.0,378.0,60.0,393.07867986258657
61.0,295.0,61.0,387.2688547067941
62.0,294.0,62.0,381.63395286988845
63.0,192.0,63.0,376.1661086665424
64.0,0.0,64.0,370.85792344770243
,,65.0,365.7024313397298
,,66.0,360.6930679618421
,,67.0,355.8236418236955
,,68.0,351.08830813861596
,,69.0,346.4815448174341
,,70.0,341.9981304336835
,,71.0,337.6331239735819
,,72.0,333.3818462041482
,,73.0,329.2398625103745
,,74.0,325.2029670678831
,,75.0,321.2671682312127
,,76.0,317.4286750300298
,,77.0,313.68388467634173
,,78.0,310.02937099536786
,,79.0,306.46187370125415
,,80.0,302.97828844641725
,,81.0,299.5756575800895
,,82.0,296.25116155770485
,,83.0,293.0021109481928
,,84.0,289.82593899111936
,,85.0,286.72019465998227
,,86.0,283.6825361918944
,,87.0,280.71072504742665
,,88.0,277.8026202675621
,,89.0,274.95617319759117
,,90.0,272.16942255036696
,,91.0,269.4404897836905
,,92.0,266.7675747687163
,,93.0,264.1489517281959
,,94.0,261.5829654251203
,,95.0,259.0680275839098
,,96.0,256.60261352774125
,,97.0,254.18525901691277
,,98.0,251.81455727434223
,,99.0,249.489156185385
,,100.0,247.2077556601509
,,101.0,244.96910514740708
,,102.0,242.7720012899861
,,103.0,240.615285712377
,,104.0,238.4978429318733
