t,q,t_model,q_model
2017-01-01,6296.0,2017-12-01,12554.71115528858
2017-02-01,3.0,2018-01-01,8382.229618148918
2017-03-01,0.0,2018-02-01,6276.508685122894
2017-04-01,11516.0,2018-03-01,5009.214089953994
2017-05-01,5285.0,2018-04-01,4163.745301463438
2017-06-01,17251.0,2018-05-01,3560.0351051637535
2017-07-01,18475.0,2018-06-01,3107.6288622889665
2017-08-01,12304.0,2018-07-01,2756.139521351908
2017-09-01,8620.0,2018-08-01,2475.2887916440736
2017-10-01,7938.0,2018-09-01,2245.793020739975
2017-11-01,14149.0,2018-10-01,2054.7919205254384
2017-12-01,12374.0,2018-11-01,1893.38183228621
2018-01-01,8569.0,2018-12-01,1755.2040746327718
2018-02-01,6516.0,2019-01-01,1635.5970929996668
2018-03-01,6287.0,2019-02-01,1531.066195403313
2018-04-01,4464.0,2019-03-01,1438.9402951267086
2018-05-01,2969.0,2019-04-01,1357.1430192358673
2018-06-01,1930.0,2019-05-01,1284.0360849849185
2018-07-01,1760.0,2019-06-01,1218.3096661375253
2018-08-01,1615.0,2019-07-01,1158.9040921378617
2018-09-01,1379.0,2019-08-01,1104.9529125139954
2018-10-01,2221.0,2019-09-01,1055.7408240912794
2018-11-01,1683.0,2019-10-01,1010.6721253132118
2018-12-01,1551.0,2019-11-01,969.2467491284265
2019-01-01,1720.0,2019-12-01,931.0418331057431
2019-02-01,1597.0,2020-01-01,895.69739033484
2019-03-01,1777.0,2020-02-01,862.9050551706821
2019-04-01,1475.0,2020-03-01,832.3991609922019
2019-05-01,1026.0,2020-04-01,803.9496053208361
2019-06-01,1369.0,2020-05-01,777.356098276649
2019-07-01,1997.0,2020-06-01,752.4434914196702
2019-08-01,1471.0,2020-07-01,729.0579575204066
2019-09-01,1506.0,2020-08-01,707.0638458368821
2019-10-01,1509.0,2020-09-01,686.3410776078201
2019-11-01,1749.0,2020-10-01,666.7829765650946
2019-12-01,1349.0,2020-11-01,648.294452037378
2020-01-01,231.0,2020-12-01,630.7904695893114
2020-02-01,941.0,2021-01-01,614.1947575008144
