t,q,t_model,q_model
0.0,8597.0,0.0,8597.0
1.0,7713.0,1.0,5760.552851947018
2.0,6768.0,2.0,4355.693957463991
3.0,3385.0,3.0,3513.0934257456515
4.0,708.0,4.0,2949.91365024113
5.0,2240.0,5.0,2546.1713505562857
6.0,1247.0,6.0,2242.143825574534
7.0,1309.0,7.0,2004.7072537280187
8.0,1222.0,8.0,1813.990026605037
9.0,960.0,9.0,1657.3370061102578
10.0,1469.0,10.0,1526.300524872328
11.0,1740.0,11.0,1415.0227196015749
12.0,2073.0,12.0,1319.311786196083
13.0,1462.0,13.0,1236.0877765721148
14.0,2082.0,14.0,1163.0361018823178
15.0,1520.0,15.0,1098.3831836152915
16.0,414.0,16.0,1040.7467585535078
17.0,2338.0,17.0,989.0333514840211
18.0,2232.0,18.0,942.3664249077506
19.0,1922.0,19.0,900.0349952191999
20.0,1158.0,20.0,861.4562152551418
21.0,1170.0,21.0,826.1476817603152
22.0,1102.0,22.0,793.7066383035618
23.0,837.0,23.0,763.7941481861733
24.0,401.0,24.0,736.1229032538157
25.0,589.0,25.0,710.4477289968786
26.0,659.0,26.0,686.5581141761193
27.0,640.0,27.0,664.2722780665694
28.0,247.0,28.0,643.4324179094581
29.0,695.0,29.0,623.9008711355581
30.0,616.0,30.0,605.5569930837052
31.0,530.0,31.0,588.294599095492
32.0,652.0,32.0,572.019855307433
33.0,461.0,33.0,556.6495288120709
34.0,654.0,34.0,542.1095276396547
35.0,1006.0,35.0,528.3336759941868
36.0,1010.0,36.0,515.2626816216801
37.0,472.0,37.0,502.8432609995224
38.0,341.0,38.0,491.0273948705768
39.0,669.0,39.0,479.7716919848974
40.0,560.0,40.0,469.03684311082986
41.0,644.0,41.0,458.78715070031654
42.0,562.0,42.0,448.9901222389137
43.0,562.0,43.0,439.6161174294652
44.0,427.0,44.0,430.63804106384754
45.0,340.0,45.0,422.0310748172997
46.0,308.0,46.0,413.77244232216253
47.0,27.0,47.0,405.84120279481715
48.0,0.0,48.0,398.2180692421717
49.0,847.0,49.0,390.88524789432694
50.0,424.0,50.0,383.8262960234099
51.0,345.0,51.0,377.02599573510815
52.0,350.0,52.0,370.4702416751848
53.0,288.0,53.0,364.1459408910306
54.0,310.0,54.0,358.04092333843937
55.0,52.0,55.0,352.143861734591
56.0,1290.0,56.0,346.4441996364618
57.0,279.0,57.0,340.9320867750493
58.0,462.0,58.0,335.59832080438616
59.0,347.0,59.0,330.4342947340271
60.0,263.0,60.0,325.43194940753943
61.0,236.0,61.0,320.58373047003846
62.0,252.0,62.0,315.8825493370408
63.0,450.0,63.0,311.3217477366085
64.0,124.0,64.0,306.8950654483451
65.0,183.0,65.0,302.59661090750365
66.0,109.0,66.0,298.42083438127173
67.0,47.0,67.0,294.3625034580714
68.0,0.0,68.0,290.4166806201576
69.0,4.0,69.0,286.5787026955379
70.0,210.0,70.0,282.84416200776536
71.0,101.0,71.0,279.2088890619271
72.0,38.0,72.0,275.6689366225289
73.0,97.0,73.0,272.22056505427565
74.0,70.0,74.0,268.86022881024724
75.0,57.0,75.0,265.5845639638989
76.0,110.0,76.0,262.3903766918738
77.0,83.0,77.0,259.2746326239789
78.0,88.0,78.0,256.23444698498844
79.0,186.0,79.0,253.26707546033722
80.0,119.0,80.0,250.36990572435238
81.0,173.0,81.0,247.54044957554962
