t,q,t_model,q_model
2010-09-01,2506.0,2011-05-01,14284.501094689345
2010-10-01,8845.0,2011-06-01,8655.93464254279
2010-11-01,7573.0,2011-07-01,6189.315444024999
2010-12-01,5530.0,2011-08-01,4808.071350881639
2011-01-01,7454.0,2011-09-01,3926.319431449407
2011-02-01,6927.0,2011-10-01,3315.2026896424086
2011-03-01,5758.0,2011-11-01,2867.0106734727037
2011-04-01,15159.0,2011-12-01,2524.430345212373
2011-05-01,14068.0,2012-01-01,2254.1754902479856
2011-06-01,8597.0,2012-02-01,2035.5991945738256
2011-07-01,7713.0,2012-03-01,1855.2193054033667
2011-08-01,6768.0,2012-04-01,1703.8611763488238
2011-09-01,3385.0,2012-05-01,1575.0660675968243
2011-10-01,708.0,2012-06-01,1464.1563146780632
2011-11-01,2240.0,2012-07-01,1367.6615427992904
2011-12-01,1247.0,2012-08-01,1282.9531450299794
2012-01-01,1309.0,2012-09-01,1208.0038985183996
2012-02-01,1222.0,2012-10-01,1141.2254552042955
2012-03-01,960.0,2012-11-01,1081.3557943018009
2012-04-01,1469.0,2012-12-01,1027.379597500179
2012-05-01,1740.0,2013-01-01,978.470838416027
2012-06-01,2073.0,2013-02-01,933.9506804327102
2012-07-01,1462.0,2013-03-01,893.2561254890861
2012-08-01,2082.0,2013-04-01,855.916343220774
2012-09-01,1520.0,2013-05-01,821.5345725086379
2012-10-01,414.0,2013-06-01,789.7741235089319
2012-11-01,2338.0,2013-07-01,760.3474362711448
2012-12-01,2232.0,2013-08-01,733.0074450006348
2013-01-01,1922.0,2013-09-01,707.5407006453414
2013-02-01,1158.0,2013-10-01,683.761848046478
2013-03-01,1170.0,2013-11-01,661.5091564477932
2013-04-01,1102.0,2013-12-01,640.640876317825
2013-05-01,837.0,2014-01-01,621.0322496772578
2013-06-01,401.0,2014-02-01,602.5730412118767
2013-07-01,589.0,2014-03-01,585.1654873755942
2013-08-01,659.0,2014-04-01,568.7225832320202
2013-09-01,640.0,2014-05-01,553.1666439149776
2013-10-01,247.0,2014-06-01,538.428090714014
2013-11-01,695.0,2014-07-01,524.444421924674
2013-12-01,616.0,2014-08-01,511.1593364839618
2014-01-01,530.0,2014-09-01,498.5219845820776
2014-02-01,652.0,2014-10-01,486.4863243046127
2014-03-01,461.0,2014-11-01,475.01056721566005
2014-04-01,654.0,2014-12-01,464.05669886806237
2014-05-01,1006.0,2015-01-01,453.5900626939162
2014-06-01,1010.0,2015-02-01,443.5789977174778
2014-07-01,472.0,2015-03-01,433.99452214443977
2014-08-01,341.0,2015-04-01,424.8100561939881
2014-09-01,669.0,2015-05-01,416.00117861362975
2014-10-01,560.0,2015-06-01,407.5454121988316
2014-11-01,644.0,2015-07-01,399.4220343672538
2014-12-01,562.0,2015-08-01,391.6119094402071
2015-01-01,562.0,2015-09-01,384.09733978528317
2015-02-01,427.0,2015-10-01,376.86193339253373
2015-03-01,340.0,2015-11-01,369.89048580707595
2015-04-01,308.0,2015-12-01,363.1688746355909
2015-05-01,27.0,2016-01-01,356.68396509260816
2015-06-01,0.0,2016-02-01,350.42352526262147
2015-07-01,847.0,2016-03-01,344.3761499324072
2015-08-01,424.0,2016-04-01,338.531191999671
2015-09-01,345.0,2016-05-01,332.87870059367253
2015-10-01,350.0,2016-06-01,327.40936515431366
2015-11-01,288.0,2016-07-01,322.1144648112891
2015-12-01,310.0,2016-08-01,316.9858224867105
2016-01-01,52.0,2016-09-01,312.01576321517865
2016-02-01,1290.0,2016-10-01,307.1970762362672
2016-03-01,279.0,2016-11-01,302.5229804672352
2016-04-01,462.0,2016-12-01,297.9870930096756
2016-05-01,347.0,2017-01-01,293.583400383751
2016-06-01,263.0,2017-02-01,289.30623221850067
2016-07-01,236.0,2017-03-01,285.15023715714443
2016-08-01,252.0,2017-04-01,281.11036076296875
2016-09-01,450.0,2017-05-01,277.1818252347612
2016-10-01,124.0,2017-06-01,273.3601107613249
2016-11-01,183.0,2017-07-01,269.64093836269734
2016-12-01,109.0,2017-08-01,266.02025408167515
2017-01-01,47.0,2017-09-01,262.4942144033502
2017-02-01,0.0,2017-10-01,259.05917279285865
2017-03-01,4.0,2017-11-01,255.71166725261313
2017-04-01,210.0,2017-12-01,252.4484088101256
2017-05-01,101.0,2018-01-01,249.26627085627132
2017-06-01,38.0,2018-02-01,246.16227926163452
2017-07-01,97.0,2018-03-01,243.13360320552653
2017-08-01,70.0,2018-04-01,240.17754665847056
2017-09-01,57.0,2018-05-01,237.2915404645038
2017-10-01,110.0,2018-06-01,234.47313497461732
2017-11-01,83.0,2018-07-01,231.71999318711818
2017-12-01,88.0,2018-08-01,229.02988435470206
2018-01-01,186.0,2018-09-01,226.40067802162994
2018-02-01,119.0,2018-10-01,223.8303384576438
2018-03-01,173.0,2018-11-01,221.31691945818199
2018-04-01,149.0,2018-12-01,218.85855948309342
2018-05-01,1204.0,2019-01-01,216.45347710843336
2018-06-01,410.0,2019-02-01,214.0999667680826
2018-07-01,1647.0,2019-03-01,211.7963947638818
2018-08-01,1193.0,2019-04-01,209.54119552474725
2018-09-01,2681.0,2019-05-01,207.33286809683764
2018-10-01,291.0,2019-06-01,205.16997284830387
2018-11-01,0.0,2019-07-01,203.0511283734796
2018-12-01,1668.0,2019-08-01,200.97500858257956
2019-01-01,914.0,2019-09-01,198.94033996407347
2019-02-01,242.0,2019-10-01,196.9458990079068
2019-03-01,257.0,2019-11-01,194.99050977865716
2019-04-01,409.0,2019-12-01,193.07304162855158
2019-05-01,127.0,2020-01-01,191.19240704103717
2019-06-01,0.0,2020-02-01,189.34755959629712
2019-07-01,2.0,2020-03-01,187.5374920507467
2019-08-01,5.0,2020-04-01,185.761234523134
2019-09-01,66.0,2020-05-01,184.01785278040833
2019-10-01,229.0,2020-06-01,182.30644661701692
2019-11-01,405.0,2020-07-01,180.62614832174623
2019-12-01,89.0,2020-08-01,178.97612122664316
2020-01-01,248.0,2020-09-01,177.3555583329387
2020-02-01,175.0,2020-10-01,175.7636810092512
2020-03-01,220.0,2020-11-01,174.19973775767502
2020-04-01,144.0,2020-12-01,172.6630030436625
2020-05-01,234.0,2021-01-01,171.1527761858871
2020-06-01,259.0,2021-02-01,169.66838030253277
2020-07-01,70.0,2021-03-01,168.20916131069458
2020-08-01,418.0,2021-04-01,166.7744869757941
2020-09-01,410.0,2021-05-01,165.3637460081202
2020-10-01,93.0,2021-06-01,163.9763472037927
2020-11-01,49.0,2021-07-01,162.61171862762365
2020-12-01,217.0,2021-08-01,161.26930683551242
2021-01-01,12.0,2021-09-01,159.94857613416247
2021-02-01,0.0,2021-10-01,158.64900787604807
2021-03-01,5.0,2021-11-01,157.3700997876896
2021-04-01,48.0,2021-12-01,156.11136532941643
2021-05-01,0.0,2022-01-01,154.87233308491022
2021-06-01,71.0,2022-02-01,153.6525461789262
2021-07-01,35.0,2022-03-01,152.45156172168697
2021-08-01,60.0,2022-04-01,151.26895027853564
2021-09-01,44.0,2022-05-01,150.1042953635193
2021-10-01,0.0,2022-06-01,148.9571929556531
2021-11-01,367.0,2022-07-01,147.8272510366897
2021-12-01,0.0,2022-08-01,146.71408914928736
2022-01-01,288.0,2022-09-01,145.61733797453516
2022-02-01,71.0,2022-10-01,144.53663892785292
2022-03-01,198.0,2022-11-01,143.47164377234188
2022-04-01,185.0,2022-12-01,142.42201424871283
2022-05-01,58.0,2023-01-01,141.38742172096946
2022-06-01,93.0,2023-02-01,140.36754683707028
2022-07-01,83.0,2023-03-01,139.36207920383566
2022-08-01,20.0,2023-04-01,138.37071707540827
2022-09-01,103.0,2023-05-01,137.393167054612
2022-10-01,209.0,2023-06-01,136.42914380659158
2022-11-01,270.0,2023-07-01,135.4783697841475
2022-12-01,245.0,2023-08-01,134.54057496421376
2023-01-01,102.0,2023-09-01,133.61549659495446
2023-02-01,48.0,2023-10-01,132.70287895298384
