t,q,t_model,q_model
0.0,257.0,0.0,257.0
1.0,382.0,1.0,248.229759496614
2.0,317.0,2.0,240.9852302285396
3.0,397.0,3.0,234.8412031190587
4.0,309.0,4.0,229.52555679414462
5.0,324.0,5.0,224.85419582416853
6.0,244.0,6.0,220.69709320474126
7.0,155.0,7.0,216.95919322619363
8.0,249.0,8.0,213.56902028831766
9.0,282.0,9.0,210.47155216974156
10.0,313.0,10.0,207.62358165522497
11.0,277.0,11.0,204.9905955725447
12.0,324.0,12.0,202.54461429196843
13.0,178.0,13.0,200.26265890488986
14.0,280.0,14.0,198.12564013205068
15.0,173.0,15.0,196.11753755164273
16.0,280.0,16.0,194.22478301884502
17.0,451.0,17.0,192.43579046911216
18.0,392.0,18.0,190.74059247462023
19.0,251.0,19.0,189.13055586271997
20.0,142.0,20.0,187.5981567123316
21.0,172.0,21.0,186.13680051604746
22.0,346.0,22.0,184.7406770994888
23.0,382.0,23.0,183.40464257528384
24.0,186.0,24.0,182.12412253281235
25.0,173.0,25.0,180.89503206107412
26.0,190.0,26.0,179.71370922776111
27.0,131.0,27.0,178.57685939969508
28.0,331.0,28.0,177.4815083619505
29.0,220.0,29.0,176.42496262675942
30.0,230.0,30.0,175.4047756551646
31.0,199.0,31.0,174.41871897046363
32.0,167.0,32.0,173.46475734166566
33.0,179.0,33.0,172.54102737127235
34.0,203.0,34.0,171.64581894488614
35.0,123.0,35.0,170.77755909802804
36.0,189.0,36.0,169.93479793380283
37.0,121.0,37.0,169.1161962879957
38.0,301.0,38.0,168.32051488909775
39.0,277.0,39.0,167.54660480216444
40.0,225.0,40.0,166.7933989792568
41.0,247.0,41.0,166.0599047670139
42.0,226.0,42.0,165.34519724484565
43.0,194.0,43.0,164.6484132862488
44.0,220.0,44.0,163.9687462515734
45.0,200.0,45.0,163.30544123379374
46.0,176.0,46.0,162.65779078993168
47.0,225.0,47.0,162.02513110012296
48.0,197.0,48.0,161.4068385042122
49.0,128.0,49.0,160.8023263724543
50.0,255.0,50.0,160.21104227259517
51.0,189.0,51.0,159.63246540046302
52.0,202.0,52.0,159.06610424535998
53.0,195.0,53.0,158.51149446511357
54.0,212.0,54.0,157.9681969487209
55.0,181.0,55.0,157.43579604716987
56.0,189.0,56.0,156.91389795531754
57.0,184.0,57.0,156.40212922969647
58.0,184.0,58.0,155.90013542885217
59.0,211.0,59.0,155.4075798643229
60.0,191.0,60.0,154.92414245169348
61.0,212.0,61.0,154.44951865230786
62.0,202.0,62.0,153.98341849723948
63.0,180.0,63.0,153.5255656860088
64.0,189.0,64.0,153.07569675332155
65.0,146.0,65.0,152.63356029779558
66.0,197.0,66.0,152.19891626725507
67.0,172.0,67.0,151.77153529571495
68.0,215.0,68.0,151.35119808765896
69.0,212.0,69.0,150.93769484564422
70.0,89.0,70.0,150.53082473764573
71.0,234.0,71.0,150.13039540089457
72.0,234.0,72.0,149.73622247926775
73.0,73.0,73.0,149.3481291915593
74.0,199.0,74.0,148.96594592820608
75.0,276.0,75.0,148.58950987426016
76.0,245.0,76.0,148.2186646565965
77.0,169.0,77.0,147.85326001352115
78.0,273.0,78.0,147.4931514851047
79.0,212.0,79.0,147.13820012270943
80.0,211.0,80.0,146.78827221630834
81.0,152.0,81.0,146.44323903831253
82.0,292.0,82.0,146.10297660272784
83.0,211.0,83.0,145.76736543856106
84.0,273.0,84.0,145.4362903764805
85.0,309.0,85.0,145.10964034781796
86.0,167.0,86.0,144.7873081950692
87.0,243.0,87.0,144.46919049311822
88.0,209.0,88.0,144.15518738046913
89.0,187.0,89.0,143.8452023998243
90.0,185.0,90.0,143.53914234739943
91.0,294.0,91.0,143.2369171304095
92.0,165.0,92.0,142.93843963220317
93.0,174.0,93.0,142.64362558456168
94.0,176.0,94.0,142.35239344671228
95.0,197.0,95.0,142.06466429064014
96.0,178.0,96.0,141.78036169231123
97.0,210.0,97.0,141.49941162844698
98.0,188.0,98.0,141.22174237851564
99.0,167.0,99.0,140.94728443162953
100.0,188.0,100.0,140.67597039805779
101.0,175.0,101.0,140.4077349250848
102.0,171.0,102.0,140.14251461696196
103.0,74.0,103.0,139.88024795871746
104.0,124.0,104.0,139.62087524360484
105.0,158.0,105.0,139.3643385039847
106.0,187.0,106.0,139.11058144544765
107.0,178.0,107.0,138.85954938399894
108.0,186.0,108.0,138.61118918613678
109.0,153.0,109.0,138.36544921166646
110.0,165.0,110.0,138.12227925910307
111.0,183.0,111.0,137.8816305135239
112.0,178.0,112.0,137.64345549674098
113.0,190.0,113.0,137.40770801967153
114.0,193.0,114.0,137.17434313679163
,,115.0,136.94331710256566
,,116.0,136.71458732974978
,,117.0,136.4881123494746
,,118.0,136.26385177301682
,,119.0,136.04176625517573
,,120.0,135.82181745917435
,,121.0,135.60396802301096
,,122.0,135.38818152718918
,,123.0,135.17442246376046
,,124.0,134.9626562066157
,,125.0,134.75284898296613
,,126.0,134.54496784595742
,,127.0,134.33898064836356
,,128.0,134.1348560173101
,,129.0,133.93256332997953
,,130.0,133.7320726902527
,,131.0,133.5333549062447
,,132.0,133.336381468694
,,133.0,133.14112453016645
,,134.0,132.94755688503818
,,135.0,132.75565195022267
,,136.0,132.56538374660886
,,137.0,132.37672688118013
,,138.0,132.1896565297836
,,139.0,132.00414842052245
,,140.0,131.82017881774433
,,141.0,131.6377245066003
,,142.0,131.45676277815082
,,143.0,131.27727141499514
,,144.0,131.099228677403
,,145.0,130.9226132899271
,,146.0,130.7474044284774
,,147.0,130.57358170783755
,,148.0,130.40112516960647
,,149.0,130.23001527054691
,,150.0,130.06023287132567
,,151.0,129.89175922562907
,,152.0,129.72457596963966
,,153.0,129.55866511185906
,,154.0,129.39400902326432
