t,q,t_model,q_model
2012-07-01,1051.0,2012-09-01,978.9979267310755
2012-08-01,827.0,2012-10-01,695.3946578581028
2012-09-01,998.0,2012-11-01,592.2834463247502
2012-10-01,567.0,2012-12-01,532.730212216381
2012-11-01,668.0,2013-01-01,492.1451052515773
2012-12-01,505.0,2013-02-01,461.9503365897478
2013-01-01,496.0,2013-03-01,438.2213986245477
2013-02-01,412.0,2013-04-01,418.86047524754935
2013-03-01,415.0,2013-05-01,402.62521265077663
2013-04-01,442.0,2013-06-01,388.7241312630363
2013-05-01,521.0,2013-07-01,376.62455741579856
2013-06-01,545.0,2013-08-01,365.95231867189443
2013-07-01,457.0,2013-09-01,356.4353919060684
2013-08-01,404.0,2013-10-01,347.8703572839208
2013-09-01,388.0,2013-11-01,340.101465266033
2013-10-01,386.0,2013-12-01,333.00705309005974
2013-11-01,257.0,2014-01-01,326.4904343012098
2013-12-01,382.0,2014-02-01,320.4736130545841
2014-01-01,317.0,2014-03-01,314.89283977833617
2014-02-01,397.0,2014-04-01,309.69540069402433
2014-03-01,309.0,2014-05-01,304.83725435649615
2014-04-01,324.0,2014-06-01,300.2812622312989
2014-05-01,244.0,2014-07-01,295.99584390691547
2014-06-01,155.0,2014-08-01,291.9539410846073
2014-07-01,249.0,2014-09-01,288.13220959089955
2014-08-01,282.0,2014-10-01,284.51038215081695
2014-09-01,313.0,2014-11-01,281.0707606808202
2014-10-01,277.0,2014-12-01,277.7978079735309
2014-11-01,324.0,2015-01-01,274.6778164762129
2014-12-01,178.0,2015-02-01,271.69863746103283
2015-01-01,280.0,2015-03-01,268.8494579376479
2015-02-01,173.0,2015-04-01,266.1206156293157
2015-03-01,280.0,2015-05-01,263.50344453599655
2015-04-01,451.0,2015-06-01,260.990145257762
2015-05-01,392.0,2015-07-01,258.5736754999246
2015-06-01,251.0,2015-08-01,256.2476571341556
2015-07-01,142.0,2015-09-01,254.00629692352229
2015-08-01,172.0,2015-10-01,251.8443185888351
2015-09-01,346.0,2015-11-01,249.75690433903225
2015-10-01,382.0,2015-12-01,247.73964433908114
2015-11-01,186.0,2016-01-01,245.78849286699003
2015-12-01,173.0,2016-02-01,243.89973013343882
2016-01-01,190.0,2016-03-01,242.06992891567654
2016-02-01,131.0,2016-04-01,240.29592530114644
2016-03-01,331.0,2016-05-01,238.5747929530256
2016-04-01,220.0,2016-06-01,236.90382040509905
2016-05-01,230.0,2016-07-01,235.28049097146112
2016-06-01,199.0,2016-08-01,233.70246492084178
2016-07-01,167.0,2016-09-01,232.16756361855778
2016-08-01,179.0,2016-10-01,230.6737553832896
2016-09-01,203.0,2016-11-01,229.21914284275582
2016-10-01,123.0,2016-12-01,227.80195160323711
2016-11-01,189.0,2017-01-01,226.42052007385732
2016-12-01,121.0,2017-02-01,225.07329030842354
2017-01-01,301.0,2017-03-01,223.75879974615992
