t,q,t_model,q_model
0.0,7725.0,0.0,7725.0
1.0,5908.0,1.0,5249.231233549923
2.0,5503.0,2.0,4011.0132567058413
3.0,3593.0,3.0,3262.317563717781
4.0,3549.0,4.0,2758.4726742374523
5.0,658.0,5.0,2395.138236293673
6.0,1013.0,6.0,2120.126233138338
7.0,1052.0,7.0,1904.3642775974715
8.0,1147.0,8.0,1730.3413236881463
9.0,1246.0,9.0,1586.8645929569311
10.0,1719.0,10.0,1466.43732586586
11.0,1698.0,11.0,1363.8447791124067
12.0,1420.0,12.0,1275.3444928264657
13.0,925.0,13.0,1198.1791958867425
14.0,917.0,14.0,1130.2715025563655
15.0,1324.0,15.0,1070.0257670203885
16.0,1858.0,16.0,1016.1955757161767
17.0,1354.0,17.0,967.7927984787871
18.0,772.0,18.0,924.0237231302075
19.0,1115.0,19.0,884.2432937715314
20.0,670.0,20.0,847.9217257800207
21.0,2043.0,21.0,814.6197539903311
22.0,724.0,22.0,783.9700125690255
23.0,956.0,23.0,755.6628415636534
24.0,1097.0,24.0,729.4353369365367
25.0,635.0,25.0,705.0628094989061
26.0,666.0,26.0,682.3520552091157
27.0,456.0,27.0,661.1360031234753
28.0,701.0,28.0,641.2694222066772
29.0,809.0,29.0,622.6254499348923
30.0,1196.0,30.0,605.0927644878656
31.0,849.0,31.0,588.5732652247563
32.0,1169.0,32.0,572.9801577463099
33.0,451.0,33.0,558.2363633738695
34.0,515.0,34.0,544.2731905572779
35.0,611.0,35.0,531.0292191309985
36.0,634.0,36.0,518.4493585898192
37.0,488.0,37.0,506.4840494570209
38.0,516.0,38.0,495.08858295333204
39.0,501.0,39.0,484.22251897270155
40.0,526.0,40.0,473.84918614760204
,,41.0,463.9352507782967
,,42.0,454.450343784616
,,43.0,445.3667367494987
,,44.0,436.6590596631484
,,45.0,428.3040542236132
,,46.0,420.28035756448935
,,47.0,412.5683121103405
,,48.0,405.14979794207716
,,49.0,398.00808461682743
,,50.0,391.12769985255613
,,51.0,384.4943128749507
,,52.0,378.09463054732225
,,53.0,371.91630467503205
,,54.0,365.9478491035479
,,55.0,360.17856542118915
,,56.0,354.59847624002765
,,57.0,349.19826516625284
,,58.0,343.9692226886455
,,59.0,338.903197313971
,,60.0,333.99255136385585
,,61.0,329.2301209213131
,,62.0,324.6091794784249
,,63.0,320.12340489133516
,,64.0,315.76684929596524
,,65.0,311.5339116788308
,,66.0,307.4193128329259
,,67.0,303.41807245963344
,,68.0,299.5254882046573
,,69.0,295.73711643961485
,,70.0,292.0487546216417
,,71.0,288.45642508154316
,,72.0,284.95636010701645
,,73.0,281.54498820155686
,,74.0,278.21892141209764
,,75.0,274.97494362942757
,,76.0,271.809999775168
,,77.0,268.7211857977302
,,78.0,265.7057394073504
,,79.0,262.76103148712923
,,80.0,259.88455812308996
