t,q,t_model,q_model
0.0,11869.0,0.0,11869.0
1.0,8247.0,1.0,6753.582195270482
2.0,6526.0,2.0,5390.098036397911
3.0,321.0,3.0,4669.740859870035
4.0,4151.0,4.0,4202.443688826556
5.0,3577.0,5.0,3866.160560842233
6.0,2727.0,6.0,3608.3665982964085
7.0,3421.0,7.0,3402.1224444201944
8.0,5928.0,8.0,3231.9566542086022
9.0,3772.0,9.0,3088.2478536401904
10.0,3013.0,10.0,2964.647441700006
11.0,3184.0,11.0,2856.769452690223
12.0,706.0,12.0,2761.470591919478
13.0,6635.0,13.0,2676.429540325459
14.0,1574.0,14.0,2599.8885994992515
15.0,1657.0,15.0,2530.4883691304085
,,16.0,2467.1582281407264
,,17.0,2409.04160524505
,,18.0,2355.4436673386085
,,19.0,2305.79387386851
,,20.0,2259.618640039494
,,21.0,2216.5210282105745
,,22.0,2176.1654231012676
,,23.0,2138.265804179704
,,24.0,2102.576656128595
,,25.0,2068.8858421572745
,,26.0,2037.00895708893
,,27.0,2006.7848095323636
,,28.0,1978.0717751165932
,,29.0,1950.7448285960288
,,30.0,1924.6931100332135
,,31.0,1899.8179148233064
,,32.0,1876.0310228116912
,,33.0,1853.2533007566076
,,34.0,1831.4135266957276
,,35.0,1810.4473956494858
,,36.0,1790.296674431083
,,37.0,1770.908479777738
,,38.0,1752.2346590381128
,,39.0,1734.2312565900302
,,40.0,1716.8580522747525
,,41.0,1700.078160608738
,,42.0,1683.8576815135914
,,43.0,1668.165394898063
,,44.0,1652.972492714988
,,45.0,1638.252343164533
,,46.0,1623.9802825721445
,,47.0,1610.1334311735159
,,48.0,1596.6905296196028
,,49.0,1583.6317934959404
,,50.0,1570.938783550879
,,51.0,1558.5942896617996
,,52.0,1546.5822268488016
,,53.0,1534.8875418813411
,,54.0,1523.4961292225853
,,55.0,1512.3947552251086
