t,q,t_model,q_model
0.0,9803.0,0.0,9803.0
1.0,6120.0,1.0,4216.255627147061
2.0,3587.0,2.0,3807.673650200513
3.0,3310.0,3.0,3587.06105571965
4.0,3047.0,4.0,3438.2721925651426
5.0,2469.0,5.0,3327.102596620547
6.0,2509.0,6.0,3238.9322252423185
7.0,2241.0,7.0,3166.2039857654054
8.0,1928.0,8.0,3104.5211202948017
9.0,1384.0,9.0,3051.108458714467
10.0,1564.0,10.0,3004.106457186362
11.0,1377.0,11.0,2962.210661512319
12.0,1019.0,12.0,2924.4721714823977
13.0,1418.0,13.0,2890.1800618349057
14.0,1398.0,14.0,2858.7885142741015
15.0,687.0,15.0,2829.869746120884
16.0,1066.0,16.0,2803.0825278034117
17.0,1477.0,17.0,2778.1504948194765
18.0,2733.0,18.0,2754.8468216806605
19.0,11606.0,19.0,2732.983148788455
20.0,9073.0,20.0,2712.4014246416464
21.0,5167.0,21.0,2692.9677911715535
22.0,6587.0,22.0,2674.567929357567
23.0,6111.0,23.0,2657.103467045361
24.0,5037.0,24.0,2640.489171718052
25.0,5514.0,25.0,2624.650731690991
26.0,3473.0,26.0,2609.5229841773894
27.0,3936.0,27.0,2595.0484867764794
28.0,2805.0,28.0,2581.1763557712784
29.0,1879.0,29.0,2567.8613138003757
30.0,1596.0,30.0,2555.0629033582377
31.0,1040.0,31.0,2542.744832764515
32.0,1399.0,32.0,2530.874428798688
33.0,1064.0,33.0,2519.4221758612125
34.0,1199.0,34.0,2508.361325811674
35.0,746.0,35.0,2497.6675659124903
36.0,993.0,36.0,2487.318734833591
37.0,1097.0,37.0,2477.2945786372184
38.0,809.0,38.0,2467.576540199753
39.0,494.0,39.0,2458.147576740239
,,40.0,2448.992001088332
,,41.0,2440.095343093946
,,42.0,2431.444228199585
,,43.0,2423.026270696599
,,44.0,2414.8299795933253
,,45.0,2406.844675355368
,,46.0,2399.0604160512194
,,47.0,2391.467931661549
,,48.0,2384.058565497094
,,49.0,2376.8242218253386
,,50.0,2369.7573189359537
,,51.0,2362.850746983794
,,52.0,2356.097830039906
,,53.0,2349.4922918584443
,,54.0,2343.0282249330476
,,55.0,2336.7000624721036
,,56.0,2330.502552969977
,,57.0,2324.4307370920865
,,58.0,2318.479926626754
,,59.0,2312.6456852868855
,,60.0,2306.9238111705836
,,61.0,2301.3103207123177
,,62.0,2295.801433975828
,,63.0,2290.393561156925
,,64.0,2285.0832901792005
,,65.0,2279.8673752785753
,,66.0,2274.742726483997
,,67.0,2269.7063999115126
,,68.0,2264.7555887977283
,,69.0,2259.8876152063654
,,70.0,2255.099922348431
,,71.0,2250.3900674625547
,,72.0,2245.7557152073755
,,73.0,2241.194631522605
,,74.0,2236.7046779196003
,,75.0,2232.283806166039
,,76.0,2227.930053332647
,,77.0,2223.6415371728935
,,78.0,2219.4164518092866
,,79.0,2215.2530637022624
