t,q,t_model,q_model
2019-06-01,14008.0,2021-09-01,10706.877706947611
2019-07-01,22071.0,2021-10-01,9061.000487261319
2019-08-01,28446.0,2021-11-01,7691.558335167057
2019-09-01,23214.0,2021-12-01,6548.3190778261205
2019-10-01,25565.0,2022-01-01,5590.846795680381
2019-11-01,17337.0,2022-02-01,4786.465238859838
2019-12-01,17837.0,2022-03-01,4108.670022659449
2020-01-01,14812.0,2022-04-01,3535.885291103632
2020-02-01,9803.0,2022-05-01,3050.4860035177276
2020-03-01,6120.0,2022-06-01,2638.0259588817926
2020-04-01,3587.0,2022-07-01,2286.6258603327574
2020-05-01,3310.0,2022-08-01,1986.4863907344495
2020-06-01,3047.0,2022-09-01,1729.499330606801
2020-07-01,2469.0,2022-10-01,1508.935867431508
2020-08-01,2509.0,2022-11-01,1319.1959092228758
2020-09-01,2241.0,2022-12-01,1155.605786038035
2020-10-01,1928.0,2023-01-01,1014.254468361559
2020-11-01,1384.0,2023-02-01,891.860550396644
2020-12-01,1564.0,2023-03-01,785.6638884438748
2021-01-01,1377.0,2023-04-01,693.3370619235134
2021-02-01,1019.0,2023-05-01,612.9128218837935
2021-03-01,1418.0,2023-06-01,542.724473234001
2021-04-01,1398.0,2023-07-01,481.3567513085723
2021-05-01,687.0,2023-08-01,427.6052380410327
2021-06-01,1066.0,2023-09-01,380.4427466377844
2021-07-01,1477.0,2023-10-01,338.99140823353235
2021-08-01,2733.0,2023-11-01,302.4994366105154
2021-09-01,11606.0,2023-12-01,270.3217408735137
2021-10-01,9073.0,2024-01-01,241.90371126000502
2021-11-01,5167.0,2024-02-01,216.76762804350747
2021-12-01,6587.0,2024-03-01,194.5012440320313
2022-01-01,6111.0,2024-04-01,174.74817240028338
2022-02-01,5037.0,2024-05-01,157.19977740555467
2022-03-01,5514.0,2024-06-01,141.58831899017522
2022-04-01,3473.0,2024-07-01,127.68114579845827
2022-05-01,3936.0,2024-08-01,115.27576666446622
2022-06-01,2805.0,2024-09-01,104.1956596977439
2022-07-01,1879.0,2024-10-01,94.286701936996
2022-08-01,1596.0,2024-11-01,85.41412214163427
2022-09-01,1040.0,2024-12-01,77.45989543935748
2022-10-01,1399.0,2025-01-01,70.32051188150209
2022-11-01,1064.0,2025-02-01,63.90506199101863
2022-12-01,1199.0,2025-03-01,58.13359153661582
2023-01-01,746.0,2025-04-01,52.93568536828695
2023-02-01,993.0,2025-05-01,48.249246478352795
2023-03-01,1097.0,2025-06-01,44.01944173175882
2023-04-01,809.0,2025-07-01,40.19779012208909
2023-05-01,494.0,2025-08-01,36.74137310487633
2023-06-01,331.0,2025-09-01,33.61214965969252
2023-07-01,535.0,2025-10-01,30.776361337768172
,,2025-11-01,28.2040147453038
,,2025-12-01,25.868430762513366
,,2026-01-01,23.74585136122313
,,2026-02-01,21.815096206298612
,,2026-03-01,20.057262347066914
,,2026-04-01,18.455461256483705
,,2026-05-01,16.994588284902733
,,2026-06-01,15.661120284333261
,,2026-07-01,14.442937746723263
,,2026-08-01,13.329168301741673
,,2026-09-01,12.310048848877633
,,2026-10-01,11.376803966452199
,,2026-11-01,10.521538555616003
,,2026-12-01,9.737142948398278
,,2027-01-01,9.017208941962767
,,2027-02-01,8.35595542198387
,,2027-03-01,7.748162411192126
,,2027-04-01,7.189112528642127
,,2027-05-01,6.674538974519942
,,2027-06-01,6.200579267205076
,,2027-07-01,5.76373405628922
,,2027-08-01,5.360830419415518
,,2027-09-01,4.988989123920164
,,2027-10-01,4.6455953978572495
,,2027-11-01,4.328272810367343
,,2027-12-01,4.0348599096293265
,,2028-01-01,3.763389308768797
,,2028-02-01,3.512068946906963
,,2028-03-01,3.2792652847296853
,,2028-04-01,3.0634882221431514
,,2028-05-01,2.8633775502874617
,,2028-06-01,2.677690771852828
,,2028-07-01,2.505292142676961
,,2028-08-01,2.3451428043343636
,,2028-09-01,2.1962918921509518
,,2028-10-01,2.0578685160452923
,,2028-11-01,1.9290745230295108
,,2028-12-01,1.8091779602911133
,,2029-01-01,1.6975071666868715
,,2029-02-01,1.5934454283564332
,,2029-03-01,1.4964261411328998
,,2029-04-01,1.4059284285993552
,,2029-05-01,1.3214731701110582
,,2029-06-01,1.2426193979559812
,,2029-07-01,1.1689610271350572
,,2029-08-01,1.1001238850724107
,,2029-09-01,1.0357630119706416
,,2029-10-01,0.9755602055569143
,,2029-11-01,0.9192217866649853
,,2029-12-01,0.8664765645047131
,,2030-01-01,0.8170739826174468
,,2030-02-01,0.7707824284323652
,,2030-03-01,0.7273876910514391
,,2030-04-01,0.6866915534219551
,,2030-05-01,0.6485105064257453
,,2030-06-01,0.6126745736412489
,,2030-07-01,0.5790262366339436
,,2030-08-01,0.5474194516166926
,,2030-09-01,0.5177187492061859
,,2030-10-01,0.48979840979616707
,,2030-11-01,0.4635417077819774
,,2030-12-01,0.4388402185128735
,,2031-01-01,0.4155931824261199
,,2031-02-01,0.39370692133690194
,,2031-03-01,0.37309430232660185
,,2031-04-01,0.35367424509435796
,,2031-05-01,0.33537126901784037
,,2031-06-01,0.3181150765131112
,,2031-07-01,0.30184016959405663
,,2031-08-01,0.28648549681263014
,,2031-09-01,0.27199412801500933
,,2031-10-01,0.2583129545784775
,,2031-11-01,0.24539241300182033
