t,q,t_model,q_model
0.0,11162.0,0.0,11162.0
1.0,10571.0,1.0,10454.98271355887
2.0,8557.0,2.0,9799.180704232665
3.0,7937.0,3.0,9190.427108633296
4.0,6586.0,4.0,8624.93054072277
5.0,5593.0,5.0,8099.238034084034
6.0,5248.0,6.0,7610.201953758953
7.0,11147.0,7.0,7154.950419623605
8.0,10396.0,8.0,6730.860839838049
9.0,10146.0,9.0,6335.536202037416
10.0,7931.0,10.0,5966.783812660447
11.0,7130.0,11.0,5622.596212023672
12.0,5981.0,12.0,5301.134025199127
13.0,5449.0,13.0,5000.710537086918
14.0,5730.0,14.0,4719.777804844385
15.0,5088.0,15.0,4456.9141425157695
16.0,4223.0,16.0,4210.812831708817
17.0,71.0,17.0,3980.2719288381336
18.0,1267.0,18.0,3764.1850541023473
19.0,3780.0,19.0,3561.533060244215
20.0,5040.0,20.0,3371.3764904852105
21.0,2927.0,21.0,3192.8487450240345
22.0,3113.0,22.0,3025.149884310968
23.0,2946.0,23.0,2867.5410051033614
24.0,2548.0,24.0,2719.339132199503
25.0,1716.0,25.0,2579.912574848878
26.0,1544.0,26.0,2448.6767022429417
27.0,1742.0,27.0,2325.0900972858467
28.0,2028.0,28.0,2208.6510521023406
29.0,555.0,29.0,2098.8943725240456
30.0,570.0,30.0,1995.3884621617551
31.0,898.0,31.0,1897.7326596688772
32.0,999.0,32.0,1805.5548054727333
33.0,860.0,33.0,1718.5090166337075
34.0,834.0,34.0,1636.2736506201875
35.0,785.0,35.0,1558.5494406889186
36.0,576.0,36.0,1485.057787261322
37.0,700.0,37.0,1415.539191209043
38.0,628.0,38.0,1349.7518163262066
39.0,703.0,39.0,1287.4701694892403
40.0,739.0,40.0,1228.4838881029734
41.0,622.0,41.0,1172.5966254177636
42.0,739.0,42.0,1119.6250251887457
43.0,735.0,43.0,1069.3977779456284
44.0,607.0,44.0,1021.7547518592231
45.0,560.0,45.0,976.5461918376327
46.0,1074.0,46.0,933.631981068069
47.0,1120.0,47.0,892.8809597463857
48.0,1026.0,48.0,854.1702962114413
49.0,933.0,49.0,817.3849061306512
50.0,995.0,50.0,782.4169157712131
51.0,1100.0,51.0,749.1651657426906
52.0,1156.0,52.0,717.534751914645
53.0,809.0,53.0,687.4366005011524
54.0,987.0,54.0,658.7870745652882
55.0,1010.0,55.0,631.5076094337129
56.0,884.0,56.0,605.524374726685
57.0,1000.0,57.0,580.7679609043496
58.0,729.0,58.0,557.1730884078501
59.0,924.0,59.0,534.6783376354958
60.0,1096.0,60.0,513.2258981413446
61.0,659.0,61.0,492.7613355775634
62.0,806.0,62.0,473.23337502405025
63.0,971.0,63.0,454.59369946014493
64.0,876.0,64.0,436.7967622348428
65.0,781.0,65.0,419.7996124846644
66.0,938.0,66.0,403.5617325330417
67.0,711.0,67.0,388.0448863824926
68.0,780.0,68.0,373.21297848165347
69.0,716.0,69.0,359.03192201399713
70.0,843.0,70.0,345.4695160143657
71.0,746.0,71.0,332.49533067374426
72.0,836.0,72.0,320.0806002424768
73.0,620.0,73.0,308.1981229877445
74.0,702.0,74.0,296.8221677029966
75.0,639.0,75.0,285.92838630543724
76.0,189.0,76.0,275.49373209295413
77.0,379.0,77.0,265.49638326428993
78.0,639.0,78.0,255.91567133605167
79.0,722.0,79.0,246.732014117556
80.0,1134.0,80.0,237.9268529297199
81.0,1189.0,81.0,229.48259377741616
82.0,869.0,82.0,221.38255220608644
83.0,673.0,83.0,213.61090159310325
84.0,554.0,84.0,206.15262464252132
85.0,629.0,85.0,198.99346786861005
86.0,593.0,86.0,192.11989886900088
87.0,594.0,87.0,185.51906620255085
88.0,548.0,88.0,179.17876170018548
89.0,417.0,89.0,173.08738504915766
90.0,509.0,90.0,167.2339105024018
91.0,564.0,91.0,161.6078555750617
92.0,460.0,92.0,156.19925159989083
93.0,509.0,93.0,150.99861602212607
94.0,518.0,94.0,145.99692632267764
95.0,296.0,95.0,141.18559546611345
96.0,502.0,96.0,136.55644877698842
97.0,465.0,97.0,132.10170215462733
98.0,562.0,98.0,127.81394154255094
99.0,555.0,99.0,123.6861035743741
100.0,397.0,100.0,119.71145732324116
101.0,440.0,101.0,115.88358708672645
102.0,163.0,102.0,112.19637614363369
103.0,62.0,103.0,108.64399142333548
104.0,508.0,104.0,105.22086903217792
,,105.0,101.92170058511051
,,106.0,98.74142029406782
,,107.0,95.67519276776781
,,108.0,92.71840148051119
,,109.0,89.8666378702855
,,110.0,87.1156910290096
,,111.0,84.46153795011381
,,112.0,81.90033430085276
,,113.0,79.42840568879313
,,114.0,77.04223939384067
,,115.0,74.7384765389444
,,116.0,72.51390467429404
,,117.0,70.36545075136979
,,118.0,68.29017446466786
,,119.0,66.28526194027313
,,120.0,64.34801975172445
,,121.0,62.475869244801395
,,122.0,60.66634115397102
,,123.0,58.91707049426997
,,124.0,57.22579171336842
,,125.0,55.59033408947055
,,126.0,54.008617361556624
,,127.0,52.478647579270266
,,128.0,50.998513160496515
,,129.0,49.56638114538269
,,130.0,48.18049363620133
,,131.0,46.83916441307793
,,132.0,45.54077571617468
,,133.0,44.28377518546962
,,134.0,43.066672949772745
,,135.0,41.88803885710068
,,136.0,40.746499838977556
,,137.0,39.640737401650455
,,138.0,38.56948523760255
,,139.0,37.53152695111842
,,140.0,36.5256938920047
,,141.0,35.55086309189679
,,142.0,34.605955297892365
,,143.0,33.689933098539804
,,144.0,32.801799137486576
