t,q,t_model,q_model
2014-04-01,7047.0,2016-05-01,5062.383696793576
2014-05-01,21899.0,2016-06-01,3259.4984773694755
2014-06-01,22611.0,2016-07-01,2601.940497994813
2014-07-01,21194.0,2016-08-01,2233.795241596357
2014-08-01,16371.0,2016-09-01,1990.1585153691433
2014-09-01,11162.0,2016-10-01,1813.4965216928924
2014-10-01,10571.0,2016-11-01,1677.756609688598
2014-11-01,8557.0,2016-12-01,1569.1894472569993
2014-12-01,7937.0,2017-01-01,1479.7587128842672
2015-01-01,6586.0,2017-02-01,1404.409640484275
2015-02-01,5593.0,2017-03-01,1339.7815732191307
2015-03-01,5248.0,2017-04-01,1283.5409740966634
2015-04-01,11147.0,2017-05-01,1234.0097980071662
2015-05-01,10396.0,2017-06-01,1189.9460896731925
2015-06-01,10146.0,2017-07-01,1150.4081865472683
2015-07-01,7931.0,2017-08-01,1114.667296698139
2015-08-01,7130.0,2017-09-01,1082.1493146263515
2015-09-01,5981.0,2017-10-01,1052.394975352321
2015-10-01,5449.0,2017-11-01,1025.0318829690593
2015-11-01,5730.0,2017-12-01,999.7544444490751
2015-12-01,5088.0,2018-01-01,976.3091960637428
2016-01-01,4223.0,2018-02-01,954.4838886462701
2016-02-01,71.0,2018-03-01,934.099243826975
2016-03-01,1267.0,2018-04-01,915.0026413023693
2016-04-01,3780.0,2018-05-01,897.0632241386443
2016-05-01,5040.0,2018-06-01,880.1680602435374
2016-06-01,2927.0,2018-07-01,864.2191007053206
2016-07-01,3113.0,2018-08-01,849.1307465065884
2016-08-01,2946.0,2018-09-01,834.8278847787767
2016-09-01,2548.0,2018-10-01,821.2442910937722
2016-10-01,1716.0,2018-11-01,808.3213197612556
2016-11-01,1544.0,2018-12-01,796.0068226918529
2016-12-01,1742.0,2019-01-01,784.254251110611
2017-01-01,2028.0,2019-02-01,773.0219046445669
2017-02-01,555.0,2019-03-01,762.2723000229106
2017-03-01,570.0,2019-04-01,751.9716374946619
2017-04-01,898.0,2019-05-01,742.0893475683406
2017-05-01,999.0,2019-06-01,732.5977041573593
2017-06-01,860.0,2019-07-01,723.4714929256905
2017-07-01,834.0,2019-08-01,714.6877257557246
2017-08-01,785.0,2019-09-01,706.2253939410114
2017-09-01,576.0,2019-10-01,698.0652540430833
2017-10-01,700.0,2019-11-01,690.189641420747
2017-11-01,628.0,2019-12-01,682.5823073005009
2017-12-01,703.0,2020-01-01,675.2282759527135
2018-01-01,739.0,2020-02-01,668.1137191041599
2018-02-01,622.0,2020-03-01,661.2258451800647
2018-03-01,739.0,2020-04-01,654.5528013485745
2018-04-01,735.0,2020-05-01,648.0835866538501
2018-05-01,607.0,2020-06-01,641.8079747834328
2018-06-01,560.0,2020-07-01,635.7164452313732
2018-07-01,1074.0,2020-08-01,629.8001217988254
2018-08-01,1120.0,2020-09-01,624.0507175248609
2018-09-01,1026.0,2020-10-01,618.4604852673311
2018-10-01,933.0,2020-11-01,613.0221732608668
2018-11-01,995.0,2020-12-01,607.7289850699434
2018-12-01,1100.0,2021-01-01,602.5745434321381
2019-01-01,1156.0,2021-02-01,597.5528575524776
2019-02-01,809.0,2021-03-01,592.6582934660171
2019-03-01,987.0,2021-04-01,587.8855471339949
2019-04-01,1010.0,2021-05-01,583.2296199803419
2019-05-01,884.0,2021-06-01,578.6857966110468
2019-06-01,1000.0,2021-07-01,574.2496244897385
2019-07-01,729.0,2021-08-01,569.91689536958
2019-08-01,924.0,2021-09-01,565.6836283047875
2019-09-01,1096.0,2021-10-01,561.5460540852915
2019-10-01,659.0,2021-11-01,557.5006009556809
2019-11-01,806.0,2021-12-01,553.5438814949816
2019-12-01,971.0,2022-01-01,549.6726805473195
2020-01-01,876.0,2022-02-01,545.8839441053589
2020-02-01,781.0,2022-03-01,542.1747690588439
2020-03-01,938.0,2022-04-01,538.5423937297379
2020-04-01,711.0,2022-05-01,534.9841891235777
2020-05-01,780.0,2022-06-01,531.4976508338235
2020-06-01,716.0,2022-07-01,528.0803915423437
2020-07-01,843.0,2022-08-01,524.7301340648115
2020-08-01,746.0,2022-09-01,521.4447048948073
2020-09-01,836.0,2022-10-01,518.2220282048822
2020-10-01,620.0,2022-11-01,515.0601202668216
2020-11-01,702.0,2022-12-01,511.9570842569057
2020-12-01,639.0,2023-01-01,508.91110541514223
2021-01-01,189.0,2023-02-01,505.920446530301
2021-02-01,379.0,2023-03-01,502.98344372513253
2021-03-01,639.0,2023-04-01,500.0985025184546
2021-04-01,722.0,2023-05-01,497.2640941428513
2021-05-01,1134.0,2023-06-01,494.4787520985968
2021-06-01,1189.0,2023-07-01,491.74106892608773
2021-07-01,869.0,2023-08-01,489.0496931805904
